Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,182599092.0,293.085815666296,,,,0.452925036789682,Africa Eastern and Southern
1973,187901657.0,370.427050407962,,,,0.27254922729629,Africa Eastern and Southern
1974,193512956.0,444.732866058845,,19.5983935742147,,1.23446815112098,Africa Eastern and Southern
1975,199284304.0,459.911750911358,,15.2240989352891,,0.399891847572817,Africa Eastern and Southern
1976,205202669.0,444.090565376622,,11.2164713172617,,0.543122956871775,Africa Eastern and Southern
1977,211120911.0,489.863381320003,,14.2380554942681,,0.0666873898786878,Africa Eastern and Southern
1978,217481420.0,530.390720248921,,12.52689251464,,0.160480650382994,Africa Eastern and Southern
1979,224315978.0,600.391212088615,,15.0698498241015,,-0.021744199474799,Africa Eastern and Southern
1980,230967858.0,738.898740871083,,15.0665115372509,,0.315505262722917,Africa Eastern and Southern
1981,237937461.0,732.943418647214,,14.4615910742106,,0.218758943418541,Africa Eastern and Southern
1982,245386717.0,681.673764988377,,12.1399176954734,,0.363474558803558,Africa Eastern and Southern
1983,252779730.0,692.008640169286,,11.5675243834069,,0.0508565262948916,Africa Eastern and Southern
1984,260209149.0,615.431957805129,,10.9838625715774,,0.411673813248297,Africa Eastern and Southern
1985,267938123.0,508.712031655308,,13.0065664218827,,0.0716568207241081,Africa Eastern and Southern
1986,276035920.0,552.554967083151,,13.8919716455566,,0.291565973718613,Africa Eastern and Southern
1987,284490394.0,654.337932048893,,12.5634432211069,,0.156864207621548,Africa Eastern and Southern
1988,292795186.0,697.241123281506,,12.5222539355743,,0.270623095517226,Africa Eastern and Southern
1989,301124880.0,722.451704073377,,12.5582020707012,,0.189615037050582,Africa Eastern and Southern
1990,309890664.0,817.175972972585,,12.4579139789566,,0.0325973292887364,Africa Eastern and Southern
1991,318544083.0,858.326597122785,,17.6781002638522,7.3333359165049,0.467183868679037,Africa Eastern and Southern
1992,326933522.0,728.79019468649,,16.1676123963339,7.31874705144978,0.280992982108357,Africa Eastern and Southern
1993,335625136.0,704.766483147988,,13.1356607683724,7.24270551538248,0.363573688644803,Africa Eastern and Southern
1994,344418362.0,697.206380335282,,14.852814983397,7.1606939771638,0.507232476546374,Africa Eastern and Southern
1995,353466601.0,762.869082911069,,12.2885912601426,7.06379589640827,1.01533179776097,Africa Eastern and Southern
1996,362985802.0,739.493175360797,,9.70658632526506,7.05599796744036,0.797450555075385,Africa Eastern and Southern
1997,372352230.0,757.87763492823,,10.2495987403067,7.09054103045865,2.09307895502664,Africa Eastern and Southern
1998,381715600.0,696.397558722091,,7.49525600695578,7.06009651793634,1.58954357826259,Africa Eastern and Southern
1999,391486231.0,669.713865939591,,7.81986477630863,7.01527157432932,2.4474245178466,Africa Eastern and Southern
2000,401600588.0,707.015752221191,45.0620047285074,8.6014851485149,6.93953642644108,1.55812312858945,Africa Eastern and Southern
2001,412001885.0,628.225241592002,39.5269792486623,5.84035398311558,6.85037572406791,4.8377675628977,Africa Eastern and Southern
2002,422741118.0,626.580852623532,36.3902424776507,8.76375366426173,6.80353661652446,2.50363638111622,Africa Eastern and Southern
2003,433807484.0,812.973644842731,52.1791582379396,7.44970014007364,6.7412409260797,2.48897170135011,Africa Eastern and Southern
2004,445281555.0,985.563259008396,64.20632020029,5.02342068616284,6.53517317460762,1.86659568157693,Africa Eastern and Southern
2005,457153837.0,1120.48433335693,71.023523184485,8.55803802239772,6.3735025653771,2.06494439934131,Africa Eastern and Southern
2006,469508516.0,1226.22356855463,77.5984430685555,8.89816380214033,6.34759816055424,1.27209390780044,Africa Eastern and Southern
2007,482406426.0,1369.85532795439,86.6528777206766,8.45077480634995,6.28342089359081,2.48111352078367,Africa Eastern and Southern
2008,495748900.0,1428.38272766643,88.9094912289528,12.5666446595157,6.23256052983032,3.24482524758185,Africa Eastern and Southern
2009,509410477.0,1411.62245960991,92.7991621712769,8.95421802392944,6.29558701104752,2.61214457359618,Africa Eastern and Southern
2010,523459657.0,1643.60556870139,107.536217852383,5.53753791645677,6.93364462972581,1.64220592166484,Africa Eastern and Southern
2011,537792950.0,1792.90750512756,117.829441195043,8.97120640995792,6.71535805738561,1.84557234712524,Africa Eastern and Southern
2012,552530654.0,1759.18239469392,112.687349387622,9.15870715471667,6.59935567323687,2.53662271294788,Africa Eastern and Southern
2013,567891875.0,1730.39468555029,110.580640159306,5.75098133352462,6.5127841025363,2.19168154983656,Africa Eastern and Southern
2014,583650827.0,1719.18372097247,103.961962919675,5.37028961008588,6.55564528416233,2.76011137987112,Africa Eastern and Southern
2015,600008150.0,1538.55226805656,98.6242063726469,5.25017086354882,6.70714160237614,3.11840987590196,Africa Eastern and Southern
2016,616377331.0,1443.69237090812,94.2151931319767,6.57139642173959,6.8555894235371,1.89599951281312,Africa Eastern and Southern
2017,632746296.0,1628.58678812124,101.540029530545,6.39934341569383,6.94036503514997,0.990429978150364,Africa Eastern and Southern
2018,649756874.0,1564.73433998697,95.4437364723471,4.720811388773,6.91304643638878,1.34506651736447,Africa Eastern and Southern
2019,667242712.0,1512.2705529912,91.0783513644378,4.12024587014984,7.12166374671851,1.50255045767619,Africa Eastern and Southern
2020,685112705.0,1363.54074100996,,6.36296055300016,7.63130341847771,1.39121454852466,Africa Eastern and Southern
2021,702976832.0,1549.77272965144,,6.07932754164423,7.9202187313171,4.92452050286266,Africa Eastern and Southern
