Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,127364044.0,198.368024226382,,,,1.86260666892259,Africa Western and Central
1973,130563107.0,239.530291094921,,,,1.86910939905278,Africa Western and Central
1974,133953892.0,330.072417730672,,,,1.06968661364969,Africa Western and Central
1975,137548613.0,374.011272538494,,,,1.57380226092525,Africa Western and Central
1976,141258400.0,439.827935010613,,,,0.866238940408797,Africa Western and Central
1977,145122851.0,450.067013003358,,,,0.959633106107117,Africa Western and Central
1978,149206663.0,477.188530059106,,,,0.87599533787222,Africa Western and Central
1979,153459665.0,577.535479884458,,,,0.863457092424767,Africa Western and Central
1980,157825609.0,709.842397337791,,,,-0.275515668948646,Africa Western and Central
1981,162323313.0,1299.89641106073,,8.79921083308779,,0.431018447264776,Africa Western and Central
1982,167023385.0,1120.58396022091,,12.0597652081337,,0.481129434911122,Africa Western and Central
1983,171566640.0,805.023662801527,,10.6719367588933,,0.569283758854758,Africa Western and Central
1984,176054495.0,649.018761512478,,11.2499999999997,,0.302853640300349,Africa Western and Central
1985,180817312.0,644.336990404963,,7.35492577597832,,0.785831324651415,Africa Western and Central
1986,185720244.0,578.814350154625,,5.95096499946617,,0.191695238003839,Africa Western and Central
1987,190759952.0,578.327730569237,,0.248788555354769,,0.945947481129513,Africa Western and Central
1988,195969722.0,555.919881075057,,2.52365930599391,,0.631293375339144,Africa Western and Central
1989,201392200.0,505.326338732086,,0.869287022608277,,1.89162066203152,Africa Western and Central
1990,206739024.0,589.158848993721,,1.05736139457208,,0.700627991884862,Africa Western and Central
1991,212172888.0,553.591280313621,,1.74188785932667,4.22459508653187,0.710418558862206,Africa Western and Central
1992,217966101.0,542.663527078269,,-0.0629990064786967,4.33546037117227,1.04255482334862,Africa Western and Central
1993,223788766.0,441.605589067083,,0.553455723541917,4.37212508737686,1.84455188881156,Africa Western and Central
1994,229675775.0,375.667585110592,,31.8410168416385,4.36689765649207,2.76699469235573,Africa Western and Central
1995,235861484.0,458.834219691584,,10.5632886691814,4.34899631746977,0.874800863516436,Africa Western and Central
1996,242200260.0,519.252220900353,,4.91423972637199,4.37953687626588,1.05185020404699,Africa Western and Central
1997,248713095.0,510.885533657977,,3.99714170439302,4.42111673176107,1.11552932614547,Africa Western and Central
1998,255482918.0,509.258402107974,,4.471125438511,4.45491736908756,1.32073280912301,Africa Western and Central
1999,262397030.0,524.095110345159,,0.372266170311917,4.63777280595356,1.56206686981524,Africa Western and Central
2000,269611898.0,520.786583767401,20.3897782639955,2.53077516737993,4.66642263665412,1.82329611640169,Africa Western and Central
2001,277160097.0,529.584938942083,21.0703788868033,4.36152914007253,4.58178056550067,2.19671807807296,Africa Western and Central
2002,284952322.0,619.773282317197,22.160556072913,3.18869330220589,4.44873299359231,2.49624786893757,Africa Western and Central
2003,292977949.0,697.905290822087,34.0988994148856,1.76090410099629,4.40596904675248,2.57355341478964,Africa Western and Central
2004,301265247.0,841.357960964114,38.723171853379,0.694336305945748,4.3525620416528,1.83600172009689,Africa Western and Central
2005,309824829.0,1000.86958105037,44.2732381325424,5.63163351357613,4.3214962368522,2.99203533690973,Africa Western and Central
2006,318601484.0,1241.8519002881,50.9138505812318,4.41589984169562,4.20305838032003,2.32584867189848,Africa Western and Central
2007,327612838.0,1417.60505010147,55.3602331225871,3.60736767984596,4.14827042031336,2.8057576552558,Africa Western and Central
2008,336893835.0,1681.47767951697,63.9829181118305,8.45297623326756,4.16744297952451,2.8805004115628,Africa Western and Central
2009,346475221.0,1463.39329309204,57.7937210964092,3.2824403758932,4.21507268199001,3.58159541535531,Africa Western and Central
2010,356337762.0,1675.73957223421,61.5674538518058,1.78484420477114,4.23577745671536,3.16084361874163,Africa Western and Central
2011,366489204.0,1856.68766916914,68.8349669945652,4.01869907534491,4.18882767264463,3.60069402546556,Africa Western and Central
2012,376797999.0,1953.40703302973,71.1552772502134,4.57837463515945,4.16755614622719,2.84124385004861,Africa Western and Central
2013,387204553.0,2149.29521922384,78.9181562016347,2.43920076104128,3.8044475021588,2.30199044698265,Africa Western and Central
2014,397855507.0,2243.2714641609,81.9294942727297,1.7580519603779,3.98587798262434,1.85972741118856,Africa Western and Central
2015,408690375.0,1876.62348318848,73.3840776662525,2.13026806151513,4.24113597618525,2.03963889618775,Africa Western and Central
2016,419778384.0,1645.02376743667,63.708931730788,1.49456366409864,4.11295791765579,2.01826575978564,Africa Western and Central
2017,431138704.0,1585.91193032787,61.0244608514261,1.76463495159564,4.14048380439269,2.58317691176874,Africa Western and Central
2018,442646825.0,1731.31179201546,59.4121361175412,1.78404994832044,4.20159855917052,2.02161465865563,Africa Western and Central
2019,454306063.0,1749.30331701118,61.3621723983961,1.75856517595659,4.26141400612556,1.56696371988586,Africa Western and Central
2020,466189102.0,1683.43639098491,,2.43760882182242,4.91414336183036,1.38971193399763,Africa Western and Central
2021,478185907.0,1757.03062622138,,3.83786802840503,4.87363510086898,2.46101743413696,Africa Western and Central
