Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)"
1972,2243126.0,,,,,
1973,2296752.0,,,,,
1974,2350124.0,,,,,
1975,2404831.0,,,,,
1976,2458526.0,,,,,
1977,2513546.0,,,,,
1978,2566266.0,,,,,
1979,2617832.0,,,,,
1980,2671997.0,,,,,
1981,2726056.0,,,,,
1982,2784278.0,,,,,
1983,2843960.0,,,,,
1984,2904429.0,639.484735848211,,,,0.0
1985,2964762.0,639.865909445734,,,,0.0
1986,3022635.0,693.873474633887,,,,0.0
1987,3083605.0,674.793383069492,,,,0.0
1988,3142336.0,652.774321396566,,,,0.0
1989,3227943.0,697.995596576519,,,,0.0
1990,3286542.0,617.230435515505,,,,0.0
1991,3266790.0,336.586994504629,,,10.3070001602173,0.0
1992,3247039.0,200.852219772323,,226.005421253526,30.0149993896484,3.06666159864896
1993,3227287.0,367.279225077581,,85.0047512387157,25.257999420166,4.89321210624299
1994,3207536.0,586.416339644261,,22.5650526933696,20.8400001525879,2.81772280812469
1995,3187784.0,750.604449178826,,7.79321853789215,14.6110000610352,2.92548596657615
1996,3168033.0,1009.97727483821,,12.7254778087102,13.9309997558594,2.81594061771928
1997,3148281.0,717.380047745673,,33.1802743753957,16.8759994506836,2.1031528051092
1998,3128530.0,813.789396580449,,20.6428588670596,20.0470008850098,1.76789579262462
1999,3108778.0,1033.24253162418,,0.389437653561606,20.8400001525879,1.28264133419298
2000,3089027.0,1126.68334010717,80.61695099,0.0500181363468233,19.0279998779297,4.10877595525929
2001,3060173.0,1281.6598256178,89.58073425,3.10758827031435,18.5750007629395,5.28543275433979
2002,3051010.0,1425.12421860142,96.27111816,7.77052583431551,17.8950004577637,3.10482707446756
2003,3039616.0,1846.12012081207,125.98797607,0.484002611818484,16.9890003204346,3.17270817814522
2004,3026939.0,2373.58129170055,156.56817627,2.28001916938099,16.3099994659424,4.75017450889019
2005,3011487.0,2673.78658429559,165.2653656,2.36658195679796,15.9700002670288,3.25976919303765
2006,2992547.0,2972.74292399799,174.53024292,2.37072831904283,15.6300001144409,3.65485220012029
2007,2970017.0,3595.03805682893,222.30366516,2.93268248162319,15.9700002670288,6.10898006747451
2008,2947314.0,4370.5399247769,220.46424866,3.32087090389268,13.0600004196167,9.68207039380729
2009,2927519.0,4114.13489916342,186.44281006,2.2669220945083,13.6700000762939,11.1706408928228
2010,2913021.0,4094.34838574494,192.0032196,3.62604695579817,14.0900001525879,9.13813414575857
2011,2905195.0,4437.14261222684,211.07551575,3.42912324722164,13.4799995422363,8.13533347464313
2012,2900401.0,4247.63004748194,213.71974182,2.03159268395298,13.3800001144409,7.45135722825391
2013,2895092.0,4413.06200528903,236.95796204,1.93762080205227,15.8699998855591,9.81628764801144
2014,2889104.0,4578.63320812155,251.35826111,1.62586504402607,18.0499992370605,8.69303872198522
2015,2880703.0,3952.80253807527,192.88513184,3.50120835492656,17.1900005340576,8.69053621980382
2016,2876101.0,4124.05538986272,202.01332092,-0.367317209784628,15.4200000762939,8.80509197849022
2017,2873457.0,4531.0193737689,226.28067017,2.0605984592022,13.6199998855591,7.85547051565549
2018,2866376.0,5287.66369446913,274.91409302,2.02805963071136,12.3000001907349,7.94635135089316
2019,2854191.0,5396.21586434732,,1.41109078954248,11.4700002670288,7.7979181413124
2020,2837849.0,5332.16047456847,,1.62088661717004,13.0670003890991,7.06948409749964
2021,2811666.0,6492.87201224634,,2.04147163139546,12.6829996109009,6.67506922810655
