Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,28063.0,,,,,,American Samoa
1973,28529.0,,,,,,American Samoa
1974,29012.0,,,,,,American Samoa
1975,29573.0,,,,,,American Samoa
1976,30198.0,,,,,,American Samoa
1977,30816.0,,,,,,American Samoa
1978,31428.0,,,,,,American Samoa
1979,32045.0,,,,,,American Samoa
1980,32886.0,,,,,,American Samoa
1981,34059.0,,,,,,American Samoa
1982,35367.0,,,,,,American Samoa
1983,36735.0,,,,,,American Samoa
1984,38168.0,,,,,,American Samoa
1985,39663.0,,,,,,American Samoa
1986,41221.0,,,,,,American Samoa
1987,42842.0,,,,,,American Samoa
1988,44532.0,,,,,,American Samoa
1989,46288.0,,,,,,American Samoa
1990,47818.0,,,,,,American Samoa
1991,48992.0,,,,,,American Samoa
1992,50078.0,,,,,,American Samoa
1993,51174.0,,,,,,American Samoa
1994,52288.0,,,,,,American Samoa
1995,53401.0,,,,,,American Samoa
1996,54500.0,,,,,,American Samoa
1997,55578.0,,,,,,American Samoa
1998,56603.0,,,,,,American Samoa
1999,57594.0,,,,,,American Samoa
2000,58230.0,,,,,,American Samoa
2001,58324.0,,,,,,American Samoa
2002,58177.0,8800.72881035461,,,,,American Samoa
2003,57941.0,9043.68236654528,,,,,American Samoa
2004,57626.0,8832.81851941832,,,,,American Samoa
2005,57254.0,8733.01428721137,,,,,American Samoa
2006,56837.0,8673.92719531291,,,,,American Samoa
2007,56383.0,9187.16634446553,,,,,American Samoa
2008,55891.0,10019.502245442,,,,,American Samoa
2009,55366.0,12191.5977314597,,,,,American Samoa
2010,54849.0,10446.8632062572,,,,,American Samoa
2011,54310.0,10495.3047320935,,,,,American Samoa
2012,53691.0,11920.0610903131,,,,,American Samoa
2013,52995.0,12038.8715916596,,,,,American Samoa
2014,52217.0,12313.9973571825,,,,,American Samoa
2015,51368.0,13101.5418159165,,,,,American Samoa
2016,50448.0,13300.8246114811,,,,,American Samoa
2017,49463.0,12372.8847825647,,,,,American Samoa
2018,48424.0,13195.9358995539,,,,,American Samoa
2019,47321.0,13672.576657298,,,,,American Samoa
2020,46189.0,15501.5263374397,,,,,American Samoa
2021,45035.0,15743.3107582991,,,,,American Samoa
