Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,22832.0,4967.07392887548,,,,,Andorra
1973,24393.0,6182.92554414795,,,,,Andorra
1974,26003.0,7174.50664458731,,,,,Andorra
1975,27640.0,7964.0827198557,,,,,Andorra
1976,29294.0,7758.6203529986,,,,,Andorra
1977,30949.0,8207.70148762917,,,,,Andorra
1978,32574.0,9455.66702184087,,,,,Andorra
1979,34142.0,12054.8981945886,,,,,Andorra
1980,35611.0,12535.9047997815,,,,,Andorra
1981,36987.0,10516.0929868045,,,,,Andorra
1982,38598.0,9738.74181002803,,,,,Andorra
1983,40432.0,8108.96895890967,,,,,Andorra
1984,42181.0,7825.10346597477,,,,,Andorra
1985,43809.0,7914.76556814698,,,,,Andorra
1986,45605.0,10569.0295808767,,,,,Andorra
1987,47635.0,12833.3452169012,,,,,Andorra
1988,49654.0,14529.0598773825,,,,,Andorra
1989,51639.0,15404.0421463689,,,,,Andorra
1990,53569.0,19209.7758382742,,,,,Andorra
1991,55434.0,19968.4053625265,,,,,Andorra
1992,57283.0,21123.4336867331,,,,,Andorra
1993,59156.0,17023.2225809834,,,,,Andorra
1994,61037.0,16671.0212548517,,,,,Andorra
1995,62928.0,18731.5502032951,,,,,Andorra
1996,64147.0,19080.3210848024,,,,,Andorra
1997,64682.0,18252.3309843121,,,,,Andorra
1998,65186.0,18591.9123403358,,,,,Andorra
1999,65655.0,18884.7202061581,,,,,Andorra
2000,66097.0,21620.4850212897,1302.62072754,,,,Andorra
2001,67820.0,22809.291868131,1347.48498535,,,,Andorra
2002,70849.0,24783.8364972969,1528.75061035,,,,Andorra
2003,73907.0,31955.3880187598,1820.04187012,,,,Andorra
2004,76933.0,37629.1289563453,2043.30224609,,,,Andorra
2005,79826.0,39584.9157466551,2299.70361328,,,,Andorra
2006,80221.0,43086.499827003,2161.20532227,,,,Andorra
2007,78168.0,50565.4564814851,2403.59912109,,,,Andorra
2008,76055.0,53719.421266769,2818.8046875,,,,Andorra
2009,73852.0,49753.6906002629,2714.24975586,,,,Andorra
2010,71519.0,48238.4660955595,2685.47973633,,,,Andorra
2011,70567.0,51429.1919196159,2634.03271484,,,,Andorra
2012,71013.0,44904.5800426279,2370.05712891,,,,Andorra
2013,71367.0,44750.4356804443,2432.78271484,,,,Andorra
2014,71621.0,45682.2462308595,2529.08984375,,,,Andorra
2015,71746.0,38885.3760140905,2246.25439453,,,,Andorra
2016,72540.0,39932.1644867147,2361.2175293,,,,Andorra
2017,73837.0,40632.4843928243,2567.42382813,,,,Andorra
2018,75013.0,42903.4435794631,2821.80126953,,,,Andorra
2019,76343.0,41327.5020305489,2744.19433594,,,,Andorra
2020,77700.0,37207.4938608348,,,,,Andorra
2021,79034.0,42137.3272710372,,,,,Andorra
