Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6364731.0,,,,,,Angola
1973,6578230.0,,,,,,Angola
1974,6802494.0,,,,,,Angola
1975,7032713.0,,,,,,Angola
1976,7266780.0,,,,,,Angola
1977,7511895.0,,,,,,Angola
1978,7771590.0,,,,,,Angola
1979,8043218.0,,,,,,Angola
1980,8330047.0,711.941169235015,,,,0.630975103967161,Angola
1981,8631457.0,643.052851443849,,,,0.883706869873758,Angola
1982,8947152.0,620.363109508475,,,,2.08648507255308,Angola
1983,9276707.0,623.533932500336,,,,1.80366249575565,Angola
1984,9617702.0,637.519759416351,,,,1.09500567622465,Angola
1985,9970621.0,757.581745332071,,,,3.68038359526863,Angola
1986,10332574.0,684.443522551906,,,,3.30879389175687,Angola
1987,10694057.0,755.921911802631,,,,1.47206684888083,Angola
1988,11060261.0,792.861086171426,,,,1.49385627946274,Angola
1989,11439498.0,891.74359219596,,,,1.9605730640079,Angola
1990,11828638.0,949.286381342915,,,,-2.98162799823655,Angola
1991,12228691.0,867.123434650279,,83.7837837837838,4.48899984359741,6.26663053571429,Angola
1992,12632507.0,657.653383733607,,299.509803921569,4.48699998855591,3.46608752793541,Angola
1993,13038270.0,442.445234039,,1378.52760736196,4.5310001373291,5.2368632542517,Angola
1994,13462031.0,329.691784054774,,949.792531120332,4.39499998092651,3.83703655802979,Angola
1995,13912253.0,398.120222507968,,2666.45059288538,4.30399990081787,8.52948883994992,Angola
1996,14383350.0,523.274939810066,,4145.10598220638,4.27400016784668,2.39899396705538,Angola
1997,14871146.0,514.309886597359,,219.176721172974,4.26200008392334,5.38231807584834,Angola
1998,15366864.0,423.393452775682,,107.284821528298,4.23400020599365,17.1215906483088,Angola
1999,15870753.0,387.689414798423,,248.195902412868,4.20599985122681,40.1672509619126,Angola
2000,16394062.0,556.88424373456,12.99896717,324.996871601321,4.16300010681152,9.62386631013722,Angola
2001,16941587.0,527.463201835885,28.91812134,152.561022469299,4.11899995803833,24.0091170615715,Angola
2002,17516139.0,872.657771693749,29.04936409,108.897436089429,4.04300022125244,11.4061900735364,Angola
2003,18124342.0,982.805600622396,34.87518692,98.2241436573305,4.04300022125244,20.0810141699561,Angola
2004,18771125.0,1254.69556291539,49.81074142,43.5421067519686,3.97199988365173,9.32924342764495,Angola
2005,19450959.0,1900.72472515377,54.26077652,22.953513851394,3.91499996185303,-3.52665547915197,Angola
2006,20162340.0,2597.96268151603,69.81230164,13.3052101780031,3.88199996948242,-0.0720010214346084,Angola
2007,20909684.0,3121.35047480325,92.86030579,12.2514974459487,3.82699990272522,-1.36876162792796,Angola
2008,21691522.0,4081.71500392279,135.6058197,12.4758291326398,3.79099988937378,1.89631505930415,Angola
2009,22507674.0,3123.69758573592,119.99628448,13.7302839288409,3.77999997138977,3.13666198790205,Angola
2010,23364185.0,3496.78479608032,96.69701385,14.4696564932576,9.43000030517578,-3.95009776146954,Angola
2011,24259111.0,4511.15322719034,122.10723114,13.4824679218512,7.3600001335144,-2.7630352926289,Angola
2012,25188292.0,4962.55207190082,122.18558502,10.2779049218839,8.06400012969971,-1.17171916561076,Angola
2013,26147002.0,5101.98387641128,143.60687256,8.77781429332618,8.83399963378906,-5.3372810761299,Angola
2014,27128337.0,5059.08044128816,131.6476593,7.28038730361125,9.57999992370605,2.66496383453372,Angola
2015,28127721.0,3100.83068530533,108.58293915,9.35383972513758,9.58399963378906,11.4977019059198,Angola
2016,29154746.0,1709.51553404553,95.12497711,30.6989578589225,9.58600044250488,-0.360184289272602,Angola
2017,30208628.0,2283.21423255725,114.33460236,29.8425777887099,9.53499984741211,-10.7249505478881,Angola
2018,31273533.0,2487.50099555267,87.31073761,19.6305943641961,9.52200031280518,-8.29905135606258,Angola
2019,32353588.0,2142.23875712854,71.32600403,17.0797044074954,9.48099994659424,-5.91333338289549,Angola
2020,33428486.0,1603.99347745326,,22.2715643068877,10.3500003814697,-3.48097792643824,Angola
2021,34503774.0,1953.53375721508,,25.7542656453085,10.3839998245239,-6.46118626830981,Angola
