Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,64695.0,,,,,,Antigua and Barbuda
1973,64463.0,,,,,,Antigua and Barbuda
1974,64218.0,,,,,,Antigua and Barbuda
1975,64035.0,,,,,,Antigua and Barbuda
1976,63990.0,,,,,,Antigua and Barbuda
1977,64117.0,1208.67716368052,,,,2.83882858940304,Antigua and Barbuda
1978,64329.0,1366.09214322439,,,,-7.85167467538888,Antigua and Barbuda
1979,64609.0,1688.30935146634,,,,7.79244741939149,Antigua and Barbuda
1980,64889.0,2025.47468240637,,,,14.9127648905226,Antigua and Barbuda
1981,65076.0,2271.83192643132,,,,15.1513373975042,Antigua and Barbuda
1982,65231.0,2519.80314404024,,,,13.9928824628766,Antigua and Barbuda
1983,65408.0,2784.73723341125,,,,2.74507941414092,Antigua and Barbuda
1984,65362.0,3187.98149224773,,,,2.11159950934461,Antigua and Barbuda
1985,65048.0,3703.78681611756,,,,6.47507299741646,Antigua and Barbuda
1986,64712.0,4488.19601836971,,,,7.78129357132275,Antigua and Barbuda
1987,64353.0,5239.4583290888,,,,11.4469673344909,Antigua and Barbuda
1988,63982.0,6230.46681531959,,,,8.26611470909774,Antigua and Barbuda
1989,63636.0,6895.38607892574,,,,9.82404726203537,Antigua and Barbuda
1990,63328.0,7255.40630322086,,,,13.1907107216844,Antigua and Barbuda
1991,63634.0,7569.96900096501,,,,11.3746626582911,Antigua and Barbuda
1992,64659.0,7721.76311853696,,,,3.93528477960921,Antigua and Barbuda
1993,65834.0,8129.14412118471,,,,2.84780998913472,Antigua and Barbuda
1994,67072.0,8788.01332343794,,,,4.20557224184083,Antigua and Barbuda
1995,68398.0,8440.03452559258,,,,5.45404385818588,Antigua and Barbuda
1996,69798.0,9079.48121192054,,,,3.05364479536197,Antigua and Barbuda
1997,71218.0,9556.83280236062,,,,3.37111668580321,Antigua and Barbuda
1998,72572.0,10029.4777498107,,,,3.12891177578083,Antigua and Barbuda
1999,73821.0,10379.1604015118,,1.12128789571148,,6.75966240320195,Antigua and Barbuda
2000,75055.0,11010.1974601342,512.56829834,0.771779796900182,,5.21750627465041,Antigua and Barbuda
2001,76215.0,10502.9388110146,563.73712158,1.40279663573984,,12.2991255263036,Antigua and Barbuda
2002,77195.0,10549.6661892802,550.0645752,2.40765801293492,,8.0877409804305,Antigua and Barbuda
2003,78075.0,10968.8926839103,602.69360352,1.99353055152456,,19.4210489259473,Antigua and Barbuda
2004,78941.0,11650.8484770858,585.72125244,2.03007757853236,,8.73806633994693,Antigua and Barbuda
2005,79869.0,12808.0101536637,626.7166748,2.09875196709306,,21.600329833454,Antigua and Barbuda
2006,80895.0,14310.6862347854,648.22711182,1.78778537419119,,30.9952183997774,Antigua and Barbuda
2007,82016.0,16006.1361107498,694.53643799,1.4160525940974,,25.7628907164722,Antigua and Barbuda
2008,83251.0,16457.1040632589,673.83752441,5.33380639820237,,11.5894612334052,Antigua and Barbuda
2009,84534.0,14530.5986896353,591.42523193,-0.550159995508912,,6.56555460743135,Antigua and Barbuda
2010,85695.0,13404.5160161036,701.81781006,3.3700254022015,,8.41640182621901,Antigua and Barbuda
2011,86729.0,13117.1469408968,693.80725098,3.45674967234602,,5.7277140401482,Antigua and Barbuda
2012,87674.0,13686.4765853976,727.25695801,3.37688044338876,,10.7810607557117,Antigua and Barbuda
2013,88497.0,13350.149136673,711.22979736,1.05949782356168,,11.3664742578945,Antigua and Barbuda
2014,89236.0,14004.8112122163,792.8414917,1.0894415743536,,3.70183780934229,Antigua and Barbuda
2015,89941.0,14861.8827074704,754.24188232,0.968993458825599,,8.530357746702,Antigua and Barbuda
2016,90564.0,15862.6516627488,778.45111084,-0.489437796230513,,6.78219276366958,Antigua and Barbuda
2017,91119.0,16110.5562811025,750.01922607,2.43248789041366,,10.3047628186758,Antigua and Barbuda
2018,91626.0,17527.1696291931,808.69927979,1.20715793367003,,12.7406976956017,Antigua and Barbuda
2019,92117.0,18319.4560540762,760.26495361,1.43135598182989,,7.59990881788372,Antigua and Barbuda
2020,92664.0,14787.6357752901,,0.625989707046698,,5.63457482060182,Antigua and Barbuda
2021,93219.0,15781.3957017982,,2.06299638545331,,16.6254058878457,Antigua and Barbuda
