Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,129605560.0,458.169283532919,,,,0.264742722017538,Arab World
1973,133384981.0,564.754671324172,,8.26666666600004,,-0.800383313754133,Arab World
1974,137372356.0,1039.62471282132,,15.5282817502668,,-2.87428100449048,Arab World
1975,141756318.0,1113.94803800967,,9.66969548151247,,1.40020573452847,Arab World
1976,146815543.0,1338.81298638537,,10.3174158877413,,0.0731778226891538,Arab World
1977,151960544.0,1493.66239183553,,11.989283322105,,0.651234227429974,Arab World
1978,156741680.0,1589.30293605172,,9.71603274954343,,0.570071360974476,Arab World
1979,162014425.0,2090.0899487149,,,,0.0972953185079492,Arab World
1980,167707208.0,2741.74090703852,,9.62605664613179,,-0.492499052845913,Arab World
1981,173118753.0,2738.13879326639,,10.7585034160145,,1.77694768092134,Arab World
1982,178587926.0,2486.90095118727,,8.33125575581154,,2.94530617727936,Arab World
1983,184342569.0,2270.02296663163,,5.49366551432092,,1.52930018300283,Arab World
1984,190162096.0,2239.65946794824,,8.11639795517099,,1.57860264634309,Arab World
1985,195956917.0,2140.77384121871,,7.25436179981637,,0.484640400024019,Arab World
1986,201916517.0,2015.60634414536,,6.7988584474884,,0.658914663061597,Arab World
1987,207894127.0,2119.37776925596,,4.2224166624075,,0.0264243075706549,Arab World
1988,213455083.0,1990.58453806642,,5.9115449637349,,0.383026496043583,Arab World
1989,219021375.0,2081.18030508524,,7.74088603961338,,0.277016255437891,Arab World
1990,225923327.0,2850.8185069422,,8.45146240803884,,0.476908305724686,Arab World
1991,230837072.0,2042.67020124607,,9.00000000000004,11.6634431687814,0.453676485239812,Arab World
1992,236598334.0,2002.60465008192,,9.35975158953137,11.950447400968,0.739302405967352,Arab World
1993,242994250.0,1986.7410699464,,9.37034415971456,12.6618723571883,0.903331285365839,Arab World
1994,249596194.0,2034.35251121142,,5.11259890444316,12.7383799016074,0.973780875890635,Arab World
1995,255803349.0,2173.77127712841,,6.5437906852417,13.2169994940033,0.055117578248823,Arab World
1996,261953764.0,2344.66030916405,,4.68130623916412,12.266322487717,0.597092573798672,Arab World
1997,268158920.0,2469.86809625122,,3.60116103260948,11.8387853173173,1.35687412110083,Arab World
1998,274376380.0,2348.94243970448,,3.417319489758,11.8480184910254,1.4983690252717,Arab World
1999,280650496.0,2539.94488622793,,2.66937369053699,11.9772996349668,0.427140863136116,Arab World
2000,287065982.0,2842.61927232181,115.009344671891,1.85379035325276,12.4478457077062,0.471362907440894,Arab World
2001,293512340.0,2720.51742733888,117.901600324596,1.77220437351018,12.3240000753147,1.11632366824634,Arab World
2002,300018650.0,2676.90957760396,116.871625302893,1.83299389002049,12.3300848699409,0.768172279685822,Arab World
2003,306573087.0,2896.05482369641,112.753748644334,2.7125924747435,12.2542940003736,1.64666343928401,Arab World
2004,313249616.0,3371.90099475959,122.560777009589,3.63228004956626,11.2793411617153,2.02720930096097,Arab World
2005,320558754.0,4048.84557785748,135.418015667692,3.4936853461953,11.1212581584985,3.55183800818514,Arab World
2006,328703057.0,4679.87818504865,155.979977405271,3.54498591605032,10.4111854975762,4.51782017172887,Arab World
2007,337498222.0,5303.83821640281,184.264154558663,4.74390639021646,10.0030513080955,4.5712667763548,Arab World
2008,346630443.0,6501.82671201089,217.137921082077,11.2706652380848,9.69851873679926,3.94045497511629,Arab World
2009,355754908.0,5562.24770953788,234.958883508847,2.92089711805365,9.31289674968892,3.87457174628804,Arab World
2010,364427661.0,6385.35600081066,244.180437704322,3.91106195534027,9.38650684234694,3.00825017911515,Arab World
2011,372351065.0,6826.51552045642,278.678958623001,4.75316388885632,10.4749676410935,1.76399169749157,Arab World
2012,380383408.0,7327.26882603476,299.659138141511,4.61184432206646,10.6735450417056,1.82415284543883,Arab World
2013,389131555.0,7307.37301728693,335.054409366007,3.23810833914068,10.7343392652866,1.46196515593957,Arab World
2014,397922915.0,7276.42899854934,361.257423106772,2.7735161312612,10.8562137307999,1.08013992470838,Arab World
2015,406501999.0,6245.78778494805,345.255535315787,1.81407723937759,10.9682191394431,1.01121626428327,Arab World
2016,415077960.0,6062.68155691884,348.065442091174,2.06884036053476,10.7633586338785,1.30127085257371,Arab World
2017,423664839.0,6132.42835385013,369.537953649448,1.96682557818839,10.9199205489869,1.16721090653387,Arab World
2018,432545676.0,6474.29534015992,375.191523471592,2.45814158007533,10.5833398795491,1.23352422857808,Arab World
2019,441467739.0,6384.06632128077,378.386190354055,1.09184802655847,10.1651582677219,1.40806136385943,Arab World
2020,449228296.0,5545.45524618957,,1.77740783806174,11.3483704922958,1.50692495202582,Arab World
2021,456520777.0,6271.31900080308,,3.42362947609175,11.0236934412027,2.04149943057498,Arab World
