Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,24612794.0,1411.17666431069,,,,0.206489502181284,Argentina
1973,25020588.0,2100.03058748674,,,,0.190792478260042,Argentina
1974,25449754.0,2846.26630742503,,,,0.0247388145324033,Argentina
1975,25875558.0,2026.57070900355,,,,0.106009598269524,Argentina
1976,26290257.0,1946.32939085275,,,,0.478175476632771,Argentina
1977,26713780.0,2125.53221974145,,,,0.25360595928857,Argentina
1978,27146121.0,2139.63793045529,,,,0.430419501183618,Argentina
1979,27584134.0,2510.58557617376,,,,0.297462920191234,Argentina
1980,28024803.0,2746.20748417286,,,,0.88095511006333,Argentina
1981,28471285.0,2763.37518192638,,,,1.0638454401874,Argentina
1982,28922762.0,2914.91825147004,,,,0.269252481027723,Argentina
1983,29377137.0,3539.45678157511,,,,0.177920358938206,Argentina
1984,29832197.0,2651.22954229727,,,,0.338845892416111,Argentina
1985,30287112.0,2919.28358505293,,,,1.03939676921859,Argentina
1986,30748326.0,3607.82056111587,,,,0.51742270994039,Argentina
1987,31216453.0,3559.21895925195,,,,-0.0171007571834998,Argentina
1988,31690792.0,3982.4444020235,,,,0.908825708058126,Argentina
1989,32165766.0,2382.56095118242,,,,1.34139040897869,Argentina
1990,32637657.0,4330.95944095164,,,,1.2988816648031,Argentina
1991,33105763.0,5730.72380988423,,,5.44000005722046,1.28557885422783,Argentina
1992,33568285.0,6815.61828975463,,,6.3600001335144,1.93671240172489,Argentina
1993,34027240.0,6957.41749889251,,,10.1000003814697,1.17980281165114,Argentina
1994,34488696.0,7464.4747368819,,,11.7600002288818,1.411953029158,Argentina
1995,34946110.0,7383.70450960064,,,18.7999992370605,2.17392758974997,Argentina
1996,35389362.0,7690.15700254783,,,17.1100006103516,2.55320340608332,Argentina
1997,35815971.0,8176.77119517435,,,14.8199996948242,3.12787793868196,Argentina
1998,36233195.0,8250.67317414321,,,12.6499996185303,2.43876896154487,Argentina
1999,36653031.0,7735.32208018486,,,14.0500001907349,8.46058217133806,Argentina
2000,37070774.0,7666.51783423783,708.76953125,,15.0,3.66579059535379,Argentina
2001,37480493.0,7168.97587232911,675.05786133,,17.3199996948242,0.806164134759348,Argentina
2002,37885028.0,2579.48876933284,223.84860229,,19.5900001525879,2.19895819502207,Argentina
2003,38278164.0,3333.15290388997,262.28659058,,15.3599996566772,1.29481086883944,Argentina
2004,38668796.0,4258.16026060875,311.64505005,,13.5200004577637,2.5050175164097,Argentina
2005,39070501.0,5086.62776073134,392.58874512,,11.5100002288818,2.64935441452167,Argentina
2006,39476851.0,5890.97800169795,455.7980957,,10.0799999237061,2.38106854489628,Argentina
2007,39876111.0,7210.59554755899,572.0401001,,8.47000026702881,2.25129423568361,Argentina
2008,40273769.0,8977.50685093365,746.49328613,,7.84000015258789,2.68990096507093,Argentina
2009,40684338.0,8184.38988923991,785.67022705,,8.64999961853027,1.20643922647566,Argentina
2010,40788453.0,10385.9644319555,985.03442383,,7.71000003814697,2.67516171886537,Argentina
2011,41261490.0,12848.8641969705,1208.39160156,,7.17999982833862,2.04464008003071,Argentina
2012,41733271.0,13082.664325572,1368.42297363,,7.21999979019165,2.80667189982932,Argentina
2013,42202935.0,13080.2547323367,1421.65759277,,7.09999990463257,1.77920553648531,Argentina
2014,42669500.0,12334.7982453893,1286.21765137,,7.26999998092651,0.962406650325519,Argentina
2015,43131966.0,13789.060424772,1531.48425293,,7.52400016784668,1.97713461784426,Argentina
2016,43590368.0,12790.2424732447,1153.53405762,,8.10900020599365,0.584749931723909,Argentina
2017,44044811.0,14613.041824658,1529.67004395,,8.35000038146973,1.78936428458758,Argentina
2018,44494502.0,11795.1593866287,1127.9284668,,9.22000026702881,2.232532212602,Argentina
2019,44938712.0,9963.6725062053,945.99194336,,9.84000015258789,1.48500712244788,Argentina
2020,45376763.0,8496.42414176374,,,11.460000038147,1.2249432125131,Argentina
2021,45808747.0,10636.1201956183,,,8.73999977111816,1.39202962208735,Argentina
