Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2648048.0,,,,,,Armenia
1973,2706852.0,,,,,,Armenia
1974,2767646.0,,,,,,Armenia
1975,2830798.0,,,,,,Armenia
1976,2896311.0,,,,,,Armenia
1977,2965523.0,,,,,,Armenia
1978,3038224.0,,,,,,Armenia
1979,3097058.0,,,,,,Armenia
1980,3135123.0,,,,,,Armenia
1981,3167876.0,,,,,,Armenia
1982,3202011.0,,,,,,Armenia
1983,3238291.0,,,,,,Armenia
1984,3272102.0,,,,,,Armenia
1985,3300896.0,,,,,,Armenia
1986,3327182.0,,,,,,Armenia
1987,3351364.0,,,,,,Armenia
1988,3366838.0,,,,,,Armenia
1989,3448186.0,,,,,,Armenia
1990,3556539.0,634.5604132585,,,,,Armenia
1991,3617631.0,572.16176273095,,,1.60000002384186,,Armenia
1992,3574555.0,356.082212590475,,,1.79999995231628,0.188555393671621,Armenia
1993,3457349.0,347.466463257033,,,5.30000019073486,0.0665938114123568,Armenia
1994,3373713.0,389.825286464953,,3373.75944336293,6.59999990463257,0.608291636986276,Armenia
1995,3322782.0,441.89400183385,,175.951325534583,6.69999980926514,1.72442275716256,Armenia
1996,3298898.0,484.091640977405,,18.681185640036,9.30000019073486,1.10020924585916,Armenia
1997,3271418.0,501.156515236364,,13.960764121791,10.8000001907349,3.16805363549908,Armenia
1998,3240550.0,584.384267258527,,8.6724863238516,9.39999961853027,12.2707797402698,Armenia
1999,3206030.0,575.62847915563,,0.648245760470397,11.1999998092651,6.61258080861414,Armenia
2000,3168523.0,603.298025247115,26.12908936,-0.790883768934766,11.0550003051758,5.45043315573561,Armenia
2001,3133133.0,676.150011307766,32.25933838,3.14590464685019,10.9329996109009,3.29806741743693,Armenia
2002,3105037.0,765.31617768154,59.63238907,1.06004929341667,10.8100004196167,4.65949974895048,Armenia
2003,3084102.0,910.171261745184,66.77802277,4.72155336605342,10.625,4.37657009672658,Armenia
2004,3065745.0,1166.63820390025,72.17178345,6.96126135875792,10.3470001220703,6.90990201303095,Armenia
2005,3047246.0,1608.16355164313,96.35484314,0.638928002410126,10.2180004119873,5.96010633958357,Armenia
2006,3026486.0,2109.52623145856,126.25294495,2.89235662459002,10.0010004043579,7.3073150316137,Armenia
2007,3004393.0,3064.28010596357,172.60186768,4.40736089644519,9.8100004196167,7.25233197719082,Armenia
2008,2983421.0,3908.94906011431,266.31158447,8.94995335353386,9.99699974060059,8.09234920917782,Armenia
2009,2964296.0,2917.366129424,252.83560181,3.40676682683799,9.89400005340576,8.78869455248089,Armenia
2010,2946293.0,3143.02920239019,297.22906494,8.17636138473956,10.5419998168945,5.71603784546004,Armenia
2011,2928976.0,3462.6816110805,330.57556152,7.6500080785929,10.9169998168945,6.44066836705362,Armenia
2012,2914421.0,3643.71518342262,336.32055664,2.55802007757907,11.2980003356934,4.67672787765567,Armenia
2013,2901385.0,3833.1575324911,396.23254395,5.78966778544654,11.5310001373291,3.11193148125796,Armenia
2014,2889930.0,4017.22980824942,405.72888184,2.98130868933673,11.8620004653931,3.50211424719527,Armenia
2015,2878595.0,3666.1418758065,364.97280884,3.73169119261695,12.1770000457764,1.74473699241328,Armenia
2016,2865835.0,3679.95197212365,357.45776367,-1.40360755900906,12.4259996414185,3.16536760097291,Armenia
2017,2851923.0,4041.99502080997,405.6506958,0.969553268816231,12.9440002441406,2.19257340412979,Armenia
2018,2836557.0,4391.92369729686,422.28268433,2.52023382001631,13.210000038147,2.1420476257108,Armenia
2019,2820602.0,4828.50517771789,523.99908447,1.44344660770702,12.1999998092651,0.736361472397063,Armenia
2020,2805608.0,4505.86736397124,,1.21143577838465,12.1800003051758,0.463408889617251,Armenia
2021,2790974.0,4966.51347122366,,7.18483629443373,12.7290000915527,2.64363593346125,Armenia
