Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,58855.0,,,,,,Aruba
1973,59365.0,,,,,,Aruba
1974,60028.0,,,,,,Aruba
1975,60715.0,,,,,,Aruba
1976,61193.0,,,,,,Aruba
1977,61465.0,,,,,,Aruba
1978,61738.0,,,,,,Aruba
1979,62006.0,,,,,,Aruba
1980,62267.0,,,,,,Aruba
1981,62614.0,,,,,,Aruba
1982,63116.0,,,,,,Aruba
1983,63683.0,,,,,,Aruba
1984,64174.0,,,,,,Aruba
1985,64478.0,,,4.03225805628625,,,Aruba
1986,64553.0,6283.00144344602,,1.07396640826832,,0.0,Aruba
1987,64450.0,7567.25364168664,,3.64304545817704,,0.223058133218786,Aruba
1988,64332.0,9274.51415613905,,3.12186849610724,,2.05548592827715,Aruba
1989,64596.0,10767.3962204623,,3.99162804604573,,0.186907630522088,Aruba
1990,65712.0,11638.7337057728,,5.83668775158168,,17.063550036523,Aruba
1991,67864.0,12850.2157123975,,5.55555555555579,,21.1851377322229,Aruba
1992,70192.0,13657.6706444765,,3.87337536996478,,-3.85780885780886,Aruba
1993,72360.0,14970.1523419526,,5.21555996035712,,-1.65549252191851,Aruba
1994,74710.0,16675.2784883673,,6.3110797127044,,-5.8744394618834,Aruba
1995,77050.0,17140.4333687405,,3.36139107320895,,-0.418781725888325,Aruba
1996,79417.0,17375.2253063755,,3.22528797213981,,6.16194331983806,Aruba
1997,81858.0,18713.4253880988,,2.99994809778411,,12.9139314369073,Aruba
1998,84355.0,19742.3167386832,,1.8694885361554,,6.81314994968132,Aruba
1999,86867.0,19833.8267458639,,2.28037198258756,,27.1368352788586,Aruba
2000,89101.0,21023.1575127316,,4.04402131190514,,-6.82970474202208,Aruba
2001,90691.0,20913.2994971137,,2.8836043031626,,-14.0736377025037,Aruba
2002,91781.0,21377.0951851076,,3.31524678585428,,16.9476082004556,Aruba
2003,92701.0,22050.8309318377,,3.65636507938414,,7.81634326318665,Aruba
2004,93540.0,24104.6461765229,,2.52912946932762,,-4.6878097125867,Aruba
2005,94483.0,24975.6732567007,,3.39778677828806,,-8.8058340554927,Aruba
2006,95606.0,25833.445623022,,3.60802438784541,,8.92028704152164,Aruba
2007,96787.0,27665.4264651752,,5.39256784475512,,-17.590235760484,Aruba
2008,97996.0,29011.5592450359,,8.9559870517779,,0.664177638042837,Aruba
2009,99212.0,25739.1372506975,,-2.13542872046934,,-0.415663968497046,Aruba
2010,100341.0,24452.9283634427,,2.07814071860782,,7.61156648451731,Aruba
2011,101288.0,26044.4359333351,,4.31629742195207,,18.5048708174503,Aruba
2012,102112.0,25609.9557239373,,0.627471992893334,,-12.0337534714805,Aruba
2013,102880.0,26515.678080228,,-2.37206524252253,,8.29827536350606,Aruba
2014,103594.0,26942.3079764655,,0.42144091888116,,8.9793112489992,Aruba
2015,104257.0,28421.3864931862,,0.474763597342612,,-0.971130901206636,Aruba
2016,104874.0,28451.2737445083,,-0.931195987079616,,0.923362086669774,Aruba
2017,105439.0,29326.7080582111,,-1.02828178762002,,5.25401548718154,Aruba
2018,105962.0,30220.5945232395,,3.62604141352956,,4.24457258198044,Aruba
2019,106442.0,31650.7605367511,,4.25746204335428,,-2.2329238620065,Aruba
2020,106585.0,24487.8635601966,,,,6.1710565604208,Aruba
2021,106537.0,29342.1008575886,,,,4.27205030200395,Aruba
