Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,13177000.0,3949.46164337606,,6.02409638554218,,2.0253132842902,Australia
1973,13380000.0,4770.71441498637,,9.09090909090911,,0.211554283115654,Australia
1974,13723000.0,6482.83108182526,,15.4166666666667,,1.49243687256983,Australia
1975,13893000.0,7003.84247098582,,15.1624548736462,,0.461468107892051,Australia
1976,14033000.0,7487.07897464755,,13.3228840125392,,0.99681329811729,Australia
1977,14192000.0,7775.57764482147,,12.3098201936376,,1.03399119214937,Australia
1978,14358000.0,8252.91653378951,,8.00492610837437,,1.41512325423701,Australia
1979,14514000.0,9294.35924726014,,9.12200684150512,,1.1045230371145,Australia
1980,14692000.0,10208.5761716721,,10.1358411703239,,1.24427870574284,Australia
1981,14923260.0,11853.4360174361,,9.48766603415561,,1.32654261864299,Australia
1982,15184247.0,12778.855250056,,11.3518197573657,,1.17828984178583,Australia
1983,15393472.0,11515.7384250381,,10.0389105058366,,1.68726312359593,Australia
1984,15579391.0,12421.4925977337,,3.96039603960395,,0.221296022446173,Australia
1985,15788312.0,11440.9685687363,,6.73469387755101,,1.16181325679807,Australia
1986,16018350.0,11391.4367051223,,9.05035054174635,,2.9427854661873,Australia
1987,16263874.0,11650.8418747976,,8.53302162478083,,2.73923785006447,Australia
1988,16532164.0,14284.5158135864,,7.21593968766826,,3.58934371195924,Australia
1989,16814416.0,17834.5688669242,,7.53390256152692,,2.67547941149058,Australia
1990,17065128.0,18249.7094846628,,7.33302195235869,,2.71575581134684,Australia
1991,17284036.0,18860.5815907438,,3.17667536988686,9.57999992370605,0.801279424409727,Australia
1992,17478635.0,18624.5550841793,,1.01223112610711,10.7299995422363,1.51810258362969,Australia
1993,17634808.0,17700.1155557894,,1.75365344467641,10.8699998855591,1.70195002498883,Australia
1994,17805468.0,18129.7907198601,,1.96963479688142,9.72000026702881,1.38115064992841,Australia
1995,18004882.0,20446.7198474713,,4.62776659959758,8.47000026702881,3.60429377655584,Australia
1996,18224767.0,22020.093721362,,2.61538461538462,8.51000022888184,1.13726052021176,Australia
1997,18423037.0,23645.0883283773,,0.224887556221881,8.35999965667725,1.85670403677892,Australia
1998,18607584.0,21478.3851573346,,0.860134629768157,7.67999982833862,1.90101452622214,Australia
1999,18812264.0,20698.7127028167,,1.48312940304038,6.86999988555908,0.567790644711881,Australia
2000,19028802.0,21853.781667691,1638.81494141,4.45743514797225,6.28000020980835,3.58132311772156,Australia
2001,19274701.0,19681.6626363573,1564.16650391,4.4071353620147,6.73999977111816,2.82506987067408,Australia
2002,19495210.0,20291.1785479686,1770.46618652,2.98157453936349,6.36999988555908,3.7050135609231,Australia
2003,19720737.0,23705.9072163917,2249.29077148,2.73259596616783,5.92999982833862,1.92198614075254,Australia
2004,19932722.0,30819.9934867745,2767.13696289,2.34325522482587,5.3899998664856,6.98450782182951,Australia
2005,20176844.0,34461.7087799639,3013.08764648,2.69183168316831,5.03000020980835,-3.60881808242921,Australia
2006,20450966.0,36570.7203684146,3184.80761719,3.55528773727028,4.78000020980835,4.08488203440498,Australia
2007,20827622.0,41023.7548562293,3799.73754883,2.32761128891476,4.38000011444092,5.20115545952257,Australia
2008,21249199.0,49679.1805279842,4090.76196289,4.35029854990047,4.23000001907349,4.27796453137459,Australia
2009,21691653.0,42810.331655139,3995.34008789,1.77111716621252,5.55999994277954,3.08878274061045,Australia
2010,22031750.0,52134.3088504199,4945.03808594,2.91834002677376,5.21000003814697,3.06550804311002,Australia
2011,22340024.0,62596.4321748915,5861.70263672,3.30385015608744,5.07999992370605,4.6878302982878,Australia
2012,22733465.0,68044.714816234,6025.34472656,1.76278015613193,5.21999979019165,3.72039040303077,Australia
2013,23128129.0,68158.5797427053,5813.98535156,2.44988864142539,5.65999984741211,3.45509746249548,Australia
2014,23475686.0,62513.4112171122,5607.91796875,2.48792270531403,6.07999992370605,4.30669716613681,Australia
2015,23815995.0,56710.4457244504,4862.6015625,1.50836672165921,6.05000019073486,3.47195792643409,Australia
2016,24190907.0,49875.5651433836,4993.68945313,1.27699094497328,5.71000003814697,3.56139685211994,Australia
2017,24594202.0,53936.1402549903,5340.36474609,1.94864740944522,5.59000015258789,3.6334731204036,Australia
2018,24966643.0,57207.8715094806,5364.54296875,1.91140094445692,5.30000019073486,4.24885506506051,Australia
2019,25340217.0,54941.4341793948,5427.46240234,1.61076787290379,5.15999984741211,2.79835639813249,Australia
2020,25655289.0,51720.3707634401,,0.846905537459293,6.46000003814697,1.15361755607952,Australia
2021,25688079.0,60443.1091649968,,2.86391042204995,5.11999988555908,1.59654757340419,Australia
