Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,7544201.0,2924.04887899105,,6.35514612686782,,0.65912309271996,Austria
1973,7586115.0,3890.72241941969,,7.53107803827125,,0.544663569274848,Austria
1974,7599038.0,4630.75719737956,,9.52178819742239,,0.503135897686133,Austria
1975,7578903.0,5285.62072414121,,8.44525863917966,,0.197482691976213,Austria
1976,7565525.0,5678.38665810018,,7.31868545106923,,0.212360452737618,Austria
1977,7568430.0,6810.62768469634,,5.49461568127665,,0.18781370589759,Austria
1978,7562305.0,8205.4689771504,,3.57431857551219,,0.229467874379749,Austria
1979,7549425.0,9793.76534815017,,3.70740096353416,,0.253498582850049,Austria
1980,7549433.0,10869.5464940526,,6.32832536226099,,0.291619753734813,Austria
1981,7568710.0,9385.24906398343,,6.80304177599256,,0.461073495241137,Austria
1982,7574140.0,9410.34725652989,,5.43603082512853,,0.291714010549652,Austria
1983,7561910.0,9537.40742043378,,3.33916453409529,,0.299662997484513,Austria
1984,7561434.0,8991.06503963026,,5.66318573909355,,0.169507119647272,Austria
1985,7564985.0,9172.09676001833,,3.1895168180519,,0.243804293891896,Austria
1986,7569794.0,13083.0726621044,,1.70544456731969,,0.185185793404524,Austria
1987,7574586.0,16392.7695234749,,1.40195271783978,,0.318512006698107,Austria
1988,7585317.0,17578.6189397397,,1.91571684671255,,0.334055120432504,Austria
1989,7619567.0,17468.9461372569,,2.56834829029368,,0.437230958605009,Austria
1990,7677850.0,21680.989623313,,3.26187231878578,,0.392278455333375,Austria
1991,7754891.0,22410.9117666654,,3.3374270347479,3.42000007629395,0.207141576445997,Austria
1992,7840709.0,24880.1641180361,,4.02084780038555,3.58999991416931,0.761498881648669,Austria
1993,7905633.0,24081.5277928004,,3.63178524943182,4.25,0.590980025063282,Austria
1994,7936118.0,25646.7006591684,,2.95340936761076,3.53999996185303,1.0198841076229,Austria
1995,7948278.0,30325.8495818396,,2.24336631500904,4.34000015258789,0.757178581558874,Austria
1996,7959017.0,29809.0767730821,,1.86097115760431,5.28000020980835,1.8223375348554,Austria
1997,7968041.0,26705.4785993891,,1.30597857227694,5.15000009536743,1.2542743768135,Austria
1998,7976789.0,27361.8751106437,,0.92246719668082,5.48000001907349,2.09468418822409,Austria
1999,7992324.0,27183.4759263956,,0.568993765885587,4.69999980926514,1.36910230387565,Austria
2000,8011566.0,24625.6007227434,2269.12646484,2.34486285357277,4.69000005722046,4.30890039482994,Austria
2001,8042293.0,24558.7636778868,2282.51586914,2.65000077279529,4.01000022888184,2.88059839258097,Austria
2002,8081957.0,26527.5930910347,2497.8659668,1.81035787764132,4.84999990463257,0.0645287981478418,Austria
2003,8121423.0,32294.0488606559,3091.24023438,1.35555370896445,4.78000020980835,2.36204525540375,Austria
2004,8171966.0,36889.2335135194,3594.65039063,2.06120618032866,5.82999992370605,1.05608551598741,Austria
2005,8227829.0,38417.4577857677,3710.39794922,2.29913785639285,5.63000011444092,25.6558278307872,Austria
2006,8268641.0,40669.3269586152,3882.98193359,1.44154851119019,5.23999977111816,3.1225333500469,Austria
2007,8295487.0,46915.3374004507,4478.76855469,2.16855528800755,4.8600001335144,17.6948460131618,Austria
2008,8321496.0,51919.9835754226,5057.76074219,3.21595033239883,4.13000011444092,1.45842274091571,Austria
2009,8343323.0,48153.3240199631,4928.98779297,0.506308827696486,5.30000019073486,3.55936613543504,Austria
2010,8363404.0,46903.7615854343,4800.79345703,1.81353438995065,4.82000017166138,-5.61017631479876,Austria
2011,8391643.0,51442.2762464407,5167.81787109,3.28657914875376,4.55999994277954,5.32423673714992,Austria
2012,8429991.0,48564.9173350875,4966.09570313,2.48567562177017,4.86999988555908,1.27469393348716,Austria
2013,8479823.0,50731.1272541847,5235.34130859,2.00015616900603,5.34000015258789,0.104862185985247,Austria
2014,8546356.0,51786.3771747905,5393.60205078,1.60581182954471,5.61999988555908,0.386858115054066,Austria
2015,8642699.0,44195.8175947748,4612.82421875,0.896563335260302,5.71999979019165,-2.08805653898309,Austria
2016,8736668.0,45307.5878620429,4709.87597656,0.891591752655335,6.01000022888184,-7.31091695803709,Austria
2017,8797566.0,47429.1584564387,4938.91992188,2.08126911385587,5.5,3.23990497953366,Austria
2018,8840521.0,51466.5565633634,5322.26269531,1.99837981429546,4.84999990463257,-6.2871015854224,Austria
2019,8879920.0,50070.4033482901,5242.18310547,1.53089564152645,4.48999977111816,-2.78754883904721,Austria
2020,8916864.0,48809.2268762243,,1.38191063351859,5.3600001335144,-2.68062068730377,Austria
2021,8955797.0,53637.7057109897,,2.76666666666665,6.17999982833862,2.56607247082557,Austria
