Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5391450.0,,,,,,Azerbaijan
1973,5493900.0,,,,,,Azerbaijan
1974,5594100.0,,,,,,Azerbaijan
1975,5689050.0,,,,,,Azerbaijan
1976,5781000.0,,,,,,Azerbaijan
1977,5876150.0,,,,,,Azerbaijan
1978,5976150.0,,,,,,Azerbaijan
1979,6071300.0,,,,,,Azerbaijan
1980,6160500.0,,,,,,Azerbaijan
1981,6257750.0,,,,,,Azerbaijan
1982,6357550.0,,,,,,Azerbaijan
1983,6459800.0,,,,,,Azerbaijan
1984,6567850.0,,,,,,Azerbaijan
1985,6670150.0,,,,,,Azerbaijan
1986,6770300.0,,,,,,Azerbaijan
1987,6875350.0,,,,,,Azerbaijan
1988,6974600.0,,,,,,Azerbaijan
1989,7076550.0,,,,,,Azerbaijan
1990,7175200.0,1234.53088916207,,,,,Azerbaijan
1991,7271300.0,1209.18760201194,,,0.899999976158142,,Azerbaijan
1992,7382050.0,60.4582135796365,,-10.6300971576201,1.79999995231628,,Azerbaijan
1993,7494800.0,209.478571809788,,1128.00002429404,4.5,0.000636942675159236,Azerbaijan
1994,7596550.0,157.086059054548,,1662.21594875899,6.30000019073486,1.84360821990926,Azerbaijan
1995,7684850.0,314.561226313624,,411.759641777268,7.19999980926514,13.6533477832974,Azerbaijan
1996,7763000.0,409.163189106479,,19.7948028061899,8.10000038146973,19.7484594561956,Azerbaijan
1997,7838250.0,505.500349333104,,3.6743480968473,9.10000038146973,28.1365725168603,Azerbaijan
1998,7913000.0,561.906807871869,,-0.772697886033187,10.0,23.0067972039761,Azerbaijan
1999,7982750.0,573.916512334089,,-8.52517000536062,10.8999996185303,11.1388097798734,Azerbaijan
2000,8048600.0,655.119945170816,19.14171791,1.80500303704358,11.7799997329712,2.46428917572752,Azerbaijan
2001,8111200.0,703.683843432722,19.19028282,1.54719590152278,10.9099998474121,14.3591301584017,Azerbaijan
2002,8171950.0,763.080637985358,20.59105873,2.77116471998268,10.039999961853,32.4667011859794,Azerbaijan
2003,8234100.0,883.733971498452,23.80008125,2.23386492967051,9.17000007629395,55.0702972504023,Azerbaijan
2004,8306500.0,1045.00937916805,27.38257599,6.70893042797785,7.98999977111816,54.3652721964315,Azerbaijan
2005,8391850.0,1578.40239029603,35.07611465,9.67950731917054,7.26000022888184,33.7950471423438,Azerbaijan
2006,8484550.0,2473.08181863536,50.24787903,8.32892482863207,6.61999988555908,21.3790636203604,Azerbaijan
2007,8581300.0,3851.43786871172,75.39520264,16.6997549618245,6.32999992370605,13.9007147102484,Azerbaijan
2008,8763400.0,5574.60380218613,107.36143494,20.8490871772713,5.8600001335144,8.16090965787349,Azerbaijan
2009,8947243.0,4950.29479142375,129.7258606,1.45704835970323,5.73999977111816,6.54760084266112,Azerbaijan
2010,9054332.0,5843.5337683582,145.84526062,5.72687224669606,5.63000011444092,6.337255132933,Azerbaijan
2011,9173082.0,7189.69122920765,176.40847778,7.85833333333332,5.42000007629395,6.80062068276948,Azerbaijan
2012,9295784.0,7496.29464768263,222.98551941,1.06621339720313,5.19000005722046,7.59608356760687,Azerbaijan
2013,9416801.0,7875.75695254288,239.95080566,2.41571745279411,4.96999979019165,3.53193139888625,Azerbaijan
2014,9535079.0,7891.31314749986,267.3097229,1.3734418153318,4.90999984741211,5.88810891600482,Azerbaijan
2015,9649341.0,5500.31038244408,226.51002502,4.02768573742728,4.96000003814697,7.62633633321074,Azerbaijan
2016,9757812.0,3880.73873089556,156.99572754,12.4433748584372,5.0,11.8826533237788,Azerbaijan
2017,9854033.0,4147.08971569171,155.0982666,12.9359184187334,4.96000003814697,7.01687943666137,Azerbaijan
2018,9939771.0,4739.84171028393,168.39164734,2.26854690374005,4.94000005722046,2.97794611197123,Azerbaijan
2019,10024283.0,4805.75371765917,193.10884094,2.61057182799216,4.84999990463257,3.12183056112494,Azerbaijan
2020,10093121.0,4229.91064904503,,2.75980947008126,7.15999984741211,1.18790387182911,Azerbaijan
2021,10137750.0,5387.99797495383,,6.65029912708779,5.94999980926514,-3.1263236112891,Azerbaijan
