Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,189181.0,3123.46377278902,,6.83081131902367,,15.3037739042139,"Bahamas, The"
1973,193563.0,3466.05497951571,,5.48175416169897,,15.2407214189894,"Bahamas, The"
1974,197767.0,3197.70234670092,,13.0718458387013,,22.6818469323213,"Bahamas, The"
1975,201881.0,2953.22491963087,,10.3596349973051,,2.94867492452197,"Bahamas, The"
1976,206096.0,3115.53838987656,,4.25583657583808,,2.27378912941909,"Bahamas, The"
1977,210534.0,3386.62638813683,,3.1898763705575,,4.4039270687237,"Bahamas, The"
1978,215016.0,3871.33980727016,,6.10907035899869,,-0.132148005766458,"Bahamas, The"
1979,219426.0,5194.46237000173,,9.09139326792412,,0.842252952952013,"Bahamas, The"
1980,223752.0,5967.76788587365,,12.0978372310682,,0.307047105519359,"Bahamas, The"
1981,227956.0,6257.78659039464,,11.1144984973891,,2.41149667017175,"Bahamas, The"
1982,232177.0,6797.83096516882,,6.01262101667497,,0.17740606982196,"Bahamas, The"
1983,236586.0,7324.18655372676,,3.99999999999995,,-0.346260387811634,"Bahamas, The"
1984,241166.0,8463.46499921216,,3.96634615384614,,-0.240066630738327,"Bahamas, The"
1985,245935.0,9436.23274442434,,4.60500963391137,,-1.30133155088256,"Bahamas, The"
1986,250804.0,9858.29572096139,,5.43378154356233,,-0.533872598584429,"Bahamas, The"
1987,255618.0,10617.4052687995,,5.75646401118136,,0.397936639570252,"Bahamas, The"
1988,260452.0,10819.2680417121,,4.40241182786762,,1.30238830334646,"Bahamas, The"
1989,265493.0,11533.2607639373,,5.38765822784808,,0.829523187459177,"Bahamas, The"
1990,270679.0,11696.5113658614,,4.66931912018676,,-0.536955148452306,"Bahamas, The"
1991,276058.0,11269.9505176448,,7.11468120203626,12.1700000762939,-0.0417850576633796,"Bahamas, The"
1992,281973.0,11025.8783642405,,5.73819886173449,14.8100004196167,0.00964940495336121,"Bahamas, The"
1993,288164.0,10730.0009716689,,2.72289766970589,12.7200002670288,0.882923673997413,"Bahamas, The"
1994,293997.0,11085.1471273516,,1.39933423745549,13.8299999237061,0.72414851181344,"Bahamas, The"
1995,299554.0,11447.0178999446,,2.06699495410041,10.8299999237061,3.11752697579469,"Bahamas, The"
1996,304933.0,11835.386789885,,1.37913741223667,11.460000038147,2.43280687170961,"Bahamas, The"
1997,310171.0,20415.7061749809,,0.544150383378706,9.76000022888184,3.31629913649887,"Bahamas, The"
1998,315398.0,21665.3878591494,,1.33661336613368,7.65000009536743,2.1497917526437,"Bahamas, The"
1999,320272.0,23991.7008043163,,1.25424826023631,7.44999980926514,1.94303131104509,"Bahamas, The"
2000,325014.0,24849.6064784902,1030.96899414,1.6063294174058,7.19600009918213,3.09850714482936,"Bahamas, The"
2001,329626.0,25234.1441512502,1078.69445801,2.04498977505121,6.86999988555908,1.23072964943982,"Bahamas, The"
2002,334002.0,26590.1401788013,1100.53259277,2.17357792508091,9.05000019073486,1.72038337334312,"Bahamas, The"
2003,338490.0,26204.8804986853,1138.74060059,3.02504526252236,10.8400001525879,2.14428489451629,"Bahamas, The"
2004,343089.0,26393.4139538137,1148.94238281,0.981914036757665,10.1999998092651,3.02143829739302,"Bahamas, The"
2005,347804.0,28280.870835298,1220.78820801,1.59160618079803,10.1999998092651,5.72797116772737,"Bahamas, The"
2006,352664.0,28829.8493750425,1323.53088379,2.38982627439253,7.53999996185303,6.94760136713467,"Bahamas, The"
2007,357666.0,29687.865215033,1415.03674316,2.49257794939399,7.88000011444092,6.71809341196458,"Bahamas, The"
2008,362795.0,29013.6302870767,1489.42724609,4.48955995375059,8.18000030517578,8.17172902365571,"Bahamas, The"
2009,368057.0,27120.6905452145,1470.68774414,2.0627347345268,14.25,6.65159948547179,"Bahamas, The"
2010,373272.0,27046.6576651879,1495.23132324,1.34402738392836,14.3210000991821,8.63699216304667,"Bahamas, The"
2011,377950.0,26644.9265775896,1491.04162598,3.19878141660321,14.5200004577637,6.61957509346653,"Bahamas, The"
2012,382061.0,28059.6553953426,1568.28796387,1.97336755976255,14.0200004577637,4.908082645399,"Bahamas, The"
2013,385650.0,27389.6019706988,1609.31799316,0.722414784530555,16.1800003051758,3.61885106221835,"Bahamas, The"
2014,389131.0,28720.6621934516,1670.24035645,1.51375643050825,13.8000001907349,2.24834628197672,"Bahamas, The"
2015,392697.0,30206.2404347372,1635.88293457,1.86148302863373,12.0,0.641346873182205,"Bahamas, The"
2016,395976.0,29887.1648786795,1774.02172852,-0.346376929989402,12.6999998092651,3.29880212605411,"Bahamas, The"
2017,399020.0,30969.8761966819,2162.42358398,1.51820700736153,9.80000019073486,2.46477935130877,"Bahamas, The"
2018,401906.0,31738.2671569969,2002.41296387,2.26586346678726,10.0,3.85240196012533,"Bahamas, The"
2019,404557.0,32610.4850490784,2004.61633301,2.49123527368055,10.0509996414185,3.65524609173943,"Bahamas, The"
2020,406471.0,23862.7109929122,,0.0385210980053727,12.8669996261597,4.48064126814366,"Bahamas, The"
2021,407906.0,27478.3896289831,,2.90491262928479,11.664999961853,3.41759701587258,"Bahamas, The"
