Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,243143.0,,,5.08819538648818,,,Bahrain
1973,256632.0,,,14.3318269849979,,,Bahrain
1974,270627.0,,,24.3929983061798,,,Bahrain
1975,285116.0,,,16.1597821153707,,,Bahrain
1976,300044.0,,,22.495766575964,,,Bahrain
1977,315337.0,,,17.7311208942373,,,Bahrain
1978,330912.0,,,15.7855375941987,,,Bahrain
1979,346697.0,,,2.20599195116765,,,Bahrain
1980,362595.0,8474.18836020654,,3.86952505941505,,-13.6048785247406,Bahrain
1981,377430.0,9187.97962254238,,11.3445968083975,,0.119671753968863,Bahrain
1982,391017.0,9323.74981356581,,8.88571308471458,,0.780566094868503,Bahrain
1983,404772.0,9227.67973817044,,2.97239915075073,,1.71603532213727,Bahrain
1984,419217.0,9316.38055322895,,0.322399250235335,,3.60231529170047,Bahrain
1985,434375.0,8407.16363079749,,-2.63596930296972,,2.77474328162553,Bahrain
1986,450196.0,6780.14379741552,,-2.29609321419559,,-1.0455693996689,Bahrain
1987,466565.0,7270.20031643672,,-1.7450017537706,,-1.0584915366545,Bahrain
1988,483337.0,7660.06661402143,,0.303435966086571,,5.99813231808059,Bahrain
1989,500349.0,7721.73788652967,,1.48589732182573,,4.68093894128175,Bahrain
1990,517418.0,8174.79723172088,,0.929335437489092,,2.16926559356137,Bahrain
1991,535415.0,8621.76704846767,,0.764419735927589,1.06099998950958,13.4182174338883,Bahrain
1992,554470.0,8568.65805144955,,-0.172413793103325,1.10199999809265,18.282579489476,Bahrain
1993,573755.0,9063.5653849584,,2.53886010362698,1.04999995231628,-5.28819122278764,Bahrain
1994,593254.0,9384.77188092589,,0.816910897759777,1.16700005531311,3.74032691068299,Bahrain
1995,612934.0,9543.38936842945,,2.70403475064702,1.12800002098083,7.36112680738262,Bahrain
1996,632756.0,9643.30869429956,,-0.452227382530316,1.12699997425079,33.5660175347339,Bahrain
1997,652643.0,9728.44632305414,,2.43155133955926,1.1360000371933,5.1862288175725,Bahrain
1998,672484.0,9195.42560974637,,-0.366533864541796,1.12100005149841,2.90201967187026,Bahrain
1999,692133.0,9566.09549369908,,-1.2875879718491,1.12600004673004,6.85299995707791,Bahrain
2000,711442.0,12738.7741181575,485.6864624,-0.704852953090768,1.11699998378754,4.01154558234919,Bahrain
2001,730257.0,12291.8326130535,484.90734863,-1.2075718015666,1.14400005340576,0.895243944446186,Bahrain
2002,748324.0,12819.9959353139,503.03005981,-0.495540138751172,1.1360000371933,2.26180894388217,Bahrain
2003,778256.0,14230.29675298,567.23797607,1.59362549800788,1.11000001430511,4.66554367760964,Bahrain
2004,833451.0,15777.9636408956,550.35980225,2.35294117647061,1.10300004482269,6.58021002500264,Bahrain
2005,901921.0,17705.235163895,570.29425049,2.58620689655173,1.10399997234344,6.56659445840229,Bahrain
2006,970981.0,19057.7989047138,591.3112793,2.00746965452849,1.10699999332428,15.7508650085887,Bahrain
2007,1040532.0,20883.5480311994,692.96832275,3.25666666666702,1.09099996089935,8.08243218951671,Bahrain
2008,1110343.0,23155.821449155,757.73614502,3.52600316363722,1.11000001430511,6.97757782740497,Bahrain
2009,1179453.0,19448.1832553789,785.26031494,2.79551283550411,1.14400005340576,1.12105291032726,Bahrain
2010,1213645.0,21186.8143292279,796.31842041,1.96188468334624,1.12999999523163,0.605800045797767,Bahrain
2011,1212077.0,23741.5574626702,805.3147583,-0.400040697488052,1.18499994277954,2.71349353049908,Bahrain
2012,1224939.0,25102.726348527,971.36846924,2.75739669962976,1.20000004768372,5.02346532615333,Bahrain
2013,1261673.0,25790.7303121382,1066.13244629,3.30001156888438,1.17799997329712,11.4559732697771,Bahrain
2014,1311134.0,25464.760097715,1101.25683594,2.64755321246194,1.18400001525879,4.54843083119189,Bahrain
2015,1362142.0,22795.4488576612,1128.75915527,1.8486274237498,1.19700002670288,0.208992859981636,Bahrain
2016,1409661.0,22867.1811196134,1098.88354492,2.78679347602047,1.18099999427795,0.754928694303382,Bahrain
2017,1456834.0,24349.9098701325,1126.06689453,1.38671830576397,1.1690000295639,1.46272268847081,Bahrain
2018,1487340.0,25415.8466249472,994.17901611,2.08766938046983,1.18499994277954,0.29408549051138,Bahrain
2019,1494188.0,25869.1129129041,940.39569092,1.00582004702132,1.18099999427795,3.88409032292749,Bahrain
2020,1477469.0,23501.9194628168,,-2.31770629331374,1.67400002479553,2.94118043541486,Bahrain
2021,1463265.0,26562.9691354026,,-0.606319385140896,1.53199994564056,4.54339642544041,Bahrain
