Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,69346705.0,90.6783655642567,,,,0.00143124174703601,Bangladesh
1973,71144818.0,113.665702670582,,,,0.0289363084432292,Bangladesh
1974,72947807.0,171.526205300576,,,,0.0175824730598327,Bangladesh
1975,74700345.0,260.351516093487,,,,0.00793554956015196,Bangladesh
1976,76380080.0,132.457485424647,,,,0.0535725925115662,Bangladesh
1977,78137788.0,123.514493421219,,,,0.072322992647562,Bangladesh
1978,80007550.0,166.006422429598,,,,0.0579742131990397,Bangladesh
1979,81908151.0,190.035791699715,,,,-0.0514600239396866,Bangladesh
1980,83929765.0,216.109852036488,,,,0.0469179450068916,Bangladesh
1981,86154836.0,235.038390676618,,,,0.0264695357833656,Bangladesh
1982,88555336.0,209.195741763058,,,,0.0375700405927019,Bangladesh
1983,91045478.0,193.409373077802,,,,0.0022941532029319,Bangladesh
1984,93534239.0,202.2878488379,,,,-0.00292412703814179,Bangladesh
1985,95959099.0,232.165821783332,,,,-0.0298943959229265,Bangladesh
1986,98271746.0,221.569619138886,,,,0.0111899311751012,Bangladesh
1987,100490256.0,241.794908533863,,9.87469609126641,,0.0131907256034205,Bangladesh
1988,102688833.0,258.830536717302,,7.4127659574466,,0.00691614470351829,Bangladesh
1989,104893674.0,274.3894237501,,6.0454797559624,,0.000861339485754564,Bangladesh
1990,107147651.0,294.904656691568,,6.12671846981463,,0.0102498456011558,Bangladesh
1991,109242834.0,283.382285281796,,6.35736412278233,2.20000004768372,0.00449146424413688,Bangladesh
1992,111272102.0,284.966977564282,,3.63407691798491,2.29500007629395,0.0117375764038405,Bangladesh
1993,113418757.0,292.425347405186,,3.01481859989799,2.33899998664856,0.0423616549795559,Bangladesh
1994,115614891.0,292.078819525013,,5.313740079365,2.38100004196167,0.033012230974896,Bangladesh
1995,117793338.0,322.087389769502,,10.2978117947205,2.46399998664856,0.00499837818821928,Bangladesh
1996,119876868.0,387.384863171262,,2.37712902953225,2.50999999046326,0.0291349551912921,Bangladesh
1997,122039226.0,395.318052357112,,5.30560105668804,2.69400000572205,0.288896567530215,Bangladesh
1998,124350471.0,401.96518010266,,8.4022379561323,2.89499998092651,0.380236166897956,Bangladesh
1999,126754824.0,404.486143135093,,6.10669589841957,3.06800007820129,0.350304290993085,Bangladesh
2000,129193327.0,413.100185264402,8.56026173,2.20825620937534,3.26999998092651,0.525362089236089,Bangladesh
2001,131670484.0,410.048540904043,8.36238003,2.00717374213842,3.61800003051758,0.145443904569924,Bangladesh
2002,134139826.0,407.96296761642,9.34001255,3.33256493271908,3.93400001525879,0.0955793676464671,Bangladesh
2003,136503206.0,440.714404819588,10.27598572,5.66870773441478,4.32000017166138,0.445960783298092,Bangladesh
2004,138789725.0,469.116458369252,11.08631516,7.58753638504692,4.27199983596802,0.689472335587341,Bangladesh
2005,140912590.0,492.808648889577,11.60705376,7.04661816222037,4.25,1.17120896046669,Bangladesh
2006,142628831.0,503.538332188534,12.33577824,6.76526117054756,3.58999991416931,0.635657187878018,Bangladesh
2007,144135934.0,552.338934530705,14.31881523,9.10698496905385,4.09200000762939,0.817754424203324,Bangladesh
2008,145421318.0,630.108979202923,15.80424309,8.90194489465155,4.5479998588562,1.4497483960094,Bangladesh
2009,146706810.0,698.521026204513,17.92318726,5.42347236174678,5.0,0.879494542360121,Bangladesh
2010,148391139.0,776.859576940281,20.80270004,8.12667639169919,3.38000011444092,1.06893486111064,Bangladesh
2011,150211005.0,856.381586098739,22.84561729,11.3951651552399,3.75,0.983166533919391,Bangladesh
2012,152090649.0,876.817545058129,23.45907974,6.21750422069283,4.09899997711182,1.1881028498084,Bangladesh
2013,154030139.0,973.773392636423,26.67387962,7.53040640913171,4.42999982833862,1.73541854006515,Bangladesh
2014,155961299.0,1108.51509983546,29.74625206,6.99163889220854,4.39300012588501,1.46871287737332,Bangladesh
2015,157830000.0,1236.00506049059,32.84908676,6.19428022984988,4.37099981307983,1.45128764663678,Bangladesh
2016,159784568.0,1659.96160523559,34.56891251,5.5135257269299,4.34999990463257,0.879489435699778,Bangladesh
2017,161793964.0,1815.6094264579,37.40678406,5.70207015717245,4.36999988555908,0.616295206593397,Bangladesh
2018,163683958.0,1963.41185467584,41.90407562,5.5436213948647,4.38000011444092,0.753510982649492,Bangladesh
2019,165516222.0,2122.07885124799,45.85716248,5.59199639930633,4.38199996948242,0.543233593964918,Bangladesh
2020,167420951.0,2233.30552399269,,5.6910747474621,5.20900011062622,0.407944223593987,Bangladesh
2021,169356251.0,2457.92487986361,,5.54565430773474,5.09700012207031,0.414124824478727,Bangladesh
