Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,243458.0,,,11.8766562275328,,,Barbados
1973,244643.0,,,16.8550818260213,,,Barbados
1974,245851.0,1268.28582138455,,38.9229280878111,,0.768958541671442,Barbados
1975,247090.0,1627.66038698269,,20.2944687625289,,1.11620867625425,Barbados
1976,248359.0,1755.16598387689,,4.98676811113183,,1.58231743407684,Barbados
1977,249663.0,1983.06384177488,,8.35236969934997,,0.992531437393942,Barbados
1978,251009.0,2202.64495318948,,9.48238259101763,,1.62547745309191,Barbados
1979,252334.0,2656.64734893189,,13.1698355431799,,4.52076334272788,Barbados
1980,253575.0,3992.03633847153,,14.4305197203942,,2.89445432220039,Barbados
1981,254684.0,4374.85175040801,,14.5675632146886,,3.3476791610888,Barbados
1982,255642.0,4552.94447062093,,10.3324664370561,,3.01995706962836,Barbados
1983,256505.0,4818.68387258313,,5.2302987828884,,1.30661685438455,Barbados
1984,257279.0,5235.1341193735,,4.68579731185599,,2.67282392026578,Barbados
1985,257911.0,5465.20358153324,,3.91510525082794,,0.344084832451499,Barbados
1986,258370.0,5990.46012778123,,1.33006845161914,,0.500725184709284,Barbados
1987,258654.0,6589.38314412748,,3.31173110743254,,0.416576137689615,Barbados
1988,258762.0,7005.50280862194,,4.85885917814048,,1.43314278511253,Barbados
1989,258759.0,7753.0256601994,,6.1901140684412,,0.432814010713655,Barbados
1990,258868.0,7772.80875684304,,3.07457271078019,,0.557283807402607,Barbados
1991,259402.0,7789.39137741124,,6.2575266327002,22.6830005645752,0.367464175938115,Barbados
1992,260212.0,7520.79073985827,,6.09389302994641,22.9400005340576,0.738375063873275,Barbados
1993,260995.0,7905.67680238599,,1.11343933604483,24.5400009155273,0.455674015101952,Barbados
1994,261712.0,8220.27611002786,,0.0772043884602162,22.9799995422363,0.601949040905939,Barbados
1995,262303.0,8451.95859885549,,1.87886279357232,19.6599998474121,2.87796552313736,Barbados
1996,262793.0,8994.32406293315,,2.38615222842323,14.710000038147,0.670002532391207,Barbados
1997,263224.0,9491.47543410699,,7.71053878969884,14.6099996566772,1.12886960476149,Barbados
1998,263642.0,10685.2606122975,,-1.26888660701212,12.3999996185303,1.03513021371689,Barbados
1999,264170.0,11173.9493679991,,1.56006240249606,10.6099996566772,1.61051383944511,Barbados
2000,264657.0,11560.2459031879,600.80895996,2.43581303489138,9.35000038146973,2.40879045285177,Barbados
2001,265377.0,11510.0404330443,619.33959961,2.57783490431289,9.85000038146973,2.99574106858733,Barbados
2002,266455.0,11658.629036798,665.92028809,0.125249458055994,10.3199996948242,7.35049907613069,Barbados
2003,267499.0,11998.1756941147,781.96508789,1.61943319838056,11.0,5.75483061520486,Barbados
2004,268505.0,12828.4389489954,915.30462646,1.39442231075689,9.56999969482422,6.62895921033532,Barbados
2005,269477.0,14173.7513776686,935.64044189,6.08218729535043,9.07999992370605,10.2123680027307,Barbados
2006,270425.0,15595.6394564112,1000.6171875,7.30766262828941,8.72999954223633,8.11550660448724,Barbados
2007,271444.0,17219.0486803908,1015.60668945,4.03422982885069,7.40999984741211,10.1926362346727,Barbados
2008,272635.0,17550.6633410971,1107.04602051,8.1081081081078,8.11999988555908,12.85543392581,Barbados
2009,273791.0,16310.4605337648,1135.60986328,3.64386189258338,10.0200004577637,7.97213559379041,Barbados
2010,274711.0,16489.7958217909,1087.65649414,5.82421853311865,10.6899995803833,9.38949326383378,Barbados
2011,275486.0,16907.2092592727,1135.5177002,9.43220240177216,11.1899995803833,9.86652190203041,Barbados
2012,276197.0,16691.3326357636,1263.91870117,4.53334753888771,11.5900001525879,11.4541142854162,Barbados
2013,276865.0,16893.6062702039,1233.11486816,1.81410436049101,11.5500001907349,2.22544206514497,Barbados
2014,277493.0,16924.1903399365,1153.88415527,1.76950322089726,12.1700000762939,16.0483861477125,Barbados
2015,278083.0,16990.2194668498,1119.54821777,-1.11278992510961,9.80000019073486,14.5729300426895,Barbados
2016,278649.0,17343.7254395315,1129.19335938,1.28192813061894,8.25,11.5357341622827,Barbados
2017,279187.0,17843.1979282703,1151.69372559,4.66018463955997,8.61999988555908,1.83640069466591,Barbados
2018,279688.0,18224.8905923744,1164.54455566,3.67381410406798,8.31999969482422,4.73971114455638,Barbados
2019,280180.0,19002.9623813263,1143.32202148,4.10028964518463,8.40999984741211,4.04507918673992,Barbados
2020,280693.0,16643.8065787177,,,10.1049995422363,5.61025728841132,Barbados
2021,281200.0,17225.4623044097,,,9.58199977874756,4.92867303150419,Barbados
