Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,9188968.0,,,,,,Belarus
1973,9257272.0,,,,,,Belarus
1974,9317584.0,,,,,,Belarus
1975,9367000.0,,,,,,Belarus
1976,9411000.0,,,,,,Belarus
1977,9463000.0,,,,,,Belarus
1978,9525000.0,,,,,,Belarus
1979,9584000.0,,,,,,Belarus
1980,9643000.0,,,,,,Belarus
1981,9710000.0,,,,,,Belarus
1982,9776000.0,,,,,,Belarus
1983,9843000.0,,,,,,Belarus
1984,9910000.0,,,,,,Belarus
1985,9975000.0,,,,,,Belarus
1986,10043000.0,,,,,,Belarus
1987,10111000.0,,,,,,Belarus
1988,10140000.0,,,,,,Belarus
1989,10170000.0,,,,,,Belarus
1990,10189348.0,2124.76794393518,,,,,Belarus
1991,10194050.0,1765.73589495833,,,0.600000023841858,,Belarus
1992,10216470.0,1667.60505703409,,,3.09999990463257,0.0410869565217391,Belarus
1993,10239050.0,1590.08811711411,,1190.22923349187,8.5,0.10810152284264,Belarus
1994,10226955.0,1460.06550035512,,2221.01656992039,12.8000001907349,0.0703186646433991,Belarus
1995,10193831.0,1370.69928282291,,709.346032118606,17.7000007629395,0.105205324415377,Belarus
1996,10159569.0,1452.5071047646,,52.7120767531954,24.3999996185303,0.708145893170836,Belarus
1997,10117433.0,1396.44201900881,,63.9373663357479,17.1000003814697,2.48860300411635,Belarus
1998,10071963.0,1511.32531567314,,72.8697170535353,14.0,1.33490888841733,Belarus
1999,10026738.0,1210.6117195862,,293.678750889773,12.8000001907349,3.65778714528179,Belarus
2000,9979610.0,1276.2880341,57.66816711,168.620235850933,12.253999710083,0.932726194574,Belarus
2001,9928549.0,1244.37318523431,74.33643341,61.1349331618477,11.5369997024536,0.775405864952368,Belarus
2002,9865548.0,1479.31458271677,87.08403778,42.5375481348794,10.8850002288818,1.69313268269168,Belarus
2003,9796749.0,1819.76605926177,109.87693024,28.3978399133474,10.298999786377,0.963663960967926,Belarus
2004,9730146.0,2378.62328600741,142.74801636,18.1082424937646,9.79599952697754,0.707732068059162,Belarus
2005,9663915.0,3125.81053502853,198.30737305,10.3388794457932,9.03899955749512,1.01497746172797,Belarus
2006,9604924.0,3847.43412382153,223.83119202,6.99712903535588,8.38099956512451,0.96632835858554,Belarus
2007,9560953.0,4735.65760793999,281.07763672,8.42675273505308,7.65899991989136,3.99161614279995,Belarus
2008,9527985.0,6377.36973201232,351.72796631,14.8378764828254,7.02699995040894,3.60068232879372,Belarus
2009,9504583.0,5352.5839116007,290.70153809,12.9456563410401,6.09999990463257,3.68851893113794,Belarus
2010,9483836.0,6033.6862392722,343.67910767,7.73574804312507,6.25699996948242,2.43505653333396,Belarus
2011,9461643.0,6527.17386871642,319.75372314,53.2286983118173,6.16900014877319,6.48080196585787,Belarus
2012,9446836.0,6953.13251493684,365.87493896,59.2197360232519,6.05100011825562,2.22820691918271,Belarus
2013,9443211.0,7998.12523878099,456.4916687,18.3122610377873,6.00699996948242,2.97386461822441,Belarus
2014,9448515.0,8341.39967861093,450.22262573,18.1195543526734,5.99599981307983,2.36252922122526,Belarus
2015,9461076.0,5967.05220384914,362.75283813,13.5344897649734,5.83799982070923,2.92676959277302,Belarus
2016,9469379.0,5039.68188628499,298.62658691,11.8365807653497,5.84000015258789,2.6128050216432,Belarus
2017,9458989.0,5785.67067254068,333.54107666,6.0318372517779,5.65000009536743,2.33213850448518,Belarus
2018,9438785.0,6360.06247301284,351.00680542,4.87230220550689,4.76000022888184,2.3762618776861,Belarus
2019,9419758.0,6837.71782606351,399.39709473,5.59815595039851,4.15999984741211,1.9768777744873,Belarus
2020,9379952.0,6542.79749130553,,5.54814357456511,4.05000019073486,2.27012290861001,Belarus
2021,9340314.0,7302.25779418774,,9.46028389623105,3.90000009536743,1.80443514735753,Belarus
