Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,9711115.0,3831.63189999433,,5.44843128438077,,1.03737177455435,Belgium
1973,9741720.0,4900.96220075866,,6.95528008719915,,1.50595465286725,Belgium
1974,9772419.0,5733.79813933878,,12.6778877513452,,2.02915856675675,Belgium
1975,9800700.0,6701.37736052433,,12.7681985920515,,1.45345054898808,Belgium
1976,9818227.0,7243.04734119583,,9.06860981054963,,1.22590690244984,Belgium
1977,9830358.0,8426.94695947372,,7.09600059132598,,1.53902879649781,Belgium
1978,9839534.0,10289.7684173296,,4.47059331592941,,1.41812272871722,Belgium
1979,9848382.0,11810.6158754725,,4.46908394900489,,0.971564769653163,Belgium
1980,9859242.0,12864.0025661396,,6.64868829655357,,1.21799917270847,Belgium
1981,9858982.0,10622.8024830789,,7.62748656814273,,1.32383247921808,Belgium
1982,9856303.0,9343.86109959618,,8.72654906555468,,1.59852890452747,Belgium
1983,9855520.0,8846.23429846974,,7.66160983743879,,1.47928113384372,Belgium
1984,9855372.0,8457.26880316374,,6.34177491009128,,0.467153203211123,Belgium
1985,9858308.0,8750.81851250536,,4.86873399496945,,1.21886073677275,Belgium
1986,9861823.0,12170.0406962702,,1.29436819102482,,0.608121458920649,Belgium
1987,9870234.0,15135.8523116968,,1.55338261314945,,1.57631071531358,Belgium
1988,9901664.0,16391.093827791,,1.16093493415326,,3.2116443541361,Belgium
1989,9937697.0,16525.0617432848,,3.10705065111097,,4.27489029065365,Belgium
1990,9967379.0,20600.3752789827,,3.44831217961809,,3.91889227083561,Belgium
1991,10004486.0,21041.6606519648,,3.21531069260804,6.98000001907349,4.44753957093462,Belgium
1992,10045158.0,23372.619171015,,2.42795567164621,6.69999980926514,4.80693439299448,Belgium
1993,10084475.0,22283.9360213551,,2.75442643473457,8.07999992370605,4.78369263919673,Belgium
1994,10115603.0,24208.5547931447,,2.37754084476403,9.64999961853027,3.47657482646542,Belgium
1995,10136811.0,28413.8264387368,,1.46796699090272,9.34000015258789,3.71102444734668,Belgium
1996,10156637.0,27489.5551770488,,2.07702107350668,9.47999954223633,5.03718760952012,Belgium
1997,10181245.0,24820.9380503896,,1.62816049512961,8.94999980926514,4.74788988021558,Belgium
1998,10203008.0,25338.4432934904,,0.949250288350641,9.31999969482422,8.77679407696031,Belgium
1999,10226419.0,25252.8019066564,,1.12084823417844,8.64999961853027,46.3484571485071,Belgium
2000,10251250.0,23098.8865077401,1849.91601563,2.54451776190906,6.59000015258789,37.4753122979087,Belgium
2001,10286570.0,23015.0712632462,1879.93481445,2.46925823086078,6.17999982833862,37.2564694834172,Belgium
2002,10332785.0,25006.191397109,2084.7199707,1.64521436175359,6.90999984741211,7.01242443993657,Belgium
2003,10376133.0,30655.2092679024,2828.33349609,1.58896399970379,7.67999982833862,10.8648744877518,Belgium
2004,10421137.0,35429.4077933344,3326.63720703,2.09728311239314,7.3600001335144,12.0521106747569,Belgium
2005,10478617.0,36809.7013403619,3419.69311523,2.78143263670025,8.4399995803833,8.72717720186463,Belgium
2006,10547958.0,38705.1067959147,3558.12133789,1.79120770070454,8.25,14.4078713936676,Belgium
2007,10625700.0,44319.165448813,4078.14697266,1.8230563002681,7.46000003814697,20.5026740062328,Belgium
2008,10709973.0,48303.397956286,4670.42285156,4.48944420508401,6.98000001907349,36.8029204549977,Belgium
2009,10796493.0,44760.2912443709,4653.43652344,-0.0531456741253762,7.90999984741211,16.0070029161629,Belgium
2010,10895586.0,44184.946353964,4544.77978516,2.18929920422458,8.28999996185303,26.0669819962462,Belgium
2011,11038264.0,47410.5669277464,4943.796875,3.53208210722744,7.1399998664856,31.265983348903,Belgium
2012,11106932.0,44670.5606845101,4706.47021484,2.83966343445897,7.53999996185303,2.38036960149692,Belgium
2013,11159407.0,46757.9518559598,4947.76953125,1.11309594027537,8.43000030517578,-5.68061237430678,Belgium
2014,11209057.0,47764.0715120833,5072.95068359,0.340002833356965,8.52000045776367,-2.84014749508768,Belgium
2015,11274196.0,41008.296719472,4291.48974609,0.561429152790106,8.47999954223633,-4.22079695282357,Belgium
2016,11331422.0,42012.6227191016,4534.22998047,1.97385264653172,7.82999992370605,12.0862954763607,Belgium
2017,11375158.0,44198.4823908691,4775.8125,2.12597086002609,7.09000015258789,-7.41675753843461,Belgium
2018,11427054.0,47544.9811472757,5134.41455078,2.05316499865181,5.94999980926514,-7.65717995735734,Belgium
2019,11488980.0,46638.6813054855,4960.39355469,1.43681956996435,5.3600001335144,-3.99005372056347,Belgium
2020,11538604.0,45517.7949301847,,0.740791812220385,5.55000019073486,-4.63556720730975,Belgium
2021,11592952.0,51247.0143531626,,2.44024851144081,6.26000022888184,4.04589182140985,Belgium
