Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,125054.0,528.271786588194,,,,,Belize
1973,126875.0,617.486173652876,,,,,Belize
1974,128620.0,802.490858878914,,,,,Belize
1975,130801.0,902.640639922794,,,,,Belize
1976,133471.0,726.044081458988,,,,,Belize
1977,136183.0,863.911060851942,,,,,Belize
1978,138933.0,981.048419022119,,,,1.46735143066764,Belize
1979,141823.0,1070.34825098891,,,,-0.0329380764163373,Belize
1980,145133.0,1363.84021848925,,,,,Belize
1981,148764.0,1318.12706471324,,11.2244897960225,,-1.01994057954645,Belize
1982,152409.0,1195.50897246882,,6.83903252716288,,,Belize
1983,156053.0,1231.01245060973,,4.99609679980485,,,Belize
1984,159721.0,1342.22769091103,,3.38289962863708,,-1.72589157665267,Belize
1985,163436.0,1301.082641921,,6.23716611805549,,1.73999947218245,Belize
1986,167191.0,1385.47123071816,,0.799771493858954,,1.98585449478984,Belize
1987,170980.0,1643.94992738917,,2.01190138849529,,2.43700642063444,Belize
1988,174817.0,1831.01963922273,,3.13888888888896,,4.37372396234366,Belize
1989,178695.0,2065.72030949383,,2.12765957446804,,5.05236730346835,Belize
1990,182589.0,3009.49126179562,,3.05907172995786,,3.13011828935396,Belize
1991,186462.0,3212.45079426371,,0.761951500806908,9.72999954223633,2.27045075125209,Belize
1992,190299.0,3644.26507758843,,2.39670073025186,9.71599960327148,2.24945926459986,Belize
1993,194177.0,3867.60532915845,,1.4725969469368,9.77999973297119,1.22503328894807,Belize
1994,198416.0,3888.29529876623,,2.56934304644297,11.1000003814697,1.99215813350616,Belize
1995,203556.0,4021.00650435261,,2.8896158437215,12.4799995422363,2.5717776420281,Belize
1996,209840.0,4057.85360274495,,5.96502097537243,13.8199996948242,1.94715208455666,Belize
1997,217117.0,3997.84448016507,,1.14903756760539,12.6800003051758,1.37730414746544,Belize
1998,224907.0,4063.90196836915,,2.19526250037591,14.3100004196167,1.93107221006565,Belize
1999,232733.0,4189.35002771416,,2.62139524582745,12.8400001525879,6.01758974358974,Belize
2000,240406.0,4642.1470345998,132.7074585,3.06743966930588,10.8690004348755,2.64916235812425,Belize
2001,248100.0,4687.62595727529,157.4631958,3.651417865615,9.06999969482422,5.26009362569887,Belize
2002,255987.0,4816.65084555075,166.04504395,4.24026660688647,10.039999961853,2.06497784900565,Belize
2003,263998.0,4916.70391442359,168.3944397,2.31808274663101,10.2569999694824,-0.841660689780085,Belize
2004,272128.0,5106.05303386642,170.21199036,6.39443099742397,10.5939998626709,8.02419333252415,Belize
2005,280375.0,5212.66161390994,174.41145325,-1.10431044411911,10.9099998474121,8.68343933780794,Belize
2006,288729.0,5475.72290971811,189.33285522,-7.11376771265012,9.39000034332275,6.88352590577843,Belize
2007,297173.0,5707.11336494231,226.2300415,2.31808274642021,8.51000022888184,8.27675337668532,Belize
2008,305671.0,5656.40836062302,249.92666626,6.39443100250033,8.18000030517578,9.81309713647097,Belize
2009,314171.0,5348.9978387566,241.73036194,-1.10431044864355,8.24400043487549,6.47664899874288,Belize
2010,322106.0,5397.29157482319,242.34942627,0.917977378808885,8.24400043487549,5.54787903847013,Belize
2011,329538.0,5521.36627642336,252.82539368,1.60205615640199,8.28400039672852,5.24036961757248,Belize
2012,337059.0,5645.89582239311,246.06036377,1.30058074547858,8.30799961090088,10.2050135989719,Belize
2013,344688.0,5887.93343545467,257.98931885,0.509747768983199,8.35000038146973,4.54534274169274,Belize
2014,352335.0,6068.08860885237,292.14331055,1.2013996448106,8.23999977111816,6.59948691973386,Belize
2015,359871.0,6142.47883269283,283.57244873,-0.861584009427676,7.57999992370605,2.67447292007007,Belize
2016,367313.0,6148.70696109313,296.04522705,0.663427167917558,7.0,1.44934297067968,Belize
2017,374693.0,6100.99468097883,282.55374146,1.14765339305809,6.59999990463257,1.39245912079555,Belize
2018,382066.0,6059.16255306675,285.97033691,0.269982622646432,7.81400012969971,5.27177740625084,Belize
2019,389095.0,6210.56554311929,293.41259766,0.187069385181357,9.05000019073486,3.88620905041892,Belize
2020,394921.0,5266.87616004213,,0.12143464461496,10.7880001068115,3.66359680289487,Belize
2021,400031.0,6228.26730928353,,3.23563659237067,10.289999961853,5.21960638954786,Belize
