Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3156408.0,129.999639131104,,,,1.16978472521411,Benin
1973,3227380.0,156.28033752344,,,,0.69392670391818,Benin
1974,3301276.0,168.012243437116,,,,-0.422446607142272,Benin
1975,3378703.0,200.334311817739,,,,0.279190960980148,Benin
1976,3460329.0,201.832902127325,,,,0.351140016699244,Benin
1977,3546454.0,211.492871232007,,,,0.416775236199048,Benin
1978,3636927.0,255.392342156982,,,,0.0811072823578715,Benin
1979,3732394.0,317.820483363805,,,,0.300788153885413,Benin
1980,3833939.0,366.529448496396,,,,0.30717317865054,Benin
1981,3941569.0,327.564978594215,,,,0.161898128530019,Benin
1982,4054385.0,312.693167775333,,,,-0.000960153766245716,Benin
1983,4171526.0,262.577364474932,,,,0.000958313286141234,Benin
1984,4293070.0,244.844348449965,,,,0.00108861316369405,Benin
1985,4419552.0,236.610566642718,,,,-0.00860657040308325,Benin
1986,4551382.0,293.559635449244,,,,0.0823290412321545,Benin
1987,4688787.0,333.22307674637,,,,0.0064003603439806,Benin
1988,4831624.0,335.341944479063,,,,-1.33695978247465,Benin
1989,4979680.0,301.684929847304,,,,-0.0744505331251627,Benin
1990,5133419.0,381.8050394411,,,,-0.15076002499864,Benin
1991,5293046.0,375.292007646157,,,1.48399996757507,0.0198255549527429,Benin
1992,5457778.0,310.623720074924,,,1.50999999046326,0.056291442095627,Benin
1993,5706181.0,398.612997743116,,0.44059921493181,1.39600002765656,-0.951216946168722,Benin
1994,5923394.0,269.790584984608,,38.5308661668537,1.35800004005432,-0.444751626782498,Benin
1995,6046511.0,358.823005686054,,14.4625482180894,1.23699998855591,-0.356668621485476,Benin
1996,6203860.0,380.588309191502,,4.91423972637199,1.17499995231628,-0.620945778428142,Benin
1997,6387026.0,355.142054792212,,3.46629590564781,1.08299994468689,0.537109689127007,Benin
1998,6584183.0,372.877330765148,,5.7533145841706,1.01800000667572,0.460029229908051,Benin
1999,6788589.0,541.702302424725,,0.326722893396868,0.926999986171722,0.253298426509981,Benin
2000,6998023.0,502.997964780144,15.90676403,4.16540442290282,0.842999994754791,-0.363490771082025,Benin
2001,7212041.0,508.347442852624,16.83250046,3.98429547767895,0.765999972820282,0.456588188101717,Benin
2002,7431783.0,564.379079618679,17.49715614,2.4891623549154,0.689999997615814,-0.462423397218669,Benin
2003,7659208.0,698.408808628665,21.60637474,1.48724246145442,0.737999975681305,0.198870340386967,Benin
2004,7894554.0,784.119122642955,24.56986427,0.873890830868505,0.773000001907349,-0.658688556069048,Benin
2005,8149419.0,805.904628723631,24.14694977,5.36452085832342,0.832000017166138,-0.133820378880497,Benin
2006,8402631.0,837.132042511019,25.45315742,3.78217696540374,0.859000027179718,-0.175764659089172,Benin
2007,8647761.0,944.64320765254,27.96020699,1.29806813334154,0.885999977588654,1.70386967071145,Benin
2008,8906469.0,1098.94677969563,30.34991455,7.94729876067859,0.935000002384186,0.492562944897496,Benin
2009,9172514.0,1061.71841147116,30.76049805,0.896072355749072,0.995999991893768,-0.193121755161533,Benin
2010,9445710.0,1009.48949433002,31.06598282,2.20783532536522,1.03999996185303,0.561144748003047,Benin
2011,9726380.0,1099.4143113919,34.99642563,2.70423907747279,2.65000009536743,1.50844050449931,Benin
2012,10014078.0,1112.56953520687,39.10080719,6.74468253340715,2.4539999961853,2.52705777534964,Benin
2013,10308730.0,1214.29556576586,35.76725006,0.428888888888863,2.25399994850159,2.87863747034178,Benin
2014,10614844.0,1251.5047654269,34.44753647,-0.548757550948147,2.11100006103516,3.05420993262565,Benin
2015,10932783.0,1041.65252315983,31.30697823,0.218785923536177,2.02300000190735,1.31501182120876,Benin
2016,11260085.0,1049.82030349923,29.78626442,-0.794050173906725,1.83599996566772,1.11488131010687,Benin
2017,11596779.0,1095.27445905119,29.76860428,1.76941247391975,1.64300000667572,1.58170495079138,Benin
2018,11940683.0,1194.43821427144,31.07242012,0.644803622440778,1.47000002861023,1.36073573349143,Benin
2019,12290444.0,1170.96553298099,29.12529182,-0.70502663454275,1.46599996089935,1.51620780935646,Benin
2020,12643123.0,1237.94929535039,,3.02272119663756,1.6710000038147,1.11183879764369,Benin
2021,12996895.0,1319.1549945174,,1.73353962694033,1.75199997425079,2.01800449823778,Benin
