Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,54200.0,4343.17343173432,,,,,Bermuda
1973,53800.0,5009.2936802974,,,,,Bermuda
1974,53400.0,5853.93258426966,,,,,Bermuda
1975,53000.0,6509.43396226415,,,,,Bermuda
1976,53200.0,7261.27819548872,,,,,Bermuda
1977,53400.0,8370.78651685393,,,,,Bermuda
1978,53600.0,8876.86567164179,,,,,Bermuda
1979,53800.0,9613.38289962825,,,,,Bermuda
1980,54670.0,11218.2178159868,,,,,Bermuda
1981,55050.0,13425.9769663942,,,,,Bermuda
1982,55449.0,14166.1712925391,,,,,Bermuda
1983,55930.0,15902.0203826211,,,,,Bermuda
1984,56423.0,17469.8255675877,,,,,Bermuda
1985,56898.0,18269.5355197019,,,,,Bermuda
1986,57382.0,20450.6645289464,,,,,Bermuda
1987,57849.0,22411.7956749468,,,,,Bermuda
1988,58347.0,24253.1755188784,,,,,Bermuda
1989,58841.0,25517.9217212488,,,,,Bermuda
1990,59326.0,26841.5197383946,,,,,Bermuda
1991,59021.0,27700.3100591315,,,,,Bermuda
1992,58595.0,28669.6817134568,,,,,Bermuda
1993,58910.0,30900.6942794093,,,,,Bermuda
1994,59320.0,31476.0637221848,,,,,Bermuda
1995,59746.0,33989.7231613832,,,,,Bermuda
1996,60129.0,44826.7890701658,,,,,Bermuda
1997,60497.0,48478.8832504091,,,,1.18315877479306,Bermuda
1998,60943.0,51371.7408069836,,,,3.28036622557932,Bermuda
1999,61285.0,54245.459737293,,,,1.81985920606612,Bermuda
2000,61833.0,56284.1686478094,,,,1.92229282122763,Bermuda
2001,62504.0,58883.9594265967,,,,1.13572049918448,Bermuda
2002,62912.0,62583.1002034588,,,,0.137152331538839,Bermuda
2003,63325.0,66111.7252270035,,,,0.308131445530601,Bermuda
2004,63740.0,70359.3191088798,,,,18.543033953419,Bermuda
2005,64154.0,75882.0338560339,,,,0.897674181658031,Bermuda
2006,64523.0,95221.8588720301,,,,-1.43505859375,Bermuda
2007,64888.0,104287.387498459,,,,9.12004716705005,Bermuda
2008,65273.0,106935.486341979,,,,2.45744472252848,Bermuda
2009,65636.0,101407.764031934,,,,-1.06291792617825,Bermuda
2010,65124.0,101875.28407346,,,,3.3568408029942,Bermuda
2011,64564.0,97774.1620717428,,,,-4.08488216132165,Bermuda
2012,64798.0,98431.8651810241,,,,0.746514450097399,Bermuda
2013,65001.0,99471.6388978631,,,,0.849151218045338,Bermuda
2014,65138.0,98467.683993982,,,,-0.0534057831746824,Bermuda
2015,65237.0,102005.62564189,,,,-2.15032691390736,Bermuda
2016,64554.0,106885.878489327,,,,-1.06108315938513,Bermuda
2017,63873.0,111820.581466347,,,,-4.03383539732899,Bermuda
2018,63918.0,113050.73688163,,,,1.32046326053902,Bermuda
2019,63911.0,116153.166121638,,,,0.0591344675296509,Bermuda
2020,63893.0,107791.886435134,,,,6.91894747926827,Bermuda
2021,63867.0,114090.328338579,,,,0.681739688650698,Bermuda
