Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,319128.0,,,,,,Bhutan
1973,329800.0,,,,,,Bhutan
1974,340842.0,,,,,,Bhutan
1975,352269.0,,,,,,Bhutan
1976,364119.0,,,,,,Bhutan
1977,376387.0,,,,,,Bhutan
1978,389072.0,,,,,,Bhutan
1979,402063.0,,,,,,Bhutan
1980,415257.0,309.970478320728,,,,,Bhutan
1981,428641.0,324.631664504445,,9.97237569060774,,,Bhutan
1982,442201.0,319.688409731002,,9.84677216779704,,,Bhutan
1983,456033.0,343.587398432365,,18.0577787941154,,,Bhutan
1984,470165.0,341.284380030355,,7.03770661157025,,,Bhutan
1985,484528.0,336.971887763507,,1.88201230546508,,,Bhutan
1986,499151.0,383.112018418218,,9.96447602131439,,,Bhutan
1987,514026.0,472.292961021019,,6.33177192699078,,,Bhutan
1988,529051.0,514.583670061837,,10.0967137576586,,,Bhutan
1989,544209.0,486.440332574603,,8.77983718898037,,,Bhutan
1990,558442.0,515.108433827374,,10.0118383223406,,0.556215706340182,Bhutan
1991,567710.0,423.314712797842,,12.2751729438893,1.48199999332428,0.249667115087885,Bhutan
1992,545944.0,440.000739799117,,15.975217361539,1.49000000953674,,Bhutan
1993,520838.0,433.912447205149,,11.1980165874679,1.46200001239777,,Bhutan
1994,521260.0,496.845331897352,,7.00995355009957,1.46000003814697,,Bhutan
1995,527536.0,550.606595777508,,9.48754836789363,1.4539999961853,0.0172137896946248,Bhutan
1996,537494.0,564.53749794912,,8.79001381935161,1.43099999427795,0.461383001431234,Bhutan
1997,546865.0,644.146092555815,,6.50548718269093,1.41400003433228,-0.198716319315617,Bhutan
1998,557143.0,652.350989248904,,10.5855899892462,1.39999997615814,,Bhutan
1999,570990.0,699.25708273715,,6.77699393553634,1.39999997615814,0.263049543465852,Bhutan
2000,587207.0,722.852571406065,30.89350891,4.0121208107034,1.625,,Bhutan
2001,603234.0,764.951103001737,35.94556046,3.41478946111599,1.89999997615814,,Bhutan
2002,619048.0,841.371834708466,36.13760376,2.45535714285714,1.86699998378754,0.465664584170841,Bhutan
2003,634627.0,951.806270331793,37.73608017,2.57230861693335,1.79999995231628,0.557959009634893,Bhutan
2004,649991.0,1050.05124227377,46.90710449,4.10593698272957,2.49000000953674,1.29810957494227,Bhutan
2005,663323.0,1201.4329673197,47.74116898,5.31263104637752,3.09999990463257,0.779343363583389,Bhutan
2006,673260.0,1299.63148798551,55.31650925,5.00045438022542,3.13000011444092,0.699745468318207,Bhutan
2007,681614.0,1714.03245331377,66.06005859,5.15611138758462,3.70000004768372,6.32159816635845,Bhutan
2008,689737.0,1780.11153624251,58.85731506,8.32716049382714,3.74600005149841,0.25606601315953,Bhutan
2009,697678.0,1768.7447387239,61.12592697,4.36112219119803,3.96000003814697,1.48294127188398,Bhutan
2010,705516.0,2194.12645186194,74.09108734,7.03638316073019,3.3199999332428,4.86268935504862,Bhutan
2011,713331.0,2491.27167707216,79.5575943,8.84898569946802,3.23000001907349,1.75238263389273,Bhutan
2012,721145.0,2470.07367669349,85.97568512,10.919656944683,2.04999995231628,1.36871553221374,Bhutan
2013,728889.0,2409.44185615811,88.24406433,7.00666666666705,2.86999988555908,1.16350351902556,Bhutan
2014,736357.0,2589.89975441133,88.89917755,8.27106093949327,2.63000011444092,1.23407504172749,Bhutan
2015,743274.0,2695.63877250025,98.56243896,4.54814395082202,2.45000004768372,0.32196843698084,Bhutan
2016,749761.0,2879.54712101999,98.90504456,3.21988689395718,2.7739999294281,0.550454644081003,Bhutan
2017,756121.0,3240.70476560368,104.85510254,4.9550836698513,3.05599999427795,-0.67556304625888,Bhutan
2018,762096.0,3210.70626919782,102.73851776,2.72396386183716,3.34999990463257,0.108279483744831,Bhutan
2019,767459.0,3303.96421053812,115.98075867,2.72582104307304,2.72000002861023,0.51313631659876,Bhutan
2020,772506.0,3009.92417072191,,5.62999177986902,5.03000020980835,-0.119859775101383,Bhutan
2021,777486.0,3266.36490519183,,7.34683859830958,3.90799999237061,0.267098679516091,Bhutan
