Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4793804.0,262.3418990387,,6.51154401154364,,1.28854948367524,Bolivia
1973,4902248.0,257.630482126186,,31.4860287891619,,0.364221264636752,Bolivia
1974,5013765.0,418.89675225354,,62.8360756029239,,2.10608273449769,Bolivia
1975,5127776.0,468.955284157189,,7.97674602546867,,2.56152784404797,Bolivia
1976,5244355.0,520.938038709432,,4.49401164707214,,-0.296487826293742,Bolivia
1977,5363917.0,601.693926632174,,8.1072555205041,,-0.0371812142890324,Bolivia
1978,5486132.0,685.040186702621,,10.3556722757192,,0.305995851174171,Bolivia
1979,5610380.0,788.064909361104,,19.7197167787999,,0.791614566012637,Bolivia
1980,5736088.0,791.042222940542,,47.2416501018426,,1.03581545660746,Bolivia
1981,5862990.0,1004.88090289908,,32.1336011133424,,1.2848787104911,Bolivia
1982,5991118.0,933.735307338249,,123.535718565329,,0.555941039090608,Bolivia
1983,6120620.0,885.96519075484,,275.586283560362,,0.129088027284694,Bolivia
1984,6251926.0,986.812951618811,,1281.34994174486,,0.113461721929024,Bolivia
1985,6385630.0,842.090233368438,,11749.6396321439,,0.185967742373081,Bolivia
1986,6521983.0,607.082140451534,,276.335967563202,,0.252564833795373,Bolivia
1987,6661434.0,652.705759425579,,14.5786984489191,,0.876273748852445,Bolivia
1988,6804072.0,675.715310255789,,16.0020910549391,,-0.219679086494533,Bolivia
1989,6949139.0,678.642158915079,,15.1734681125731,,-0.517389954142814,Bolivia
1990,7096194.0,685.942717677007,,17.118774604824,,0.558798940850843,Bolivia
1991,7244891.0,737.52308976805,,21.447069817114,2.98000001907349,0.973186030745989,Bolivia
1992,7394419.0,763.263935544739,,12.060323601829,3.26200008392334,1.64957050525016,Bolivia
1993,7544489.0,760.114652067627,,8.52787695688004,3.08899998664856,2.15879652786514,Bolivia
1994,7693722.0,777.418896247398,,7.87404421467432,3.07999992370605,2.17680437655897,Bolivia
1995,7841471.0,856.372546199509,,10.1932067630746,2.75200009346008,5.84790925042394,Bolivia
1996,7989367.0,925.851399498679,,12.4254866180049,2.44000005722046,6.4093840689041,Bolivia
1997,8137619.0,973.954846920913,,4.70844436028193,2.07999992370605,9.21814408581051,Bolivia
1998,8286928.0,1025.4156357625,,7.67322895675084,2.13000011444092,11.1714611604609,Bolivia
1999,8439052.0,981.754329498607,,2.15951626835596,2.43199992179871,12.1966294548794,Bolivia
2000,8592656.0,977.336055960911,43.84843826,4.60822998872598,2.37299990653992,8.76825041680731,Bolivia
2001,8746084.0,930.878079500256,45.78475189,1.58965377879568,2.47900009155273,8.66858338874633,Bolivia
2002,8900583.0,888.198576030752,44.27474976,0.928258851611061,2.49000000953674,8.55789350643914,Bolivia
2003,9057378.0,892.351496886714,47.16543961,3.33727499671533,2.53299999237061,2.44235449017472,Bolivia
2004,9216279.0,951.951622939377,47.04486847,4.43738080101724,2.50300002098084,0.745772608696722,Bolivia
2005,9377388.0,1018.3089276776,52.48216629,5.39323106890664,2.54299998283386,-2.49888001785796,Bolivia
2006,9542663.0,1200.07058848844,56.81023026,4.28239604802565,2.57500004768372,2.45168235895604,Bolivia
2007,9711152.0,1351.04292545957,64.47034454,8.70560923578869,2.64299988746643,2.79183785577306,Bolivia
2008,9880593.0,1687.58339321012,79.01570129,14.0068107702519,2.59999990463257,3.07260183321715,Bolivia
2009,10051317.0,1725.14628617645,90.77088165,3.34645420142012,2.97000002861023,2.43967814560444,Bolivia
2010,10223270.0,1922.0495309392,101.72988129,2.5032760584424,2.61400008201599,3.16544356376751,Bolivia
2011,10396246.0,2304.96983521132,121.37858582,9.88446419823887,2.25,3.58444214890513,Bolivia
2012,10569697.0,2562.46678423329,137.1217804,4.51560291399368,2.0699999332428,3.91355014614083,Bolivia
2013,10743349.0,2853.79716191598,162.12197876,5.73640023719613,2.44000005722046,5.70662211902913,Bolivia
2014,10916987.0,3022.46288443562,181.71205139,5.7666007457914,2.01999998092651,1.98982485629696,Bolivia
2015,11090085.0,2975.64881137847,198.87557983,4.05961041135646,3.10999989509583,1.68072787964281,Bolivia
2016,11263015.0,3013.5027077617,210.23809814,3.62321431764138,3.5,0.988080149283549,Bolivia
2017,11435533.0,3280.00821346382,217.49468994,2.8227580554717,3.65000009536743,1.89949328113362,Bolivia
2018,11606905.0,3471.00695064499,235.70088196,2.27205987230148,3.51999998092651,0.750524780940684,Bolivia
2019,11777315.0,3472.38083075685,245.92347717,1.83954504969032,3.6800000667572,-0.529735011404666,Bolivia
2020,11936162.0,3068.81255507604,,0.940742153381823,7.90000009536743,-3.08351648276169,Bolivia
2021,12079472.0,3345.19658873831,,0.737383721452315,5.09000015258789,1.4442026657009,Bolivia
