Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3901895.0,,,,,,Bosnia and Herzegovina
1973,3943152.0,,,,,,Bosnia and Herzegovina
1974,3983063.0,,,,,,Bosnia and Herzegovina
1975,4022090.0,,,,,,Bosnia and Herzegovina
1976,4060039.0,,,,,,Bosnia and Herzegovina
1977,4096516.0,,,,,,Bosnia and Herzegovina
1978,4131521.0,,,,,,Bosnia and Herzegovina
1979,4165511.0,,,,,,Bosnia and Herzegovina
1980,4199820.0,,,,,,Bosnia and Herzegovina
1981,4235970.0,,,,,,Bosnia and Herzegovina
1982,4274013.0,,,,,,Bosnia and Herzegovina
1983,4312521.0,,,,,,Bosnia and Herzegovina
1984,4349597.0,,,,,,Bosnia and Herzegovina
1985,4383306.0,,,,,,Bosnia and Herzegovina
1986,4413374.0,,,,,,Bosnia and Herzegovina
1987,4440300.0,,,,,,Bosnia and Herzegovina
1988,4463320.0,,,,,,Bosnia and Herzegovina
1989,4481230.0,,,,,,Bosnia and Herzegovina
1990,4494310.0,,,,,,Bosnia and Herzegovina
1991,4502386.0,,,,17.5499992370605,,Bosnia and Herzegovina
1992,4275730.0,,,,18.3080005645752,,Bosnia and Herzegovina
1993,3942981.0,,,,19.3449993133545,,Bosnia and Herzegovina
1994,3762330.0,333.783179342536,,,20.7679996490479,,Bosnia and Herzegovina
1995,3750527.0,497.682846633728,,,21.8419990539551,,Bosnia and Herzegovina
1996,3907751.0,712.953645623129,,,22.8409996032715,,Bosnia and Herzegovina
1997,4047748.0,907.125765793352,,,23.6790008544922,,Bosnia and Herzegovina
1998,4115059.0,1000.3986424992,,,24.5419998168945,1.62111588118546,Bosnia and Herzegovina
1999,4153014.0,1128.27289180061,,,25.1380004882813,3.77274143456709,Bosnia and Herzegovina
2000,4179350.0,1332.12236478772,113.31326294,,26.1889991760254,2.62376448265644,Bosnia and Herzegovina
2001,4194932.0,1382.80542024858,112.06851959,,26.5370006561279,2.04274818097092,Bosnia and Herzegovina
2002,4198410.0,1602.6951437748,127.21139526,,27.5540008544922,3.97947197607073,Bosnia and Herzegovina
2003,4183757.0,2031.32277450429,180.99417114,,28.371000289917,4.49234456177779,Bosnia and Herzegovina
2004,4142860.0,2451.82168073601,244.52740479,,29.3929996490479,8.75798737893892,Bosnia and Herzegovina
2005,4094297.0,2741.11851892289,262.89282227,,30.1359996795654,5.55836626323298,Bosnia and Herzegovina
2006,4058086.0,3170.11784995261,303.51223755,6.12556615620285,31.1100006103516,6.57589168627859,Bosnia and Herzegovina
2007,4007876.0,3936.94001256103,388.09899902,1.50077710611539,28.9799995422363,11.6737396828928,Bosnia and Herzegovina
2008,3943392.0,4846.77642113418,482.93652344,7.42704310332954,23.4099998474121,5.25750202872223,Bosnia and Herzegovina
2009,3877750.0,4542.28263659833,425.05114746,-0.38146428245309,24.0699996948242,0.786376209263107,Bosnia and Herzegovina
2010,3811088.0,4507.05443324588,417.74832153,1.99621236745889,27.3099994659424,2.58395449875189,Bosnia and Herzegovina
2011,3743142.0,4981.03568097896,467.03192139,3.67124999999999,27.5799999237061,2.52946085840409,Bosnia and Herzegovina
2012,3674374.0,4688.37662297884,452.97650146,2.0526745200172,28.0100002288818,2.27538386506612,Bosnia and Herzegovina
2013,3617559.0,5025.07459738709,484.22702026,-0.093045683831828,27.4899997711182,1.72343670946443,Bosnia and Herzegovina
2014,3571068.0,5196.86080042254,504.78723145,-0.897194054194286,27.5200004577637,2.93596436118962,Bosnia and Herzegovina
2015,3524324.0,4599.90102879933,442.0378418,-1.03602303425476,27.6900005340576,2.36306716126727,Bosnia and Herzegovina
2016,3480986.0,4858.77592634808,461.9793396,-1.58409999999997,25.4099998474121,1.8517827965957,Bosnia and Herzegovina
2017,3440027.0,5255.80705791233,482.17715454,0.810133321953047,20.5300006866455,2.81762012103077,Bosnia and Herzegovina
2018,3400129.0,5936.10150173874,539.91003418,1.41710814018026,18.3999996185303,2.98155916099728,Bosnia and Herzegovina
2019,3360711.0,6011.37067052755,553.82293701,0.562782154061303,15.6899995803833,2.21693353916718,Bosnia and Herzegovina
2020,3318407.0,6012.06276705855,,-1.05129600763481,15.2650003433228,2.17044368643949,Bosnia and Herzegovina
2021,3270943.0,7143.3105484321,,1.98163900587616,14.8999996185303,2.73208239263981,Bosnia and Herzegovina
