Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,626601.0,262.474642884394,,,,,Botswana
1973,657246.0,371.442485808452,,,,,Botswana
1974,691569.0,442.521062132563,,,,0.0228732868478,Botswana
1975,727930.0,487.921110262118,,11.9747550240953,,-10.7746831568611,Botswana
1976,766424.0,485.38422543555,,11.732423613642,,3.02948824153603,Botswana
1977,806968.0,559.62978137383,,13.1687242801078,,2.7088740104211,Botswana
1978,849394.0,695.056382078151,,9.04398827010364,,6.91313120402027,Botswana
1979,893500.0,917.601903316729,,11.7362306367885,,15.594005953769,Botswana
1980,938578.0,1130.35232993977,,13.6324251470895,,10.5144880654679,Botswana
1981,982747.0,1092.71419718348,,16.4280267725712,,8.23557150145562,Botswana
1982,1023009.0,992.080474893336,,11.1372064274689,,2.07653465874176,Botswana
1983,1060717.0,1105.15640095303,,10.4771438105237,,2.02973794357501,Botswana
1984,1099170.0,1128.8484627097,,8.57746904251907,,5.00925840194046,Botswana
1985,1138704.0,978.976105421701,,8.09457579975943,,4.80924996218625,Botswana
1986,1179263.0,1180.93654423594,,10.0017155606022,,5.05548131317513,Botswana
1987,1220361.0,1610.40452977722,,9.80193387398674,,5.77952301883631,Botswana
1988,1261272.0,2096.72204259861,,8.35167956821222,,1.50958474335273,Botswana
1989,1301671.0,2369.10915653611,,11.5750147473285,,1.36798766623242,Botswana
1990,1341474.0,2825.67314153519,,11.3963461199557,,2.52969969216508,Botswana
1991,1380584.0,2855.88768039942,,11.7650160839534,13.8199996948242,-0.208265920163062,Botswana
1992,1420695.0,2918.6515911791,,16.1676123963339,16.3250007629395,-0.0377228922984643,Botswana
1993,1462262.0,2844.96639668322,,14.3308033365888,18.7849998474121,-6.89767991877082,Botswana
1994,1503544.0,2832.86089335032,,10.5429209938218,21.2000007629395,-0.332319066404683,Botswana
1995,1543634.0,3064.59372300855,,10.512546081579,21.3500003814697,1.48845930806704,Botswana
1996,1582169.0,3063.99180036345,,10.0828580652108,21.5900001525879,1.468356845369,Botswana
1997,1619354.0,3100.13421861595,,8.71993127147747,21.1259994506836,1.99413279657563,Botswana
1998,1655699.0,2893.31505132925,,6.66139865665754,20.8600006103516,1.98974958685387,Botswana
1999,1691558.0,3242.13382998304,,7.74929619202846,18.2290000915527,0.668733485559009,Botswana
2000,1726985.0,3351.6965168531,205.2371521,8.6014851485149,15.8800001144409,0.987700169396242,Botswana
2001,1761930.0,3115.6789995428,201.81080627,6.55903767014864,18.5400009155273,0.558884523880212,Botswana
2002,1795130.0,3029.78453189204,204.88693237,8.03279662527486,21.1049995422363,7.50152806827716,Botswana
2003,1826863.0,4111.73808510941,267.49493408,9.18990265632739,23.7999992370605,5.56528127484831,Botswana
2004,1859085.0,4818.21310297023,293.97195435,6.94570363654673,21.8519992828369,4.36383657370126,Botswana
2005,1892807.0,5240.316159068,277.06097412,8.61022528546438,19.8290004730225,4.24294905100869,Botswana
2006,1928704.0,5142.91383354359,263.60595703,11.5552187914379,17.7800006866455,4.9088146939669,Botswana
2007,1966977.0,5372.34073174354,311.03723145,7.08099847172694,17.1720008850098,4.68081345012341,Botswana
2008,2007320.0,5345.81586339872,330.35922241,12.7021883920075,16.5900001525879,4.85443483853728,Botswana
2009,2048997.0,4938.27889306626,342.93563843,8.02729703109583,16.1700000762939,2.06254794493339,Botswana
2010,2091664.0,6041.75428437206,398.57070923,6.94887658743105,17.8600006103516,1.72805498885871,Botswana
2011,2134037.0,7080.81281326927,440.04370117,8.45987233408587,18.1520004272461,1.9403981262099,Botswana
2012,2175425.0,6393.00826546062,433.0039978,7.53690261091916,18.4160003662109,1.0503976279721,Botswana
2013,2217278.0,6436.60944956683,449.70568848,5.8846070705681,18.5380001068115,0.470417392930112,Botswana
2014,2260376.0,6844.02028762371,435.55368042,4.40225309243433,18.8939990997314,3.33020361655781,Botswana
2015,2305171.0,5869.73294292043,389.3807373,3.06203169580559,19.298999786377,2.79773488420393,Botswana
2016,2352416.0,6411.5271592539,402.80163574,2.81495791361944,19.3150005340576,0.94494845741972,Botswana
2017,2401840.0,6705.35186204355,484.22390747,3.30828076768219,19.6030006408691,1.61795827102947,Botswana
2018,2451409.0,6947.80081217637,494.19546509,3.2380155894771,19.8379993438721,1.67893797952992,Botswana
2019,2499702.0,6679.16767381458,481.53305054,2.7728644286333,20.0900001525879,0.560658416764816,Botswana
2020,2546402.0,5863.20324072216,,1.89035916824198,21.0200004577637,0.21304113727032,Botswana
2021,2588423.0,6805.22127398897,,7.24097765588449,21.1550006866455,0.313118699605129,Botswana
