Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,101194394.0,577.451537235053,,,,0.787030229370392,Brasil
1973,103666904.0,806.354512747851,,,,1.41245107614379,Brasil
1974,106167372.0,1034.16442979806,,,,1.10014598451496,Brasil
1975,108700515.0,1188.6195317366,,,,1.00771220853274,Brasil
1976,111286504.0,1376.3479281208,,,,1.0152188208109,Brasil
1977,113939886.0,1547.6942060653,,,,1.03944503129257,Brasil
1978,116664382.0,1716.70772767288,,,,1.00160453389634,Brasil
1979,119447303.0,1853.01969086922,,,,1.09289763404408,Brasil
1980,122288383.0,1941.25953805961,,,,0.804992588829738,Brasil
1981,125168060.0,2061.34995420275,,101.725072957927,,0.976686740403903,Brasil
1982,128065095.0,2118.56410810781,,100.54335919485,,1.07255754578395,Brasil
1983,130977370.0,1448.00973115761,,135.027682230472,,0.848375851273491,Brasil
1984,133888775.0,1406.68979969815,,192.121733132051,,0.846341838863818,Brasil
1985,136783180.0,1287.61240473129,,225.989665211895,,0.818174863391286,Brasil
1986,139643355.0,1545.92842461268,,147.142826237605,,0.159812018965908,Brasil
1987,142466264.0,1667.18756959757,,228.336162575513,,0.492173257034067,Brasil
1988,145253973.0,1781.81787555997,,629.114509120897,,1.08339462760869,Brasil
1989,148003411.0,2344.73068725577,,1430.7237251472,,0.325910170090382,Brasil
1990,150706446.0,2592.62716607932,,2947.73277248299,,0.253118795948323,Brasil
1991,153336445.0,2234.36268750579,,432.786661926461,6.36600017547607,0.321941120989948,Brasil
1992,155900790.0,2105.10774751013,,951.962053052818,6.42000007629395,0.627993785794032,Brasil
1993,158440875.0,2324.49977472726,,1927.38079016026,6.03000020980835,0.350804998676963,Brasil
1994,160980472.0,3263.56262238902,,2075.88839757325,6.46999979019165,0.584730926619457,Brasil
1995,163515328.0,4704.96154593883,,66.0070335542481,7.09000015258789,0.631585790960148,Brasil
1996,166037122.0,5121.90540734464,,15.7576656002606,8.02999973297119,1.47596541135756,Brasil
1997,168546707.0,5240.12879590406,,6.92671251629151,9.0,2.15045239426363,Brasil
1998,171039804.0,5049.76611943426,,3.19507629280056,10.1499996185303,3.34088713378336,Brasil
1999,173486281.0,3456.42359484227,,4.85844749902668,11.1300001144409,4.73376982653825,Brasil
2000,175873720.0,3726.81142036099,312.53927612,7.04414105947266,10.5299997329712,5.03391714125861,Brasil
2001,178211881.0,3142.27793491612,270.18981934,6.84035902487525,10.6499996185303,4.1475372872656,Brasil
2002,180476685.0,2824.679625276,246.94700623,8.4501643770833,10.6400003433228,3.25362183446841,Brasil
2003,182629278.0,3056.62496707108,251.4379425,14.7149197228147,11.1700000762939,1.81341525562991,Brasil
2004,184722043.0,3623.24799633539,295.52862549,6.59718509985962,10.0699996948242,2.71351403743579,Brasil
2005,186797334.0,4773.24894374558,384.93200684,6.86953720898965,10.5500001907349,1.73390066860406,Brasil
2006,188820682.0,5866.09622382995,485.59933472,4.18356812896902,9.6899995803833,1.75310394352114,Brasil
2007,190779453.0,7323.03362855509,602.68591309,3.64127299102654,9.27999973297119,3.19089484217804,Brasil
2008,192672317.0,8801.59948420962,707.49121094,5.67859390284171,8.27000045776367,2.99066328737284,Brasil
2009,194517549.0,8570.02256200077,721.76800537,4.88803479876804,9.42000007629395,1.8884557945289,Brasil
2010,196353492.0,11249.464543278,896.69714355,5.03872690108066,8.03400039672852,3.72995563638581,Brasil
2011,198185302.0,13200.7850823986,1031.57617188,6.63644962213085,7.57999992370605,3.91511224078518,Brasil
2012,199977707.0,12327.3174365132,957.00708008,5.40349914037009,7.25,3.75502245657954,Brasil
2013,201721767.0,12258.5031683848,981.15283203,6.204310666401,7.07000017166138,3.04152453327778,Brasil
2014,203459650.0,12071.1582132348,1017.04711914,6.32904015516142,6.76000022888184,3.5714255248341,Brasil
2015,205188205.0,8783.22598387817,785.26483154,9.02990102416129,8.5600004196167,3.59214499882422,Brasil
2016,206859578.0,8680.76879182018,798.6270752,8.73914352329393,11.7399997711182,4.13736263347993,Brasil
2017,208504960.0,9896.68478335903,940.36975098,3.44637335032672,12.9300003051758,3.33827132367175,Brasil
2018,210166592.0,9121.08340257783,866.15539551,3.66485028376724,12.460000038147,4.07745878194606,Brasil
2019,211782878.0,8845.25911841876,853.38793945,3.73297621216894,12.0500001907349,3.69270036167182,Brasil
2020,213196304.0,6794.48915877166,,3.21176803803379,13.9300003051758,2.60854137404101,Brasil
2021,214326223.0,7507.16097080234,,8.30165975585676,13.3400001525879,2.88624032195791,Brasil
