Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,9907.0,,,,,,British Virgin Islands
1973,10018.0,,,,,,British Virgin Islands
1974,10146.0,,,,,,British Virgin Islands
1975,10282.0,,,,,,British Virgin Islands
1976,10428.0,,,,,,British Virgin Islands
1977,10578.0,,,,,,British Virgin Islands
1978,10727.0,,,,,,British Virgin Islands
1979,10876.0,,,,,,British Virgin Islands
1980,11109.0,,,,,,British Virgin Islands
1981,11472.0,,,,,,British Virgin Islands
1982,11889.0,,,,,,British Virgin Islands
1983,12315.0,,,,,,British Virgin Islands
1984,12753.0,,,,,,British Virgin Islands
1985,13202.0,,,,,,British Virgin Islands
1986,13656.0,,,,,,British Virgin Islands
1987,14117.0,,,,,,British Virgin Islands
1988,14593.0,,,,,,British Virgin Islands
1989,15091.0,,,,,,British Virgin Islands
1990,15617.0,,,,,,British Virgin Islands
1991,16090.0,,,,,,British Virgin Islands
1992,16476.0,,,,,,British Virgin Islands
1993,16855.0,,,,,,British Virgin Islands
1994,17255.0,,,,,,British Virgin Islands
1995,17674.0,,,,,,British Virgin Islands
1996,18120.0,,,,,,British Virgin Islands
1997,18591.0,,,,,,British Virgin Islands
1998,19079.0,,,,,,British Virgin Islands
1999,19586.0,,,,,,British Virgin Islands
2000,20104.0,,,,,,British Virgin Islands
2001,20657.0,,,,,,British Virgin Islands
2002,21288.0,,,,,,British Virgin Islands
2003,21982.0,,,,,,British Virgin Islands
2004,22715.0,,,,,,British Virgin Islands
2005,23497.0,,,,,,British Virgin Islands
2006,24323.0,,,,,,British Virgin Islands
2007,25191.0,,,,,,British Virgin Islands
2008,26115.0,,,,,,British Virgin Islands
2009,27044.0,,,,,,British Virgin Islands
2010,27556.0,,,,,,British Virgin Islands
2011,27962.0,,,,,,British Virgin Islands
2012,28421.0,,,,,,British Virgin Islands
2013,28657.0,,,,,,British Virgin Islands
2014,28971.0,,,,,,British Virgin Islands
2015,29366.0,,,,,,British Virgin Islands
2016,29739.0,,,,,,British Virgin Islands
2017,30060.0,,,,,,British Virgin Islands
2018,30335.0,,,,,,British Virgin Islands
2019,30610.0,,,,,,British Virgin Islands
2020,30910.0,,,,,,British Virgin Islands
2021,31122.0,,,,,,British Virgin Islands
