Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,143886.0,1882.17447023005,,,,-1.39576842823992,Brunei Darussalam
1973,149065.0,2905.39029000284,,,,0.0669603681442524,Brunei Darussalam
1974,154314.0,6957.09453219795,,,,0.19374482073236,Brunei Darussalam
1975,159653.0,7317.77232908324,,,,0.0727550173260179,Brunei Darussalam
1976,165064.0,8621.27027483655,,,,-2.17067239270783,Brunei Darussalam
1977,170560.0,10159.0124351619,,,,-0.189874751585124,Brunei Darussalam
1978,176176.0,11020.8013782012,,,,0.23537280304403,Brunei Darussalam
1979,181951.0,15409.5333662264,,,,0.0124831477259681,Brunei Darussalam
1980,187921.0,26228.1754458921,,,,-0.397052039114615,Brunei Darussalam
1981,194099.0,22494.7776628235,,9.13705583756339,,-0.254453865127974,Brunei Darussalam
1982,200630.0,21254.3106038409,,6.35658914728686,,0.145629280587365,Brunei Darussalam
1983,207523.0,18526.7326631337,,1.1661807580175,,0.0941550240647965,Brunei Darussalam
1984,214682.0,17619.1906562395,,3.07396733909727,,0.02114990394745,Brunei Darussalam
1985,222119.0,15863.6251876936,,2.35321528424929,,0.104154467448241,Brunei Darussalam
1986,229815.0,10263.0064056799,,1.78124288641065,,-0.256508874956383,Brunei Darussalam
1987,237712.0,11587.3975137846,,1.24685490634577,,-0.00254132979365271,Brunei Darussalam
1988,245729.0,10949.9389619567,,1.19284294234599,,0.0170958114796484,Brunei Darussalam
1989,253821.0,11762.0999810309,,1.30430037109821,,0.334955861840934,Brunei Darussalam
1990,261928.0,13440.9140074293,,2.13866293163794,,0.198832471399467,Brunei Darussalam
1991,269860.0,13716.9904860241,,1.60000000000001,4.69999980926514,0.135074276778733,Brunei Darussalam
1992,277416.0,15080.4142121329,,1.27952755905517,4.82399988174438,0.167322083639032,Brunei Darussalam
1993,284713.0,14420.5082021244,,4.25170068027211,4.86299991607666,0.194850768766958,Brunei Darussalam
1994,291935.0,14000.8493669204,,2.46251844946788,5.00400018692017,0.144103569554061,Brunei Darussalam
1995,299097.0,15827.70819061,,5.96664139499613,5.125,12.310056966042,Brunei Darussalam
1996,306196.0,16706.9551427172,,1.99613650998079,5.2020001411438,12.7765978095106,Brunei Darussalam
1997,313215.0,16593.4995901791,,1.71156004489334,5.23400020599365,13.5019249967604,Brunei Darussalam
1998,320152.0,12653.8245193954,,-0.441379310344899,5.34600019454956,14.1503126843658,Brunei Darussalam
1999,327045.0,14065.3426898439,,-0.415627597672449,5.5019998550415,16.2580145347826,Brunei Darussalam
2000,333926.0,17971.5065800941,508.54840088,1.55815247634947,5.59700012207031,9.15836044592086,Brunei Darussalam
2001,340748.0,16437.6330436605,464.79043579,0.595890410958983,5.69399976730347,1.08362189010565,Brunei Darussalam
2002,347463.0,16817.1261618121,473.22723389,-2.3149724245932,5.80999994277954,3.93049837597171,Brunei Darussalam
2003,354045.0,18521.1853990472,535.27740479,0.299999999999977,5.89099979400635,1.88828155515105,Brunei Darussalam
2004,360461.0,21839.62541025,619.2869873,0.814223994682602,5.94600009918213,1.43802178934314,Brunei Darussalam
2005,366717.0,25991.1671612527,646.16021729,1.24443711883964,6.03999996185303,1.83675498095092,Brunei Darussalam
2006,372808.0,30768.3928512181,654.69018555,0.159888078345143,6.21000003814697,0.765769354306188,Brunei Darussalam
2007,378748.0,32337.3172854504,702.66918945,0.967774119525083,6.23000001907349,2.1035446532851,Brunei Darussalam
2008,384568.0,37426.6685438881,788.61535645,2.08498023715416,6.28800010681152,1.54368804404399,Brunei Darussalam
2009,390311.0,27496.9608498461,741.29534912,1.03571774271615,6.38800001144409,3.03369097831975,Brunei Darussalam
2010,396053.0,34609.9404298761,803.52685547,0.356869132017602,6.56799983978271,3.50703687947836,Brunei Darussalam
2011,401506.0,46139.5844090516,877.15759277,0.137911563169595,6.69000005722046,3.73094918335491,Brunei Darussalam
2012,406634.0,46842.9602563885,883.67559814,0.111766261400274,6.73199987411499,4.54067743723873,Brunei Darussalam
2013,411702.0,43948.8511672852,849.33062744,0.389205053123613,6.76999998092651,4.28677622359659,Brunei Darussalam
2014,416656.0,41037.0726485073,798.79370117,-0.207108731719878,6.8600001335144,3.35650199102938,Brunei Darussalam
2015,421437.0,30681.6794391894,743.92004395,-0.488347420743486,7.69299983978271,1.32470174845995,Brunei Darussalam
2016,425994.0,26762.9456464617,692.03570557,-0.278693265753062,8.43200016021729,-1.32052233784439,Brunei Darussalam
2017,430276.0,28186.8030267778,648.66882324,-1.26050564628963,9.31999969482422,3.85820831655778,Brunei Darussalam
2018,434274.0,31241.4539554095,763.14569092,1.02505179290213,8.69999980926514,3.80474135275375,Brunei Darussalam
2019,438048.0,30748.7374865551,671.56268311,-0.390522069165492,6.92000007629395,2.77114148390794,Brunei Darussalam
2020,441725.0,27179.4119853371,,1.94031996607178,7.40999984741211,4.71056541025406,Brunei Darussalam
2021,445373.0,31449.0765620727,,1.73341388450597,7.44600009918213,1.46180960804708,Brunei Darussalam
