Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,8576200.0,,,,,,Bulgaria
1973,8620967.0,,,,,,Bulgaria
1974,8678745.0,,,,,,Bulgaria
1975,8720742.0,,,,,,Bulgaria
1976,8758599.0,,,,,,Bulgaria
1977,8804183.0,,,,,,Bulgaria
1978,8814032.0,,,,,,Bulgaria
1979,8825940.0,,,,,,Bulgaria
1980,8861535.0,2238.80295786574,,,,0.0,Bulgaria
1981,8891117.0,2234.81481573125,,,,0.0,Bulgaria
1982,8917457.0,2169.00401089683,,,,0.0,Bulgaria
1983,8939738.0,1852.81343442802,,,,0.0,Bulgaria
1984,8960679.0,1963.57267618274,,,,0.0,Bulgaria
1985,8960547.0,1914.55064658793,,,,0.0,Bulgaria
1986,8958171.0,2260.4272811545,,2.69999999999987,,0.0,Bulgaria
1987,8971359.0,3132.30136036246,,2.72638753651414,,0.0,Bulgaria
1988,8981446.0,2511.39306259489,,2.36966824644548,,0.0,Bulgaria
1989,8876972.0,2477.0208179596,,6.38888888888879,,0.0,Bulgaria
1990,8718289.0,2366.52982128614,,23.8000000000003,,0.0193872740170872,Bulgaria
1991,8632367.0,1267.73437541485,,338.449111470112,11.1000003814697,0.510803242446573,Bulgaria
1992,8540164.0,1211.98087810931,,91.2979327269304,15.3000001907349,0.400946215139442,Bulgaria
1993,8472313.0,1278.24717346108,,72.8787913866333,16.3999996185303,0.369354299096688,Bulgaria
1994,8443591.0,1148.4943993817,,96.0573382686504,12.8000001907349,1.08688736681887,Bulgaria
1995,8406067.0,2258.28424761261,,62.0548336837993,11.1000003814697,0.476208319190516,Bulgaria
1996,8362826.0,1470.10168683781,,121.60754244925,12.5,0.886596599484532,Bulgaria
1997,8312068.0,1361.3923860059,,1058.37355921973,13.6999998092651,4.46094574623626,Bulgaria
1998,8256786.0,1820.40523184553,,18.6722044420641,12.1999998092651,3.57479946826969,Bulgaria
1999,8210624.0,1659.71861105493,,2.57304281890204,14.1000003814697,6.00842885272015,Bulgaria
2000,8170172.0,1621.24301844691,94.49745178,10.3162621289989,16.2199993133545,7.56089664282273,Bulgaria
2001,8009142.0,1770.91353394746,119.82997894,7.36093927231849,19.9200000762939,5.73160587104507,Bulgaria
2002,7837161.0,2092.95769387611,148.1479187,5.81014365721823,18.1100006103516,5.51526099985582,Bulgaria
2003,7775327.0,2719.49750761794,195.74369812,2.34864169582755,13.7299995422363,9.91624708239232,Bulgaria
2004,7716860.0,3389.70680201547,233.11332703,6.1471307424627,12.039999961853,11.74617153425,Bulgaria
2005,7658972.0,3899.90772068651,267.74139404,5.03883807111907,10.0799999237061,13.7201913709519,Bulgaria
2006,7601022.0,4523.0508329806,294.10891724,7.26159462769947,8.94999980926514,22.9043630840043,Bulgaria
2007,7545338.0,5888.77685220636,361.23498535,8.40253419005894,6.88000011444092,31.2275318810773,Bulgaria
2008,7492561.0,7271.39583653299,455.54058838,12.3487195994021,5.6100001335144,18.8995235199613,Bulgaria
2009,7444443.0,6988.23342017279,459.30020142,2.75320223914816,6.82000017166138,7.49019992341879,Bulgaria
2010,7395599.0,6853.00285388669,484.75228882,2.43899060504117,10.2799997329712,3.63619782168189,Bulgaria
2011,7348328.0,7849.16528274432,555.86419678,4.21990346601875,11.2600002288818,3.64749334004697,Bulgaria
2012,7305888.0,7432.47876568071,558.64794922,2.95456829831017,12.2700004577637,3.2929682601939,Bulgaria
2013,7265115.0,7681.93461995882,547.45483398,0.890093540913032,12.9399995803833,3.56394027272256,Bulgaria
2014,7223938.0,7901.78587639382,605.25891113,-1.41818380264842,11.4200000762939,1.91583999206372,Bulgaria
2015,7177991.0,7074.68102325059,521.41906738,-0.104633261008417,9.14000034332275,4.37436521561917,Bulgaria
2016,7127822.0,7569.47881476759,562.34082031,-0.798649886453611,7.57000017166138,2.75870709167437,Bulgaria
2017,7075947.0,8366.29322145748,624.52502441,2.06159619443137,6.15999984741211,3.39072421691432,Bulgaria
2018,7025037.0,9446.71709419731,689.90539551,2.81454473824833,5.21000003814697,2.72719037994676,Bulgaria
2019,6975761.0,9879.33434282707,697.8963623,3.10372944796774,4.23000001907349,3.22313254106028,Bulgaria
2020,6934015.0,10129.8129597638,,1.67244096855762,5.11999988555908,5.12482332889137,Bulgaria
2021,6877743.0,12221.4966064171,,3.29774435299511,5.26999998092651,2.52718675242693,Bulgaria
