Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3579195.0,68.9553297399475,,3.82855766917327,,0.166123341081897,Burundi
1973,3571450.0,85.214643786738,,6.00649350675308,,0.144575222438011,Burundi
1974,3660032.0,94.3334626755974,,15.7223072990937,,0.0637194505231799,Burundi
1975,3749232.0,112.286107305887,,15.7098745988233,,0.0760119085323367,Burundi
1976,3830889.0,117.051878460375,,6.8565515736454,,0.0178407057679777,Burundi
1977,3927428.0,139.413263732793,,6.83451404136486,,-0.0456591352768567,Burundi
1978,4039410.0,151.067991502609,,23.8956206469303,,0.145847710227366,Burundi
1979,4137437.0,189.125941172438,,36.5407569980926,,-0.0383388214646282,Burundi
1980,4312834.0,213.253435366784,,2.49851950030163,,0.500148583999594,Burundi
1981,4490743.0,215.78760277902,,12.1673943487938,,1.14339178711724,Burundi
1982,4602271.0,220.157009924496,,5.8680963572266,,0.0888255291150346,Burundi
1983,4726506.0,229.117725538647,,8.15123135622633,,0.280720856762503,Burundi
1984,4842268.0,203.859829973679,,14.3168697883258,,0.120549786351135,Burundi
1985,4948024.0,232.41182455329,,3.80428683649426,,0.046832716873145,Burundi
1986,5041706.0,238.356916699581,,1.67567567567545,,0.126820029714969,Burundi
1987,5157769.0,219.371300655575,,7.1132376395534,,0.120879772464207,Burundi
1988,5271840.0,205.31791926308,,4.48679769704178,,0.110552499276144,Burundi
1989,5373697.0,207.291950106508,,11.6615998479958,,0.0509215013186548,Burundi
1990,5483793.0,206.444928267383,,7.00216956651126,,0.110894210226116,Burundi
1991,5594828.0,208.656723378432,,8.99693873494325,2.6159999370575,0.0764520532874519,Burundi
1992,5743085.0,188.581166847581,,1.8233333333331,2.68899989128113,0.0554078910909431,Burundi
1993,5555220.0,168.964075594911,,9.67934658067928,2.81200003623962,0.0504648856980534,Burundi
1994,5586408.0,165.585934674604,,14.852814983397,2.81900000572205,0.000427861408178981,Burundi
1995,5932783.0,168.627167702793,,19.2632536382538,2.89199995994568,0.198107378489511,Burundi
1996,5930507.0,146.536182541744,,26.4367816091951,2.93300008773804,0.0,Burundi
1997,5923862.0,164.233445666936,,31.1115898319694,2.8970000743866,0.0,Burundi
1998,6035340.0,148.089553542574,,12.5004107653378,2.85899996757507,0.0,Burundi
1999,6180180.0,130.753023919327,,3.38542427340455,2.96199989318848,-0.0588051848971754,Burundi
2000,6307659.0,138.004617225366,8.42834568,24.4320242102151,2.99799990653992,1.34215199239829,Burundi
2001,6465729.0,135.606475784646,8.60474777,9.29618771341885,3.00300002098084,-0.0013048564735641,Burundi
2002,6648938.0,124.139297156796,7.96743488,-1.36568005328061,3.01399993896484,0.0,Burundi
2003,6860846.0,114.36700716216,7.16897345,10.6474645658306,3.12599992752075,0.0,Burundi
2004,7120496.0,128.538422519456,9.8821106,8.17642937482059,3.09400010108948,0.00488285714415742,Burundi
2005,7388874.0,151.18853639299,12.77716923,13.2520699188223,3.18899989128113,0.0523404229187196,Burundi
2006,7658190.0,166.276237631689,16.64111137,2.74542000214246,3.1800000667572,0.00248110554125564,Burundi
2007,7944609.0,170.70687366223,18.25146484,8.41206285772541,2.42300009727478,0.0368858079439631,Burundi
2008,8278109.0,194.710640063606,18.31873894,24.4069510353914,1.62999999523163,0.237816290297378,Burundi
2009,8709366.0,204.544750108233,21.8832016,10.5554355299529,1.625,0.0195573010018888,Burundi
2010,9126605.0,222.660589178565,26.41332245,6.49326591473996,1.60599994659424,0.0384119120504574,Burundi
2011,9455733.0,236.451353673737,25.13240814,9.59216605979671,1.60199999809265,0.150056707532759,Burundi
2012,9795479.0,238.205949387117,21.51785278,18.1610453065451,1.58899998664856,0.0259250385749193,Burundi
2013,10149577.0,241.54767083565,21.93877029,7.93795807492412,1.57599997520447,4.76125054089842,Burundi
2014,10494913.0,257.818551909332,20.10721016,4.4053523418529,1.57000005245209,3.0212026986125,Burundi
2015,10727148.0,289.359633280865,19.64325523,5.54468891259786,1.47699999809265,1.59867293929233,Burundi
2016,10903327.0,242.065670543589,21.78308105,5.55768961400965,1.31500005722046,0.00209979586670907,Burundi
2017,11155593.0,243.135809436375,23.15567589,16.0525353030392,1.16600000858307,0.0116679804388504,Burundi
2018,11493472.0,231.446476548394,22.40539742,-2.8146980766847,1.01699995994568,0.0369812562785432,Burundi
2019,11874838.0,216.972968085123,20.56754112,-0.686772170797229,0.870999991893768,0.0405569482468217,Burundi
2020,12220227.0,216.826741341377,,7.32110643415513,1.02999997138977,0.319811025841678,Burundi
2021,12551213.0,221.477676223363,,8.4045384507634,1.13199996948242,0.284120849243439,Burundi
