Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6766289.0,74.7159102094334,,,,-0.00197804590047619,Cambodia
1973,6852360.0,102.577674842249,,,,0.0270309045590683,Cambodia
1974,6913408.0,85.1163266640379,,,,0.229418643727437,Cambodia
1975,6727922.0,,,,,,Cambodia
1976,6307122.0,,,,,,Cambodia
1977,6040197.0,,,,,,Cambodia
1978,5961193.0,,,,,,Cambodia
1979,6051808.0,,,,,,Cambodia
1980,6198959.0,,,,,,Cambodia
1981,6364472.0,,,,,,Cambodia
1982,6619699.0,,,,,,Cambodia
1983,6881962.0,,,,,,Cambodia
1984,7133899.0,,,,,,Cambodia
1985,7376090.0,,,,,,Cambodia
1986,7661317.0,,,,,,Cambodia
1987,7975597.0,,,,,,Cambodia
1988,8269780.0,,,,,,Cambodia
1989,8570928.0,,,,,,Cambodia
1990,8910808.0,,,,,,Cambodia
1991,9259362.0,,,,0.749000012874603,,Cambodia
1992,9718215.0,,,,0.76800000667572,,Cambodia
1993,10243550.0,247.348584430364,,,0.813000023365021,2.1361412398871,Cambodia
1994,10636353.0,262.44289487821,,,1.37999999523163,2.46826428986319,Cambodia
1995,10919528.0,315.14234799495,,-0.798944337811886,0.785000026226044,4.38218500888824,Cambodia
1996,11182612.0,313.584672308454,,7.15086140872797,0.839999973773956,8.37255420712081,Cambodia
1997,11431569.0,301.219665357476,,7.96021397777458,0.912999987602234,5.91564174864993,Cambodia
1998,11669077.0,267.409796214605,,14.8065035437762,0.952000021934509,3.71333117721961,Cambodia
1999,11899006.0,295.591285291268,,4.00820702088783,0.898000001907349,2.90641952249671,Cambodia
2000,12118841.0,301.516598515387,19.732481,-0.791992529473574,0.972000002861023,3.23775422594546,Cambodia
2001,12338192.0,322.899863855535,22.56290054,-0.60064830012368,1.03999996185303,3.67675642706205,Cambodia
2002,12561779.0,341.036765774788,24.55882645,0.211466568022586,1.10699999332428,3.05685091512561,Cambodia
2003,12787710.0,364.275301697561,25.21897125,0.941746117799226,1.12100005149841,1.75131657873445,Cambodia
2004,13016371.0,410.086132919785,28.98139381,4.31933677434783,1.13399994373322,2.46197704527502,Cambodia
2005,13246583.0,475.069394260589,32.4956665,6.61525912001587,1.12999999523163,6.02538390549261,Cambodia
2006,13477779.0,539.747365398375,33.02710342,5.81068550464307,1.20899999141693,6.64242250974353,Cambodia
2007,13714791.0,629.921071504535,30.96165848,8.70882770568048,1.25999999046326,10.0389496766489,Cambodia
2008,13943888.0,742.397966275428,49.21836472,24.0968519306051,0.819999992847443,7.87468105532321,Cambodia
2009,14155740.0,734.815124508561,55.96894836,-1.24171754189638,0.579999983310699,8.9252724484283,Cambodia
2010,14363532.0,782.695732426974,54.29156113,3.99639528107212,0.769999980926514,12.4913811842369,Cambodia
2011,14573885.0,880.310304425532,66.20181274,5.4784474961745,0.579999983310699,11.99484383725,Cambodia
2012,14786640.0,950.482544612158,69.04489136,2.93431609293959,0.50900000333786,14.1457254083206,Cambodia
2013,14999683.0,1015.2208813493,71.99204254,2.9416250954735,0.439999997615814,13.5833460915532,Cambodia
2014,15210817.0,1098.07453750857,73.28150177,3.85568861424195,0.689999997615814,11.096894824334,Cambodia
2015,15417523.0,1170.74281578324,72.03400421,1.22393195511127,0.389999985694885,10.0986635313823,Cambodia
2016,15624584.0,1281.10596442243,77.65436554,3.01913975139129,0.720000028610229,12.3692214343885,Cambodia
2017,15830689.0,1400.89926039107,79.27455139,2.9126355737148,0.140000000596046,12.5718497255874,Cambodia
2018,16025238.0,1533.31598466695,92.90358734,2.45908515380133,0.142000004649162,13.0744980659541,Cambodia
2019,16207746.0,1671.38538492515,113.31044006,1.94257500833109,0.145999997854233,13.5220210875004,Cambodia
2020,16396860.0,1577.91174726099,,2.94029514263973,0.298000007867813,14.0094820375619,Cambodia
2021,16589023.0,1625.23501955454,,2.9207347759295,0.294999986886978,12.9203431206795,Cambodia
