Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6809468.0,220.024831627417,,8.09291869579621,,0.22025665839206,Cameroon
1973,6998688.0,271.678522603307,,10.384748700384,,0.163038343353254,Cameroon
1974,7194697.0,299.861862943597,,17.2329334923306,,1.00119807916923,Cameroon
1975,7397417.0,386.220943210158,,13.5533294051262,,0.94853502003568,Cameroon
1976,7598028.0,381.426592411311,,9.93065056369725,,0.565889958603657,Cameroon
1977,7796825.0,435.390539665612,,14.6983091581554,,0.256594739819971,Cameroon
1978,8013279.0,581.890603907646,,12.4630523441787,,0.869606683909939,Cameroon
1979,8243377.0,718.031482353295,,6.58061081902711,,1.04916184385982,Cameroon
1980,8519891.0,783.409978493938,,9.55175427642871,,1.94511460901606,Cameroon
1981,8829048.0,748.771268794127,,10.7275000000004,,2.04798526638685,Cameroon
1982,9046986.0,730.768790649079,,13.2570198610704,,1.68561585409065,Cameroon
1983,9240672.0,743.474138995624,,16.6312264100787,,3.11229930856001,Cameroon
1984,9508570.0,768.983922652781,,11.3733220902937,,0.241627557265622,Cameroon
1985,9804254.0,871.541046801016,,8.50837434391595,,3.70083194172785,Cameroon
1986,10112712.0,1172.49026136918,,7.77002498703533,,-0.764946669243408,Cameroon
1987,10433905.0,1250.69744559987,,13.140499844701,,0.888345058220566,Cameroon
1988,10759573.0,1137.22525448181,,1.68233260771209,,0.754838514202071,Cameroon
1989,11089222.0,993.08735639924,,-1.6655258955054,,-0.778514701259442,Cameroon
1990,11430520.0,1077.33349708393,,1.09938128383606,,-0.916249145215846,Cameroon
1991,11777719.0,1005.30439502968,,0.0600513305003629,7.6560001373291,-0.122447751937257,Cameroon
1992,12128604.0,995.314496264389,,-0.0160550458717504,7.75099992752075,0.241917819537102,Cameroon
1993,12486773.0,1295.91636785968,,-3.20655456915869,7.97499990463257,0.0316449891040948,Cameroon
1994,12848862.0,692.858728504174,,35.0944618459464,7.87099981307983,0.0412731560685032,Cameroon
1995,13211647.0,822.36325545455,,9.06969071921507,7.96799993515015,0.13903398847811,Cameroon
1996,13575324.0,817.184142126482,,3.924063727498,8.0600004196167,0.941242048622055,Cameroon
1997,13941181.0,773.92710955017,,4.78623881860373,7.93400001525879,1.38667298147574,Cameroon
1998,14314599.0,789.274258513031,,3.17075185386907,7.80999994277954,0.488852785524561,Cameroon
1999,14698973.0,786.845950780941,,1.87174500672009,7.69600009918213,0.302700366144492,Cameroon
2000,15091594.0,700.163213560189,28.0037632,1.22719012976135,7.59100008010864,1.51144478184477,Cameroon
2001,15493253.0,706.984210767351,26.70227814,4.41977245881143,7.46000003814697,-0.106526709243806,Cameroon
2002,15914033.0,780.270583571123,30.54583931,2.83442260128067,6.68900012969971,4.0689844321869,Cameroon
2003,16354326.0,976.519347298549,37.04441071,0.62316355737432,5.90299987792969,2.09694373662373,Cameroon
2004,16809407.0,1119.98092961024,40.62355042,0.233647380067603,5.11100006103516,0.361118018880138,Cameroon
2005,17275171.0,1129.35789968588,41.45746613,2.01353950175986,4.40000009536743,1.2486084006088,Cameroon
2006,17751333.0,1177.96866154342,42.83129883,5.11757816019468,3.72399997711182,0.282739541527104,Cameroon
2007,18251866.0,1311.00301381483,47.34065247,0.921402245650111,3.05999994277954,0.792290635788331,Cameroon
2008,18777081.0,1476.00921465211,52.65299225,5.337806276275,3.41799998283386,0.0757546607191795,Cameroon
2009,19319274.0,1445.86031977296,49.35915375,3.04361847939997,3.76600003242493,2.67166937130696,Cameroon
2010,19878036.0,1383.81375851573,48.35902023,1.27538046242341,4.1100001335144,1.94952401661589,Cameroon
2011,20448873.0,1497.92666739037,56.44068146,2.93969946305094,3.96700000762939,2.13270379488211,Cameroon
2012,21032684.0,1433.72403512901,55.17245483,2.74253407543984,3.81699991226196,1.74884034593511,Cameroon
2013,21632850.0,1559.13912494614,55.47434235,2.05908683974933,3.67499995231628,1.62296798387908,Cameroon
2014,22299585.0,1631.71408426148,60.95220566,1.8341307814992,3.52999997138977,1.99484315606235,Cameroon
2015,23012646.0,1399.67533119236,49.76532364,2.68598277212217,3.5460000038147,2.15564021776575,Cameroon
2016,23711630.0,1426.0655172286,50.88278198,0.861740257759474,3.57200002670288,1.96334938487708,Cameroon
2017,24393181.0,1479.86234930121,49.76703644,0.64267352185089,3.59800004959106,2.25620956446468,Cameroon
2018,25076747.0,1594.05998970315,53.17176819,1.0742994515814,3.60899996757507,1.91398182081519,Cameroon
2019,25782341.0,1538.68794663506,53.99584961,2.45280214062733,3.62899994850159,2.58319634858929,Cameroon
2020,26491087.0,1539.13055856256,,2.43760882182242,3.94700002670288,1.65595613273857,Cameroon
2021,27198628.0,1666.93273443122,,2.27185762503631,4.12200021743774,2.12520508585485,Cameroon
