Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,22218463.0,5089.58790204875,,4.9880287310455,,1.86666193148081,Canada
1973,22491777.0,5838.66089434012,,7.48764728240213,,2.42501250690453,Canada
1974,22807969.0,7033.01102090736,,10.997171145686,,2.32128213519194,Canada
1975,23143275.0,7511.21134279151,,10.672188595094,,1.94794046288358,Canada
1976,23449808.0,8809.26466044933,,7.54173862982152,,1.18635580972065,Canada
1977,23725843.0,8919.05746104275,,7.97644539614562,,1.59339929776903,Canada
1978,23963203.0,9123.69133364505,,8.97372335151215,,1.71071794914292,Canada
1979,24201544.0,10043.6609586669,,9.1446769790719,,2.18360600582495,Canada
1980,24515667.0,11170.5639723393,,10.1292205085452,,2.12276337638382,Canada
1981,24819915.0,12337.4662493804,,12.4716124148373,,0.216750029836099,Canada
1982,25116942.0,12481.8747874298,,10.7689718997139,,0.0287270716576366,Canada
1983,25366451.0,13425.1224888294,,5.86358802977366,,1.35621526796074,Canada
1984,25607053.0,13877.9170763469,,4.30477830391736,,1.59698922143472,Canada
1985,25842116.0,14114.8077599664,,3.96203054065208,,0.344547723093347,Canada
1986,26100278.0,14461.0692388787,,4.19478629085617,,0.717913443405804,Canada
1987,26446601.0,16308.9669663579,,4.3561087122174,,1.99326972844197,Canada
1988,26791747.0,18936.9641024997,,4.02823414871611,,1.4184169355333,Canada
1989,27276781.0,20715.631483174,,4.98362189985959,,1.26919317716978,Canada
1990,27691138.0,21448.3619600057,,4.78047693336305,,1.41459671918718,Canada
1991,28037420.0,21768.3432941828,,5.62586408593004,10.3199996948242,0.575791876768097,Canada
1992,28371264.0,20879.8483300891,,1.49013290374545,11.1999998092651,1.184737662546,Canada
1993,28684764.0,20121.1612532855,,1.86507936507936,11.3800001144409,0.72395564573183,Canada
1994,29000663.0,19935.3814579208,,0.165562913907281,10.3999996185303,1.65029940725316,Canada
1995,29302311.0,20613.7878829216,,2.14876033057852,9.48999977111816,2.26107261333528,Canada
1996,29610218.0,21227.3475315896,,1.57053112507137,9.61999988555908,1.40286823948542,Canada
1997,29905948.0,21901.5628548392,,1.62121638084528,9.10000038146973,2.31796973451973,Canada
1998,30155173.0,21024.5850687045,,0.995942456658074,8.27999973297119,3.93993821737617,Canada
1999,30401286.0,22315.2466731545,,1.73484295105918,7.57999992370605,4.04710363964717,Canada
2000,30685730.0,24271.0020563821,2007.88085938,2.71943995691972,6.82999992370605,9.17102428671511,Canada
2001,31020902.0,23822.0601178964,2063.92749023,2.52512013979907,7.21999979019165,3.84192129292478,Canada
2002,31360079.0,24255.3385818322,2159.31591797,2.25839440940856,7.65999984741211,3.21914767807145,Canada
2003,31644028.0,28300.4630963791,2562.91455078,2.75856321360112,7.57000017166138,0.782967555453216,Canada
2004,31940655.0,32143.6814078562,2925.06713867,1.85725871857261,7.19000005722046,0.141465896048034,Canada
2005,32243753.0,36382.5079164537,3296.50146484,2.21355203439764,6.76000022888184,2.17816380917594,Canada
2006,32571174.0,40504.0607253203,3788.09008789,2.00202539534156,6.32000017166138,4.87410128955105,Canada
2007,32889025.0,44659.8951408034,4212.99072266,2.13838399266843,6.03999996185303,8.20055904886214,Canada
2008,33247118.0,46710.5055759013,4474.97460938,2.37027067444294,6.1399998664856,4.5151371416977,Canada
2009,33628895.0,40876.3101540295,4371.55273438,0.299466803009284,8.34000015258789,1.52413118076927,Canada
2010,34004889.0,47562.0834253057,5065.91503906,1.77687154092629,8.0600004196167,1.83725638740881,Canada
2011,34339328.0,52223.696112356,5400.11376953,2.91213508872355,7.51000022888184,2.13783310760835,Canada
2012,34714222.0,52669.0899632316,5500.68408203,1.51567823124521,7.28999996185303,2.70016900895674,Canada
2013,35082954.0,52635.1749580433,5443.625,0.93829189781521,7.07000017166138,3.62980398357006,Canada
2014,35437435.0,50955.9983232404,5189.01464844,1.90663590717873,6.90999984741211,3.55390337011002,Canada
2015,35702908.0,43596.1355365546,4637.21142578,1.12524136094279,6.90999984741211,3.85389453706153,Canada
2016,36109487.0,42315.6037056806,4629.375,1.4287595470108,7.0,2.23835012140903,Canada
2017,36545236.0,45129.4292980922,4865.07080078,1.5968841285297,6.34000015258789,1.53752071953934,Canada
2018,37065084.0,46548.6384108296,5018.71142578,2.268225672481,5.82999992370605,2.46931207254863,Canada
2019,37601230.0,46328.6718408497,5048.37255859,1.94926902411596,5.65999984741211,2.80952227646774,Canada
2020,38037204.0,43258.2638715601,,0.716999632307852,9.46000003814697,1.84660987217828,Canada
2021,38246108.0,51987.9390529728,,3.39519318527532,7.46000003814697,3.2553355019306,Canada
