Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5090052.0,911.444385899326,,6.83081131902367,,6.74132776902935,Caribbean small states
1973,5150123.0,985.663027401685,,13.4406006971741,,5.81516623135599,Caribbean small states
1974,5208944.0,1266.20773478279,,27.1581894550217,,4.92012403248026,Caribbean small states
1975,5266374.0,1463.39028621665,,17.1776036271348,,2.45653117867687,Caribbean small states
1976,5322281.0,1490.36154251804,,9.93159565281302,,2.12038984081592,Caribbean small states
1977,5377263.0,1712.85702148585,,9.73113276853738,,0.990362188863589,Caribbean small states
1978,5432222.0,1736.61001504836,,9.48238259101763,,1.04305503676113,Caribbean small states
1979,5486916.0,1974.7748407866,,14.782239267266,,0.84190623125018,Caribbean small states
1980,5544061.0,2434.18456792351,,17.4703042795772,,2.38341015661541,Caribbean small states
1981,5604584.0,2656.81045510986,,12.7397181145091,,2.97512500655084,Caribbean small states
1982,5666254.0,2915.12299252371,,6.83903252716288,,1.67905054597729,Caribbean small states
1983,5727558.0,2921.93923555626,,4.99609679980485,,1.38236791723505,Caribbean small states
1984,5785882.0,2762.38390567724,,3.68874452760909,,0.721382710119973,Caribbean small states
1985,5841960.0,2707.09616682342,,3.91510525082794,,0.272883008643481,Caribbean small states
1986,5894393.0,2450.00269368449,,2.19025825433132,,-0.180167690889653,Caribbean small states
1987,5939439.0,2613.33561634621,,4.0245804334164,,0.57652681924767,Caribbean small states
1988,5980371.0,2752.31493946645,,4.00000000000012,,0.347723851044627,Caribbean small states
1989,6020383.0,2802.62853554281,,5.38765822784808,,0.626889904436727,Caribbean small states
1990,6057836.0,2995.96953539978,,4.26755662855973,,2.07962168462518,Caribbean small states
1991,6100213.0,2956.0909084438,,5.55706153429131,12.2038292289922,2.91959283704674,Caribbean small states
1992,6152432.0,2885.09552390377,,5.47182559344177,12.6242562130117,3.22784246087262,Caribbean small states
1993,6206775.0,3097.28505672044,,2.72289766970589,12.4902476653774,3.40178974082642,Caribbean small states
1994,6261744.0,3226.76847485112,,2.56934304644297,12.1673690277438,4.38040560915305,Caribbean small states
1995,6319517.0,3524.13976348299,,2.92320804732386,11.3555753606583,3.75255600700959,Caribbean small states
1996,6376465.0,3809.57672295602,,2.23636304005722,11.115019281598,3.45701163259882,Caribbean small states
1997,6430969.0,4418.65377816892,,2.99598403029241,10.8088023002486,5.93158323843241,Caribbean small states
1998,6484492.0,4681.01916610621,,2.6986029585834,10.4928462408522,5.20827823605749,Caribbean small states
1999,6535399.0,4925.01173417261,,2.62139524582745,10.1427920435884,5.17911095165255,Caribbean small states
2000,6582141.0,5246.59561150376,257.48931854451,2.43581303489138,9.69603728626101,4.94685520162494,Caribbean small states
2001,6626803.0,5368.47196967434,252.470894635764,2.62741314203333,9.35923030316544,5.72873781237753,Caribbean small states
2002,6671842.0,5594.31915187578,271.382267720487,2.17357792508091,9.4281511743578,5.71854759983259,Caribbean small states
2003,6716747.0,5938.53374791881,277.997135370174,2.23543664374554,9.55672198085731,5.84125728938753,Caribbean small states
2004,6760372.0,6453.1436981051,316.69730118988,2.39410982050296,8.8492168140631,5.80651344510638,Caribbean small states
2005,6802474.0,7248.40734268383,351.039433218772,3.73342916467019,8.63925803662864,6.66122665516735,Caribbean small states
2006,6844183.0,8192.98414588988,376.190492579957,4.25195321977968,7.85396809847806,6.68665953288076,Caribbean small states
2007,6884705.0,9053.24647637149,435.290037524815,4.03422982885069,7.56053522211098,6.31931171699487,Caribbean small states
2008,6923924.0,10222.7281080867,479.422553515099,8.03327327650343,7.37298993327942,9.34917305500069,Caribbean small states
2009,6964240.0,8592.54949651641,467.925136085871,0.421539125687228,8.39064512629247,5.02446155256983,Caribbean small states
2010,7004428.0,9271.77321574523,493.001444178702,3.3700254022015,8.27972748793101,3.98416998447059,Caribbean small states
2011,7044357.0,9948.83893143998,515.021437284049,3.45674967234602,8.46387837436045,3.19775844768204,Caribbean small states
2012,7088996.0,10417.9381972033,528.433583376117,2.59844414147086,8.83921039967528,0.910387905025586,Caribbean small states
2013,7135884.0,10542.7861465615,547.298368481525,1.1069855400014,9.19965921009784,1.2343498949788,Caribbean small states
2014,7181044.0,10711.7791084348,559.780609457859,1.2013996448106,8.75561829005301,4.00354865359559,Caribbean small states
2015,7224602.0,10473.834450072,584.445349400505,-0.843826984638296,8.46156608805436,3.87068239147115,Caribbean small states
2016,7265272.0,9781.00881561088,582.994591413392,0.663427167917558,8.5409661037035,4.05625004247574,Caribbean small states
2017,7303634.0,10075.8307234239,625.187346400885,1.8803844018353,7.83829680701377,2.58491644735842,Caribbean small states
2018,7374650.0,10353.116449379,639.598245225282,1.24500040905261,7.13606008443041,3.71093775875512,Caribbean small states
2019,7424102.0,10429.3320396051,662.681710514756,1.21594945605107,6.84414522225014,5.18842481326994,Caribbean small states
2020,7444768.0,8851.42495915636,,0.0799778713101663,8.44932438041009,5.69898777559965,Caribbean small states
2021,7481877.0,10063.6912979586,,2.41070312174385,8.04477754065015,3.68841503566281,Caribbean small states
