Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,11778.0,,,,,,Cayman Islands
1973,12443.0,,,,,,Cayman Islands
1974,13118.0,,,,,,Cayman Islands
1975,13791.0,,,,,,Cayman Islands
1976,14456.0,,,,,,Cayman Islands
1977,15116.0,,,,,,Cayman Islands
1978,15746.0,,,,,,Cayman Islands
1979,16378.0,,,,,,Cayman Islands
1980,17100.0,,,,,,Cayman Islands
1981,17904.0,,,,,,Cayman Islands
1982,18729.0,,,,,,Cayman Islands
1983,19572.0,,,,,,Cayman Islands
1984,20433.0,,,,,,Cayman Islands
1985,21313.0,,,,,,Cayman Islands
1986,22195.0,,,,,,Cayman Islands
1987,23075.0,,,,,,Cayman Islands
1988,23956.0,,,,,,Cayman Islands
1989,24888.0,,,,,,Cayman Islands
1990,26027.0,,,,,,Cayman Islands
1991,27340.0,,,,,,Cayman Islands
1992,28677.0,,,,,,Cayman Islands
1993,30038.0,,,,,,Cayman Islands
1994,31418.0,,,,,,Cayman Islands
1995,32802.0,,,,,,Cayman Islands
1996,34194.0,,,,,,Cayman Islands
1997,35579.0,,,,,,Cayman Islands
1998,36947.0,,,,,,Cayman Islands
1999,38295.0,,,,,,Cayman Islands
2000,39658.0,,,,,,Cayman Islands
2001,41054.0,,,,,,Cayman Islands
2002,42456.0,,,,,,Cayman Islands
2003,43862.0,,,,,,Cayman Islands
2004,45286.0,,,,,,Cayman Islands
2005,46727.0,,,,,,Cayman Islands
2006,48177.0,87187.650903508,,,,590.912861634485,Cayman Islands
2007,49647.0,89963.9224435374,,,,631.611355258702,Cayman Islands
2008,51123.0,89707.4530947906,,,,426.411870024167,Cayman Islands
2009,52602.0,81401.2530844567,,,,474.046411791768,Cayman Islands
2010,54074.0,76875.9618232493,,0.276140861750087,,504.354323858641,Cayman Islands
2011,55492.0,75438.3300106746,,1.32543575779667,,743.673929743643,Cayman Islands
2012,56860.0,75468.8534358117,,1.18894845245606,,500.787892246561,Cayman Islands
2013,58212.0,75688.0821511978,,2.16061146813395,,792.291278288691,Cayman Islands
2014,59559.0,76613.4065500634,,1.27397911533384,,1008.99472617196,Cayman Islands
2015,60911.0,77298.6280551844,,-2.34752770165614,,1709.7656776469,Cayman Islands
2016,62255.0,78861.1192668733,,-0.625258358618114,,54.6743109678929,Cayman Islands
2017,63581.0,81258.0377580086,,,,48.5141352641655,Cayman Islands
2018,64884.0,85234.8427208773,,,,3.13983173294389,Cayman Islands
2019,66134.0,89871.9131394463,,,,18.1779095052029,Cayman Islands
2020,67311.0,83329.4587744645,,,,110.020225058359,Cayman Islands
2021,68136.0,86568.7696368603,,,,438.981267572363,Cayman Islands
