Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,2153613.0,106.944891230989,,,,0.651273716739528,Central African Republic
1973,2195905.0,123.494896800925,,,,-0.0737509190276327,Central African Republic
1974,2239305.0,125.663394741053,,,,2.0611326762533,Central African Republic
1975,2283927.0,165.793397190863,,,,1.47889918645835,Central African Republic
1976,2318349.0,194.600748198141,,,,0.820121890090112,Central African Republic
1977,2342048.0,216.60449345323,,,,-0.56084735096686,Central African Republic
1978,2365957.0,258.068309678146,,,,0.996511686384756,Central African Republic
1979,2390329.0,293.166711655522,,,,3.2475142481659,Central African Republic
1980,2415276.0,330.002877010017,,,,0.670427739908375,Central African Republic
1981,2441010.0,284.637712554376,,-0.0333333333333925,,0.832097611742345,Central African Republic
1982,2467635.0,303.250798325829,,13.2960986995663,,1.22326101381015,Central African Republic
1983,2495097.0,263.989494159132,,14.6126112868811,,0.678485120417088,Central African Republic
1984,2523538.0,252.74856993245,,2.54220966810047,,0.807319780349708,Central African Republic
1985,2553075.0,338.748280038645,,10.4238402303887,,0.345905908337697,Central African Republic
1986,2583631.0,434.375120279461,,2.24515251162267,,0.727137986654692,Central African Republic
1987,2615594.0,459.165996692903,,-6.9868027059997,,0.990741018605273,Central African Republic
1988,2657235.0,476.020889459026,,-3.96446882079369,,-0.302589510221612,Central African Republic
1989,2724109.0,452.966557890752,,0.689055807312734,,0.104157669474223,Central African Republic
1990,2809221.0,512.85085640136,,-0.0123304562272239,,0.0484378805639259,Central African Republic
1991,2898052.0,475.276161548933,,-2.76236280675761,5.36299991607666,-0.353864316080746,Central African Republic
1992,2991727.0,471.940641127534,,-1.03360811667775,5.43699979782104,-0.756175025884516,Central African Republic
1993,3089146.0,413.959445983413,,-2.91535849298336,5.46600008010864,-0.780440980768602,Central African Republic
1994,3187844.0,267.00627466382,,24.5710137275605,5.46999979019165,0.423212354340756,Central African Republic
1995,3276706.0,340.399697681509,,19.1894039735098,5.44199991226196,0.555910236867844,Central African Republic
1996,3363570.0,299.619507309514,,3.72494110325801,5.45800018310547,1.08411103903227,Central African Republic
1997,3458472.0,271.143287564472,,1.61131347760912,5.46099996566772,0.159684097488649,Central African Republic
1998,3555064.0,272.101528596479,,-1.88520096157909,5.40500020980835,0.754709451633529,Central African Republic
1999,3655360.0,273.427927943248,,-1.41420220082553,5.36499977111816,0.598007105061713,Central African Republic
2000,3759170.0,243.877580064527,10.18517113,3.20340091563112,5.29699993133545,0.0969782865287567,Central African Republic
2001,3844773.0,242.57572445448,9.56678581,3.8348606023736,5.33300018310547,0.5558255084641,Central African Republic
2002,3930648.0,253.410680288044,10.97875595,2.33181703516236,5.36700010299683,0.566656639839748,Central African Republic
2003,4026841.0,283.675360848602,13.49363136,4.13470905150995,5.38700008392334,0.989218764028174,Central African Republic
2004,4115138.0,309.190261549746,14.26363945,-2.066406011363,5.34000015258789,1.18677048510282,Central African Republic
2005,4208834.0,317.877655628994,15.28491306,2.8835207335902,5.33300018310547,0.754917642922758,Central African Republic
2006,4294352.0,340.414533389437,16.59565353,6.69526465773352,5.29199981689453,2.37163640687012,Central African Republic
2007,4375569.0,388.477786288876,19.75128746,0.959917619457091,5.25799989700317,3.33860576373516,Central African Republic
2008,4467233.0,446.228811380306,19.52352142,9.25895099417076,5.20599985122681,5.87486333880728,Central African Republic
2009,4564540.0,452.922258619964,22.9681778,3.52126227238643,5.27199983596802,2.04509881473985,Central African Republic
2010,4660067.0,459.776946522556,18.69205093,1.49102370047805,5.51800012588501,2.87128944386695,Central African Republic
2011,4732022.0,515.209531914838,21.3735981,1.19447572449846,5.45699977874756,1.51389317430924,Central African Republic
2012,4773306.0,525.86754317732,22.29368019,5.47829594346122,5.44000005722046,2.79010447267091,Central African Republic
2013,4802428.0,352.226871986924,18.83095169,6.98879341970198,5.4520001411438,0.109532615721406,Central African Republic
2014,4798734.0,394.856956966036,20.86845589,14.8986841797549,5.5770001411438,0.183395774396434,Central African Republic
2015,4819333.0,351.879753579186,19.00076675,1.40297017136816,5.73699998855591,0.176904972311768,Central African Republic
2016,4904177.0,372.135465512503,21.89539337,4.94543276106514,5.74599981307983,0.397590036103567,Central African Republic
2017,4996741.0,414.740286565386,30.05440521,4.18072331871272,5.76200008392334,0.332412579192479,Central African Republic
2018,5094780.0,435.932263645028,53.6903801,1.61215686991555,5.69999980926514,0.810612600660747,Central African Republic
2019,5209324.0,426.408762581226,37.19958115,2.68537355266785,5.75500011444092,1.15252965125074,Central African Republic
2020,5343020.0,435.469251582856,,1.71015659523149,6.38000011444092,1.49339768945111,Central African Republic
2021,5457154.0,461.137490166508,,4.25936417542871,6.45800018310547,1.19905413056886,Central African Republic
