Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,100357161.0,,,,,,Central Europe and the Baltics
1973,101112680.0,,,,,,Central Europe and the Baltics
1974,101939916.0,,,,,,Central Europe and the Baltics
1975,102860571.0,,,,,,Central Europe and the Baltics
1976,103776068.0,,,,,,Central Europe and the Baltics
1977,104616884.0,,,,,,Central Europe and the Baltics
1978,105329397.0,,,,,,Central Europe and the Baltics
1979,105948616.0,,,,,,Central Europe and the Baltics
1980,106541316.0,,,,,0.0,Central Europe and the Baltics
1981,107129392.0,,,,,0.0,Central Europe and the Baltics
1982,107730380.0,,,,,0.0,Central Europe and the Baltics
1983,108297837.0,,,,,0.0,Central Europe and the Baltics
1984,108838073.0,,,,,0.0,Central Europe and the Baltics
1985,109338285.0,,,,,0.0,Central Europe and the Baltics
1986,109824166.0,,,,,0.0,Central Europe and the Baltics
1987,110296425.0,,,,,0.0,Central Europe and the Baltics
1988,110686740.0,,,,,0.0,Central Europe and the Baltics
1989,110801640.0,,,,,0.0,Central Europe and the Baltics
1990,110743128.0,2314.25710326257,,,,0.0740494263211748,Central Europe and the Baltics
1991,110469467.0,2196.83620114626,,118.527578905984,9.22374165203136,1.15423149730844,Central Europe and the Baltics
1992,110111454.0,2360.50604329969,,150.615831956876,10.107284624195,1.35022418491854,Central Europe and the Baltics
1993,110041924.0,2490.54773815324,,72.8787913866333,11.5385218809094,2.18930219933429,Central Europe and the Baltics
1994,110021594.0,2825.70868780425,,35.9247053929643,11.3817274136822,1.76256124237983,Central Europe and the Baltics
1995,109864246.0,3579.68662871808,,27.951388563304,10.8492380171591,3.19317527639685,Central Europe and the Baltics
1996,109626194.0,3795.1874507969,,19.7949669196707,10.1956633005466,2.70698709023428,Central Europe and the Baltics
1997,109422013.0,3747.19449164778,,8.88104848465888,9.16333417972714,3.48730179992419,Central Europe and the Baltics
1998,109238340.0,4107.89000783762,,8.20833333333299,8.95373113834429,4.38234478607364,Central Europe and the Baltics
1999,109060951.0,3987.89764286864,,4.01913875598084,10.3892080325781,5.08206554217451,Central Europe and the Baltics
2000,108447824.0,3949.13759521384,221.140526961712,8.91174418658764,12.4415127085225,5.50182370282384,Central Europe and the Baltics
2001,107660041.0,4354.54909264002,252.17594661055,5.74827981651377,13.2256369373655,4.61290467671199,Central Europe and the Baltics
2002,106959751.0,4940.21029437431,298.232475807809,3.12714222984604,13.7350786447595,5.01166745961679,Central Europe and the Baltics
2003,106624167.0,5947.6157174588,372.941280917241,2.34864169582755,12.9536505720131,3.21908018027629,Central Europe and the Baltics
2004,106331716.0,7178.01644527337,446.736799260729,3.59297594249513,12.9328236436708,5.63955100855659,Central Europe and the Baltics
2005,106041911.0,8363.4779759763,522.503619439011,3.31717824448043,12.0585084357035,8.42579598175847,Central Europe and the Baltics
2006,105772481.0,9482.09247384549,580.023553088371,3.93032603841,10.1027384706329,8.13884566479201,Central Europe and the Baltics
2007,105378748.0,12022.2698061533,729.292100782913,4.83732928313989,7.80838223103675,12.107814668591,Central Europe and the Baltics
2008,105001883.0,14601.0936134525,927.154194364806,6.35866380152374,6.6070535946464,9.03841688874087,Central Europe and the Baltics
2009,104800475.0,12319.5220003837,842.035038601641,2.75320223914816,8.48909731288562,2.37308241340501,Central Europe and the Baltics
2010,104421447.0,12624.8473626148,855.053471106668,1.80117022137136,9.90131234608515,1.60404129927111,Central Europe and the Baltics
2011,104174038.0,13970.0668891617,906.674413330631,4.13027562645087,9.78859250431239,3.41448380280555,Central Europe and the Baltics
2012,103935318.0,13075.728989393,850.648139047474,3.33492267693443,9.97857146761681,2.87597136937459,Central Europe and the Baltics
2013,103713726.0,13662.2410947698,914.354088641809,1.43829787234043,10.0496181235447,1.09908815639768,Central Europe and the Baltics
2014,103496179.0,14132.7679709667,930.56237416085,0.0538213132400467,8.95333523314819,3.66359423898046,Central Europe and the Baltics
2015,103257886.0,12520.3364891967,812.044394552195,-0.464499004645002,7.82080213651938,1.77832818390318,Central Europe and the Baltics
2016,102994278.0,12781.9321126976,844.810436995064,-0.0549995416704911,6.49093597211754,8.74112558892005,Central Europe and the Baltics
2017,102740078.0,14224.8577789182,933.833667676214,2.07593553673862,5.29781655946861,2.00097686008529,Central Europe and the Baltics
2018,102538451.0,16086.3182550395,1053.87766776303,2.53445424186602,4.3164691492709,-1.18963121523359,Central Europe and the Baltics
2019,102398537.0,16358.4741498916,1094.74991217149,2.66456133425443,3.78090052831445,9.11198790844638,Central Europe and the Baltics
2020,102180124.0,16293.8000324588,,1.67244096855762,4.37073250666752,12.7380369178403,Central Europe and the Baltics
2021,101430997.0,18751.026511843,,3.8398449150015,4.48467124490485,5.76983393528669,Central Europe and the Baltics
