Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,3824399.0,153.077005231345,,,,-0.017081533099941,Chad
1973,3912905.0,165.401276759173,,,,0.942522369340797,Chad
1974,4000559.0,163.110404336179,,,,2.1148362324942,Chad
1975,4084110.0,211.699024587485,,,,2.34790083465349,Chad
1976,4163051.0,208.031311900261,,,,3.09452755984958,Chad
1977,4238551.0,220.679299680115,,,,2.26154095663268,Chad
1978,4313479.0,258.241693684347,,,,3.06449722138756,Chad
1979,4402942.0,228.101232113205,,,,-0.128445565343626,Chad
1980,4408230.0,234.334960255803,,,,-0.0416262342885714,Chad
1981,4409225.0,198.887006157773,,,,-0.0125436524847184,Chad
1982,4622828.0,180.489055708919,,,,-0.0143821110627021,Chad
1983,4859173.0,171.308123000843,,,,-0.0108119042616588,Chad
1984,4920556.0,186.78859367086,,20.2508960573479,,0.999480828477861,Chad
1985,4967590.0,207.961951368521,,5.1539990064582,,5.1932694453864,Chad
1986,5118160.0,208.635182809768,,-13.0565725758829,,2.64092105934144,Chad
1987,5300852.0,219.479217804224,,-5.97484276729555,,0.701554074087324,Chad
1988,5483038.0,270.39704975311,,15.4775176514303,,0.0869586947811703,Chad
1989,5670619.0,252.827126955097,,-3.68913460441471,,1.30707284006028,Chad
1990,5827069.0,298.367079243856,,-0.738282265310936,,0.540663174364154,Chad
1991,6042428.0,310.659562951032,,3.19387473029497,0.662000000476837,0.225850598817098,Chad
1992,6302926.0,298.567312516047,,-3.11303067214948,0.66100001335144,0.104193925910574,Chad
1993,6448280.0,226.921141048571,,-8.42793348651803,0.699999988079071,1.03611075678305,Chad
1994,6592998.0,178.953179528027,,41.7248972364414,0.675000011920929,2.29478114844035,Chad
1995,6888856.0,209.892610600762,,9.23032599768658,0.708000004291534,2.25542013244478,Chad
1996,7200291.0,223.233401267502,,11.3308789057282,0.723999977111816,2.45536350004138,Chad
1997,7450874.0,207.316551430707,,5.57225711125332,0.736999988555908,2.86749799354507,Chad
1998,7709115.0,226.328762416438,,4.2588511022514,0.753000020980835,1.24350924645721,Chad
1999,7981889.0,192.269471956914,,-8.02505962727455,0.787000000476837,1.59805779373513,Chad
2000,8259137.0,168.117652803305,10.26314449,3.82260088086308,0.805999994277954,8.29469669351789,Chad
2001,8538804.0,200.361006137341,11.80953884,12.4312865279941,0.799000024795532,26.8795146537848,Chad
2002,8838369.0,225.94731975336,18.21106911,5.19181895195446,0.823000013828278,46.2752394767657,Chad
2003,9196366.0,298.249895072677,18.23923874,-1.75256941248654,0.827000021934509,25.9829191677582,Chad
2004,9613503.0,460.067046238429,28.27807426,-5.35540028884816,0.805000007152557,10.554119320636,Chad
2005,10005012.0,664.597609381492,31.99307251,7.89036567462992,0.856000006198883,-1.49402815217449,Chad
2006,10365614.0,716.667802737587,34.67246628,8.03628897951331,0.912000000476837,-3.74781498898612,Chad
2007,10722731.0,806.71034912949,34.87197113,-8.97473962009269,0.924000024795532,-3.71849555865972,Chad
2008,11098664.0,936.49422316524,37.86497879,10.2969758221254,0.943000018596649,4.48468743653247,Chad
2009,11496128.0,808.161563037331,35.82932663,9.95242290748864,0.958000004291534,4.03520551557904,Chad
2010,11894727.0,896.87663574063,36.32339096,-2.07786574641867,0.952000021934509,2.93397999419884,Chad
2011,12317730.0,988.194214568524,38.54948807,2.02924053678257,1.00499999523163,2.31591218885953,Chad
2012,12754906.0,969.616214938776,37.40947342,7.51662364663835,1.0,4.68808917166396,Chad
2013,13216766.0,980.083591998081,39.96808624,0.222671564624589,1.02699995040894,4.01589783349442,Chad
2014,13697126.0,1017.7878239279,43.7831459,1.68197313925659,1.04200005531311,-4.84582995894293,Chad
2015,14140274.0,774.411600504375,35.10715103,4.3771266506566,1.07200002670288,5.11070298935173,Chad
2016,14592585.0,691.980094943092,35.39419937,-0.792440525236028,1.11800003051758,2.42312826046698,Chad
2017,15085884.0,662.897530045018,30.59851456,-1.53709962980847,1.12699997425079,3.63367274590973,Chad
2018,15604210.0,720.265046964353,29.69879913,4.27462198610544,1.12999999523163,4.10075324676178,Chad
2019,16126866.0,701.621216594764,29.85083008,-0.971939175419353,1.12000000476837,5.00787790231049,Chad
2020,16644701.0,643.772221286329,,4.46414437232863,1.64499998092651,5.20459063075607,Chad
2021,17179740.0,685.690284124456,,-0.772844370359128,1.53799998760223,4.77221257877475,Chad
