Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,123348.0,,,,,,Channel Islands
1973,124465.0,,,,,,Channel Islands
1974,125486.0,,,,,,Channel Islands
1975,126393.0,,,,,,Channel Islands
1976,127052.0,,,,,,Channel Islands
1977,127425.0,,,,,,Channel Islands
1978,127667.0,,,,,,Channel Islands
1979,127850.0,,,,,,Channel Islands
1980,127984.0,,,,,,Channel Islands
1981,128510.0,,,,,,Channel Islands
1982,129614.0,,,,,,Channel Islands
1983,130881.0,,,,,,Channel Islands
1984,132154.0,,,,,,Channel Islands
1985,133450.0,,,,,,Channel Islands
1986,134808.0,,,,,,Channel Islands
1987,136264.0,,,,,,Channel Islands
1988,137765.0,,,,,,Channel Islands
1989,139228.0,,,,,,Channel Islands
1990,140601.0,,,,,,Channel Islands
1991,141557.0,,,,6.20699977874756,,Channel Islands
1992,142011.0,,,,6.65999984741211,,Channel Islands
1993,142291.0,,,,7.65299987792969,,Channel Islands
1994,142466.0,,,,7.84800004959106,,Channel Islands
1995,142559.0,,,,7.57399988174438,,Channel Islands
1996,142898.0,,,,7.50899982452393,,Channel Islands
1997,143549.0,,,,7.2810001373291,,Channel Islands
1998,144211.0,41227.4032584823,,,6.83099985122681,,Channel Islands
1999,144811.0,43250.7057089383,,,6.48400020599365,,Channel Islands
2000,145306.0,44316.1535931325,,,5.89599990844727,,Channel Islands
2001,146044.0,42681.0417435135,,,5.54500007629395,,Channel Islands
2002,147167.0,45278.0584726676,,,5.82999992370605,,Channel Islands
2003,148341.0,49430.5290888732,,,6.17799997329712,,Channel Islands
2004,149538.0,57202.5610285933,,,6.375,,Channel Islands
2005,150763.0,58550.834602655,,,6.30700016021729,,Channel Islands
2006,151985.0,63666.8772417889,,,5.99900007247925,,Channel Islands
2007,153225.0,75152.6097830544,,,5.67700004577637,,Channel Islands
2008,154475.0,,,,5.75,,Channel Islands
2009,155721.0,,,,7.17700004577637,,Channel Islands
2010,156933.0,,,,7.55100011825562,,Channel Islands
2011,157819.0,,,,7.78900003433228,,Channel Islands
2012,158621.0,,,,8.61800003051758,,Channel Islands
2013,159794.0,,,,9.21199989318848,,Channel Islands
2014,160912.0,,,,8.99600028991699,,Channel Islands
2015,162190.0,,,,8.5959997177124,,Channel Islands
2016,163721.0,,,,8.11800003051758,,Channel Islands
2017,165215.0,,,,7.50500011444092,,Channel Islands
2018,167259.0,,,,6.93200016021729,,Channel Islands
2019,169410.0,,,,6.77699995040894,,Channel Islands
2020,171113.0,,,,7.81099987030029,,Channel Islands
2021,172683.0,,,,7.55299997329712,,Channel Islands
