Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,10145765.0,1168.35125864755,,77.7957404755205,,-0.00927971109598742,Chile
1973,10307842.0,1633.34490121059,,352.810986573029,,-0.028509892134752,Chile
1974,10472743.0,1547.86613053865,,504.738541215978,,0.0142501073621975,Chile
1975,10639531.0,716.405389705821,,374.735274232635,,0.655977095492245,Chile
1976,10804869.0,957.15415420975,,211.924302225904,,-0.00966937950061686,Chile
1977,10969861.0,1272.84141718307,,91.9541325565105,,0.150398627032433,Chile
1978,11137748.0,1435.65231572389,,40.0872246313854,,1.13196216634566,Chile
1979,11304331.0,1928.79145039498,,33.3892190102252,,1.11907627484106,Chile
1980,11469828.0,2531.57326088891,,35.1383405330485,,0.733554183447278,Chile
1981,11637613.0,2965.37426047676,,19.6868327084319,,1.10982716170781,Chile
1982,11807408.0,2144.9155653516,,9.94102693041837,,1.58335975258092,Chile
1983,11976513.0,1699.6565892938,,27.2571946726204,,0.663196454791508,Chile
1984,12147758.0,1615.32090775033,,19.8602056602626,,0.397502309938042,Chile
1985,12326396.0,1436.17691606775,,30.7034989096151,,0.815121358989887,Chile
1986,12514502.0,1509.53260615105,,19.4768379232582,,1.67010314264277,Chile
1987,12712784.0,1750.63209480314,,19.8808457201905,,4.00127471316645,Chile
1988,12918389.0,2015.74900655722,,14.6843512500821,,3.7169410857411,Chile
1989,13128619.0,2276.37690932387,,17.0279367308961,,4.29469826059673,Chile
1990,13342868.0,2481.76687492952,,26.0364811362365,,1.9967453040095,Chile
1991,13561945.0,2789.77637280739,,21.7844124277757,5.23000001907349,2.17445350928622,Chile
1992,13782297.0,3335.02663299765,,15.4258064688927,4.34999990463257,2.03657934253643,Chile
1993,13998386.0,3521.67550817062,,12.7277669490964,4.48999977111816,2.09806637161891,Chile
1994,14210674.0,4011.66231072682,,11.4431196444973,5.86999988555908,4.52933050965902,Chile
1995,14416796.0,5094.54828377286,,8.23263034116112,4.69999980926514,4.02602890621338,Chile
1996,14615483.0,5376.10596485802,,7.35911781788773,7.40999984741211,6.1274625050357,Chile
1997,14809289.0,5788.85994826956,,6.13386464357923,7.1399998664856,6.14891827936775,Chile
1998,14996742.0,5467.54118035129,,5.11024954517563,7.30999994277954,5.64400365203535,Chile
1999,15176410.0,4981.15847141422,,3.33687917526016,11.1599998474121,11.5892431523295,Chile
2000,15351799.0,5097.11493718915,356.96377563,3.8432729570657,10.4899997711182,6.210891849746,Chile
2001,15523978.0,4606.87847152539,327.13198853,3.56910053001465,10.3900003433228,5.87239166708684,Chile
2002,15693790.0,4479.15337213406,323.06716919,2.48939816650703,10.1700000762939,3.62746574516239,Chile
2003,15859112.0,4824.20309753765,349.98782349,2.81017875743615,9.77000045776367,5.26287457830546,Chile
2004,16017966.0,6185.50633517632,427.51669312,1.05473871403516,10.1599998474121,6.86042133223244,Chile
2005,16175311.0,7561.8305480446,500.64517212,3.05257621387848,9.34000015258789,6.10081312075264,Chile
2006,16334575.0,9418.0627175215,571.20141602,3.39201733699404,9.02000045776367,4.93121934132969,Chile
2007,16495538.0,10461.3654213132,648.55981445,4.40779938398046,8.43000030517578,7.80847450812375,Chile
2008,16661462.0,10783.1715606341,724.70123291,8.7162687303961,9.28999996185303,10.2820620579305,Chile
2009,16833447.0,10182.860471021,735.97894287,0.353045178360941,11.3100004196167,8.08290794623581,Chile
2010,17004162.0,12767.7812065383,867.73077393,1.41071107954318,8.40999984741211,7.37875779906166,Chile
2011,17173573.0,14628.5724573037,991.20288086,3.34121694259299,7.32000017166138,10.1761207803096,Chile
2012,17341771.0,15406.4929435446,1077.82019043,3.00744840213049,6.6399998664856,11.9030099438683,Chile
2013,17509925.0,15833.2752047998,1179.47265625,1.78955553984587,6.19999980926514,7.61823614210723,Chile
2014,17687108.0,14666.3435315712,1145.40856934,4.71867527854671,6.65000009536743,9.84090976254485,Chile
2015,17870124.0,13569.9478008231,1127.02160645,4.3487735321705,6.48999977111816,7.32640456612764,Chile
2016,18083879.0,13785.6883317516,1171.62304688,3.78619355893115,6.73000001907349,4.55791837804446,Chile
2017,18368577.0,15045.5276791243,1360.17358398,2.18271846868523,6.94999980926514,1.89502461418772,Chile
2018,18701450.0,15795.7084630954,1455.11669922,2.43488981353058,7.21000003814697,2.68874767381908,Chile
2019,19039485.0,14631.9468779229,1375.80297852,2.55754475703323,7.26999998092651,4.87431268307831,Chile
2020,19300315.0,13094.4595313609,,3.04549084804331,11.1400003433228,3.64237026632862,Chile
2021,19493184.0,16265.0959767147,,4.52456838259136,9.35000038146973,4.81032286119887,Chile
