Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,862030000.0,131.883561243868,,,,,China
1973,881940000.0,157.090374298657,,,,,China
1974,900350000.0,160.140093727686,,,,,China
1975,916395000.0,178.341819608096,,,,,China
1976,930685000.0,165.40554037242,,,,,China
1977,943455000.0,185.422832913673,,,,,China
1978,956165000.0,156.396388520044,,,,,China
1979,969005000.0,183.983152215978,,,,4.4873083502658e-05,China
1980,981235000.0,194.804722186836,,,,0.0298196364663713,China
1981,993885000.0,197.071474499102,,,,0.135296316146172,China
1982,1008630000.0,203.334919503464,,,,0.209664356764914,China
1983,1023310000.0,225.431928890812,,,,0.275698542655107,China
1984,1036825000.0,250.713969046988,,,,0.483945714588724,China
1985,1051040000.0,294.45884850496,,,,0.536046583129515,China
1986,1066790000.0,281.928120911563,,,,0.623424605798281,China
1987,1084035000.0,251.811956961329,,7.23383553065604,,0.847702964733309,China
1988,1101630000.0,283.537695240524,,18.8118179448753,,1.02255894629729,China
1989,1118650000.0,310.8819124049,,18.2456383621648,,0.97565028966922,China
1990,1135185000.0,317.884673040928,,3.05229012075235,,0.966308310992784,China
1991,1150780000.0,333.142145400184,,3.55668565220449,2.36999988555908,1.13883773180262,China
1992,1164970000.0,366.460692302073,,6.3539813402487,2.36999988555908,2.61316219287254,China
1993,1178440000.0,377.389839479958,,14.6100786356603,2.69000005722046,6.1868820761248,China
1994,1191835000.0,473.492278718042,,24.2569897243361,2.90000009536743,5.98715629420307,China
1995,1204855000.0,609.656679202484,,16.7912251650917,3.0,4.88044415984949,China
1996,1217550000.0,709.413755085039,,8.31316028893904,3.11999988555908,4.65182665077089,China
1997,1230075000.0,781.744164341053,,2.78646505531886,3.23000001907349,4.72533415243528,China
1998,1241935000.0,828.580479295681,,-0.773186011549305,3.24000000953674,4.43557710153157,China
1999,1252735000.0,873.28706172579,,-1.40147268276465,3.25,3.74900388026637,China
2000,1262645000.0,959.372483639691,42.11240387,0.347811226864599,3.25999999046326,3.47508224574174,China
2001,1271850000.0,1053.10824300452,43.66367722,0.719125609120107,3.79999995231628,3.51300212008009,China
2002,1280400000.0,1148.5082904417,49.14166641,-0.731970902350276,4.23999977111816,3.60909988460748,China
2003,1288400000.0,1288.64325183381,55.6510849,1.12760348729636,4.57999992370605,3.48740330983945,China
2004,1296075000.0,1508.66809788266,63.26198578,3.82463743108159,4.48999977111816,3.4836411137418,China
2005,1303720000.0,1753.41782925823,71.86441803,1.77641407667574,4.51999998092651,4.55425403392961,China
2006,1311020000.0,2099.22943460447,81.22816467,1.64943099455862,4.42999982833862,4.50857901572192,China
2007,1317885000.0,2693.97006340526,97.07929993,4.81676767378831,4.34999990463257,4.40096483008155,China
2008,1324655000.0,3468.30460207434,131.88728333,5.92525137041095,4.59000015258789,3.73363488970446,China
2009,1331260000.0,3832.23643246702,162.61755371,-0.728165250932952,4.71999979019165,2.56888829067473,China
2010,1337705000.0,4550.4531077571,186.49150085,3.17532475269199,4.53000020980835,4.00356290026293,China
2011,1345035000.0,5614.35213522574,236.37492371,5.55389892257492,4.55000019073486,3.70882890211806,China
2012,1354190000.0,6300.61511825789,281.67715454,2.61952432645544,4.57999992370605,2.82709055579985,China
2013,1363240000.0,7020.33848453658,326.04159546,2.62105001748115,4.59999990463257,3.03987546926686,China
2014,1371860000.0,7636.11660125265,359.30932617,1.92164162788521,4.63000011444092,2.55923344660685,China
2015,1379860000.0,8016.43143498352,390.10409546,1.43702380935655,4.65000009536743,2.1921816030386,China
2016,1387790000.0,8094.36336674652,395.35995483,2.00000182191941,4.55999994277954,1.55564214957722,China
2017,1396215000.0,8816.98690451883,437.25674438,1.59313600071434,4.46999979019165,1.34913267883962,China
2018,1402760000.0,9905.34200388822,501.05938721,2.07479039965578,4.30999994277954,1.69390529382619,China
2019,1407745000.0,10143.8381955585,535.13336182,2.89923416358227,4.55999994277954,1.31071877840365,China
2020,1411100000.0,10408.6697561349,,2.4194218945778,5.0,1.7231837927804,China
2021,1412360000.0,12556.3331200058,,0.981015135544851,4.55000019073486,1.88326293759591,China
