Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,21898055.0,395.98762231097,,12.4444589907729,,0.21285095645311,Colombia
1973,22396318.0,460.600711257064,,22.5296486781842,,0.231127905255799,Colombia
1974,22897871.0,540.226188873276,,23.8709573656697,,0.330555070407482,Colombia
1975,23403731.0,559.681441470476,,23.4375025650554,,0.282997832275591,Colombia
1976,23913002.0,641.550720418532,,19.8312249167931,,0.162957709433182,Colombia
1977,24443926.0,796.556192288003,,33.802818357982,,0.33383047334675,Colombia
1978,25003608.0,930.406202098949,,17.7631590853462,,0.459947750764992,Colombia
1979,25579323.0,1092.30456373975,,24.1340757440456,,0.454538764166394,Colombia
1980,26176195.0,1275.99659324238,,26.5526531495356,,0.470461793639438,Colombia
1981,26785982.0,1358.48545216789,,27.4537624347993,,0.728254722048364,Colombia
1982,27405194.0,1421.92168833937,,24.7209882528586,,0.939231233116753,Colombia
1983,28042329.0,1381.12004825276,,19.5973170624765,,1.59566957867312,Colombia
1984,28689032.0,1333.37091115403,,16.1616171361426,,1.52667282755931,Colombia
1985,29326260.0,1189.86912589546,,24.0901743681251,,2.9317015543862,Colombia
1986,29960101.0,1166.30079731611,,18.8424631612405,,1.9288837346618,Colombia
1987,30603048.0,1188.5517771004,,23.3020283640181,,0.877016761917627,Colombia
1988,31256727.0,1254.53154613477,,28.1083969771704,,0.51769140170422,Colombia
1989,31923117.0,1238.60336697052,,25.8675480831987,,1.45674970076126,Colombia
1990,32601393.0,1467.54743608627,,29.1520245976216,,1.04506114042541,Colombia
1991,33272628.0,1477.95857637291,,30.3878204854436,10.1199998855591,0.929119963410911,Colombia
1992,33939039.0,1721.29167957045,,27.010626623136,9.4399995803833,1.24736846158865,Colombia
1993,34614735.0,1919.61038565151,,22.4424828533276,7.80000019073486,1.44341026306631,Colombia
1994,35295461.0,2314.84441713444,,22.8462417553045,8.25,1.77042262125538,Colombia
1995,35970101.0,2571.78258640527,,20.8917930194849,8.72000026702881,1.04680224097574,Colombia
1996,36632573.0,2652.28733121773,,20.7975755127402,11.8100004196167,3.20262771722448,Colombia
1997,37291946.0,2860.12181480835,,18.4700217119089,12.1400003433228,5.21492781259777,Colombia
1998,37944414.0,2594.41982530463,,18.6769799276672,15.0,2.87354611202614,Colombia
1999,38585033.0,2233.66813460464,,10.873687085747,20.0599994659424,1.74959315214541,Colombia
2000,39215135.0,2547.14352840369,132.87971497,9.22534818585368,20.5200004577637,2.43922655930173,Colombia
2001,39837875.0,2465.2858516059,136.61053467,7.96556090304835,15.039999961853,2.58822658457427,Colombia
2002,40454050.0,2421.58705506087,130.42552185,6.3515072877887,15.6300001144409,2.17806523001415,Colombia
2003,41057687.0,2305.08305772858,128.00614929,7.12978862941867,14.1899995803833,1.81790827569731,Colombia
2004,41648268.0,2811.19787141394,157.57557678,5.90402005546497,13.7200002670288,2.66108247569192,Colombia
2005,42220940.0,3448.98036486383,207.15899658,5.05101962689697,11.8699998855591,7.02889303328147,Colombia
2006,42772910.0,3778.52665981682,237.01751709,4.29342363628925,10.9630002975464,4.1768868899288,Colombia
2007,43306582.0,4760.98121037755,305.99179077,5.54438485815156,10.25,4.30967398589485,Colombia
2008,43815313.0,5527.44995277183,374.42697144,6.99688495554508,10.5200004577637,4.36198391608415,Colombia
2009,44313917.0,5244.353266184,379.69586182,4.20251661216488,11.3199996948242,3.45732401713813,Colombia
2010,44816108.0,6394.19870546282,448.08776855,2.27200227892008,10.9799995422363,2.24383028325553,Colombia
2011,45308899.0,7392.45236079278,497.38070679,3.41503344776241,10.1099996566772,4.37298593219031,Colombia
2012,45782417.0,8101.82909177914,543.07000732,3.16930188840063,9.73999977111816,4.0547626710472,Colombia
2013,46237930.0,8264.1268955859,576.70123291,2.01699224310378,9.05000019073486,4.24227561438917,Colombia
2014,46677947.0,8164.71449537797,583.05889893,2.89883787761738,8.56999969482422,4.24250535994703,Colombia
2015,47119728.0,6228.4262990412,464.63497925,4.98983115849532,8.30000019073486,3.95954178540919,Colombia
2016,47625955.0,5938.46385585875,442.13824463,7.51346024627683,8.6899995803833,4.8998274957233,Colombia
2017,48351671.0,6450.31958548124,489.64459229,4.31431325695007,8.86999988555908,4.39294490475056,Colombia
2018,49276961.0,6782.03792033195,513.15869141,3.24056932930567,9.10999965667725,3.3808357321772,Colombia
2019,50187406.0,6438.06018290435,495.32971191,3.52301932741443,9.96000003814697,4.32953914559878,Colombia
2020,50930662.0,5307.21522798919,,2.52663500084712,15.039999961853,2.75938786527529,Colombia
2021,51516562.0,6104.1367093039,,3.49505757399453,13.8999996185303,2.98326306329715,Colombia
