Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,256187.0,,,,,,Comoros
1973,263728.0,,,,,,Comoros
1974,271719.0,,,,,,Comoros
1975,280036.0,,,,,,Comoros
1976,288810.0,,,,,,Comoros
1977,298152.0,,,,,,Comoros
1978,307938.0,,,,,,Comoros
1979,318123.0,,,,,,Comoros
1980,328328.0,646.360427468408,,,,0.0,Comoros
1981,337986.0,580.941126762667,,,,0.0,Comoros
1982,347053.0,530.204307825278,,,,0.0815177537789832,Comoros
1983,356137.0,538.056866810707,,,,0.0,Comoros
1984,365664.0,505.10088495836,,,,0.0,Comoros
1985,375650.0,523.695133933109,,,,0.0,Comoros
1986,386068.0,723.182695314399,,,,0.0,Comoros
1987,396887.0,850.433172709029,,,,2.23584838199617,Comoros
1988,408070.0,873.624688635952,,,,1.0566762910113,Comoros
1989,419584.0,813.846009486223,,,,0.956551285940834,Comoros
1990,431119.0,996.527983557779,,,,0.0914764534036794,Comoros
1991,442277.0,958.921211283824,,,5.22100019454956,0.59092462932166,Comoros
1992,452990.0,1009.71010160079,,,5.02099990844727,-0.316356418077152,Comoros
1993,463318.0,977.47431156174,,,5.04300022125244,0.0421092061750097,Comoros
1994,473478.0,674.137341868309,,,5.09600019454956,0.0556767709552048,Comoros
1995,483760.0,823.676594920386,,,4.95300006866455,0.223239728628274,Comoros
1996,494288.0,801.2612032526,,,4.96400022506714,0.128770384995064,Comoros
1997,505033.0,721.62727921218,,,4.86100006103516,0.00548778763280785,Comoros
1998,515959.0,717.318190095199,,,4.84700012207031,0.103812284689167,Comoros
1999,526443.0,726.488888531733,,,4.7960000038147,0.0708580113018663,Comoros
2000,536758.0,654.180409871714,47.0023613,,4.65799999237061,0.0266665803324007,Comoros
2001,547741.0,691.041940269345,44.58984756,5.55459394816816,4.7039999961853,0.302742049021277,Comoros
2002,559047.0,761.947917471455,50.12067795,3.53304214308075,4.65999984741211,0.101046749157467,Comoros
2003,570130.0,959.228921456815,62.38849258,3.79908136671901,4.61600017547607,0.145047581527809,Comoros
2004,581154.0,1090.42723486418,68.60703278,4.47499289078105,4.57000017166138,0.106131269111198,Comoros
2005,592683.0,1103.19533860778,65.68196106,3.01332395058121,4.91800022125244,0.0854737277199316,Comoros
2006,604658.0,1155.08573067909,63.42575836,3.37436360121208,5.27699995040894,0.111452568877989,Comoros
2007,616899.0,1289.79480998582,67.18291473,4.46616710098129,5.65700006484985,0.966722013573401,Comoros
2008,629470.0,1454.65104425169,70.62155151,1.70078176284532,5.97200012207031,0.507893569282933,Comoros
2009,642493.0,1409.10654368237,66.25401306,4.3623482932572,6.33900022506714,1.52866122083075,Comoros
2010,656024.0,1384.06327138579,65.7171936,3.35475770328918,6.68599987030029,0.919669867317477,Comoros
2011,670071.0,1526.83250550796,76.77274323,1.84266300756184,7.03700017929077,2.25967674144233,Comoros
2012,684553.0,1483.95137964493,72.61225128,6.31474450315182,7.40700006484985,1.02133830669436,Comoros
2013,699393.0,1595.98989563495,76.68770599,-4.29487331536753,7.73999977111816,0.379103460062536,Comoros
2014,714612.0,1608.68786375537,79.20176697,,8.14000034332275,0.407499042659425,Comoros
2015,730216.0,1322.93669549676,57.17092514,,8.14000034332275,0.511029869751772,Comoros
2016,746232.0,1357.26626338776,59.23079681,,8.08199977874756,0.352458386935682,Comoros
2017,761664.0,1414.586566491,69.73937988,,8.05599975585938,0.36377656783338,Comoros
2018,776313.0,1531.33797185868,69.41635895,,8.04300022125244,0.477150042035574,Comoros
2019,790986.0,1510.79735809965,72.32379913,,8.0629997253418,0.359894022954973,Comoros
2020,806166.0,1519.58682298786,,,9.0319995880127,0.316385466140921,Comoros
2021,821625.0,1577.47102705052,,,8.97900009155273,0.31053193242339,Comoros
