Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,21273409.0,290.207968754385,,15.8042153907951,,0.169590007096342,"Congo, Dem. Rep."
1973,21853906.0,360.12964735356,,15.6427621238194,,0.225151979017081,"Congo, Dem. Rep."
1974,22448415.0,427.511705376113,,29.4692810459945,,0.54162983827183,"Congo, Dem. Rep."
1975,23052715.0,444.084055767518,,28.6579701952269,,0.0890856127932847,"Congo, Dem. Rep."
1976,23655016.0,407.887410644411,,80.385959075414,,2.47114000511919,"Congo, Dem. Rep."
1977,24256464.0,508.91278974432,,68.9477081989998,,0.147353970301452,"Congo, Dem. Rep."
1978,25015244.0,614.529604524039,,48.7690376115202,,0.635415929325712,"Congo, Dem. Rep."
1979,25902760.0,581.730372993699,,101.051260411497,,0.954645401114597,"Congo, Dem. Rep."
1980,26708686.0,538.960527480262,,46.6259068303308,,0.761518250363583,"Congo, Dem. Rep."
1981,27457783.0,456.621754138716,,35.4082648744294,,0.555359656895248,"Congo, Dem. Rep."
1982,28219219.0,483.771977217642,,36.6996975740914,,-0.0173605167454156,"Congo, Dem. Rep."
1983,29005175.0,379.474099033988,,76.5266976662659,,-1.75156748452182,"Congo, Dem. Rep."
1984,29879852.0,262.977513851254,,52.2270113573208,,-0.41296918234428,"Congo, Dem. Rep."
1985,30800051.0,233.604892927194,,23.8207845213349,,0.961634330644133,"Congo, Dem. Rep."
1986,31725132.0,255.172056280733,,44.4,,0.0685577291884824,"Congo, Dem. Rep."
1987,32712574.0,234.21041317559,,78.6703601108033,,-0.718907496811814,"Congo, Dem. Rep."
1988,33750052.0,262.556631816199,,71.0917312661503,,-0.04446300103079,"Congo, Dem. Rep."
1989,34825891.0,259.056194001788,,104.06522942826,,-0.067724373028688,"Congo, Dem. Rep."
1990,35987541.0,259.805597176304,,81.295404814004,,-0.154656300440917,"Congo, Dem. Rep."
1991,37194812.0,259.012234502366,,2154.43682711341,3.03999996185303,0.1286082,"Congo, Dem. Rep."
1992,38332302.0,214.628406414051,,4129.16985661558,3.04299998283386,-0.00887300564971751,"Congo, Dem. Rep."
1993,39580844.0,270.490603255768,,1986.90476190476,3.04999995231628,0.0641681478454681,"Congo, Dem. Rep."
1994,41511985.0,140.209682385332,,23773.1317741016,2.99300003051758,-0.0257715033171564,"Congo, Dem. Rep."
1995,43285791.0,130.37625611201,,541.908883239027,2.96199989318848,-0.396035086426882,"Congo, Dem. Rep."
1996,44118709.0,130.816496457864,,492.441850235414,2.96399998664856,0.429527738834167,"Congo, Dem. Rep."
1997,44822198.0,135.888930484575,,198.516707416463,2.98000001907349,-0.728142522351781,"Congo, Dem. Rep."
1998,45895524.0,135.477400218295,,29.1488069236652,2.95300006866455,0.986360738908475,"Congo, Dem. Rep."
1999,47227238.0,99.7572508320882,,284.894975914087,2.95700001716614,0.236879334969256,"Congo, Dem. Rep."
2000,48616317.0,392.626333784131,19.86825752,513.906843747536,2.96099996566772,0.493452281029903,"Congo, Dem. Rep."
2001,50106657.0,148.447123509623,6.03850174,359.936614264586,2.92799997329712,1.3742847690632,"Congo, Dem. Rep."
2002,51662071.0,168.944805273879,4.6487875,31.5225826025495,2.89499998092651,2.14937976109568,"Congo, Dem. Rep."
2003,53205639.0,167.981575409282,6.6394062,12.8739657187405,2.87299990653992,4.37764238163222,"Congo, Dem. Rep."
2004,54815607.0,187.856781029954,8.57719994,3.9943840081597,2.85700011253357,3.97216286042947,"Congo, Dem. Rep."
2005,56550247.0,211.572633235541,9.28722,21.3168167229341,2.84999990463257,1.50445259445879,"Congo, Dem. Rep."
2006,58381630.0,247.541948861851,11.22324371,13.0526949745101,3.08699989318848,1.77208502872394,"Congo, Dem. Rep."
2007,60289422.0,277.612079551534,12.41400909,16.945100654195,3.31599998474121,10.8023674620944,"Congo, Dem. Rep."
2008,62249724.0,317.889214639638,16.34123802,17.3013845700157,3.55100011825562,8.72627341537047,"Congo, Dem. Rep."
2009,64270232.0,290.155686888202,13.57572556,2.79999999999981,3.80699992179871,-1.30413519681083,"Congo, Dem. Rep."
2010,66391257.0,324.827711041281,12.89442444,7.10000000000038,4.01700019836426,12.7160140924858,"Congo, Dem. Rep."
2011,68654269.0,376.374981122052,12.62923431,15.316515913949,4.25400018692017,6.17662459328181,"Congo, Dem. Rep."
2012,70997870.0,412.776268166757,14.01603508,9.72182806273363,4.48999977111816,9.86686869724735,"Congo, Dem. Rep."
2013,73460021.0,444.864360951453,16.33388329,0.80822310148707,4.46799993515015,5.19461157161643,"Congo, Dem. Rep."
2014,76035588.0,472.266227045325,19.36799622,1.24303889760763,4.44899988174438,4.17602960533765,"Congo, Dem. Rep."
2015,78656904.0,482.0645483336,19.73957443,0.744198994781499,4.45699977874756,3.07434221923392,"Congo, Dem. Rep."
2016,81430977.0,456.027931170745,20.57792664,2.88585107290009,4.47900009155273,2.51078414323113,"Congo, Dem. Rep."
2017,84283273.0,451.089098377617,19.41378212,,4.45900011062622,2.75644325397429,"Congo, Dem. Rep."
2018,87087355.0,546.212593877879,18.52062225,,4.43400001525879,2.95904257569684,"Congo, Dem. Rep."
2019,89906890.0,575.882790805511,20.57073212,,4.43599987030029,2.60931443738477,"Congo, Dem. Rep."
2020,92853164.0,524.666675441091,,,5.1269998550415,3.07507853818687,"Congo, Dem. Rep."
2021,95894118.0,577.209215199828,,,5.11199998855591,3.03097458342575,"Congo, Dem. Rep."
