Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1485274.0,276.493941789817,,,,16.1443784305033,"Congo, Rep."
1973,1532069.0,353.752580648129,,,,12.6020953478862,"Congo, Rep."
1974,1580280.0,370.418302677214,,,,7.87543305756114,"Congo, Rep."
1975,1624935.0,472.082070371198,,,,2.00755393263672,"Congo, Rep."
1976,1665418.0,453.069199773379,,,,0.31541994035527,"Congo, Rep."
1977,1706181.0,448.501085545175,,,,0.259574127376486,"Congo, Rep."
1978,1747207.0,502.958018878731,,,,0.460917801311145,"Congo, Rep."
1979,1788218.0,670.359914703164,,,,1.37490196078432,"Congo, Rep."
1980,1829256.0,932.508544209532,,,,2.34683684794673,"Congo, Rep."
1981,1870540.0,1065.74161788727,,,,1.54716632822596,"Congo, Rep."
1982,1911634.0,1130.25849432454,,,,1.63605633802817,"Congo, Rep."
1983,1951851.0,1074.50532321121,,,,2.67392392392392,"Congo, Rep."
1984,2001739.0,1095.83785219113,,,,1.59321857068336,"Congo, Rep."
1985,2062555.0,1047.66783984857,,,,0.587247630819943,"Congo, Rep."
1986,2124863.0,870.299974483929,,4.1581108829568,,1.21343665215779,"Congo, Rep."
1987,2188654.0,1049.84782851917,,0.443568260226872,,1.8909318858285,"Congo, Rep."
1988,2253336.0,981.893651605851,,1.03042198233549,,0.411077389984825,"Congo, Rep."
1989,2319177.0,1030.36250443526,,-1.79698882952888,,-0.298176845787303,"Congo, Rep."
1990,2385435.0,1173.26443629039,,2.88905374216947,,0.805773649785322,"Congo, Rep."
1991,2452675.0,1110.97210500778,,-1.67834968956537,20.3309993743896,1.20202900846028,"Congo, Rep."
1992,2520958.0,1163.53493624146,,-3.9354681007088,20.298999786377,0.0933796296676146,"Congo, Rep."
1993,2594168.0,1034.75319193038,,4.92366412213743,20.3269996643066,10.6564767391986,"Congo, Rep."
1994,2669220.0,662.877334534156,,42.4396750333452,20.3680000305176,0.168987137099488,"Congo, Rep."
1995,2742309.0,771.613945829492,,9.41800743452231,20.1909999847412,5.32995644764248,"Congo, Rep."
1996,2816595.0,902.045745911016,,10.0311203319503,20.1560001373291,2.45710548588136,"Congo, Rep."
1997,2875037.0,807.891898881494,,,20.2049999237061,-2.11824149885668,"Congo, Rep."
1998,2937166.0,663.728703331461,,,20.1079998016357,-8.70306929832189,"Congo, Rep."
1999,3016659.0,780.589705055115,,4.14267137284048,20.173999786377,-2.90043469261023,"Congo, Rep."
2000,3134030.0,1029.96068877345,17.48368263,-0.88199151702543,19.9810009002686,-3.04039258451472,"Congo, Rep."
2001,3254101.0,859.440004261762,20.6484375,0.0559899218140692,20.0020008087158,-4.84426113914476,"Congo, Rep."
2002,3331158.0,910.869746218371,17.19757652,4.37875971780872,19.9580001831055,6.59456481059389,"Congo, Rep."
2003,3424653.0,1023.08854206136,21.75997162,-0.631844987363151,19.9810009002686,6.28014540018894,"Congo, Rep."
2004,3543012.0,1314.41136036864,27.93210793,2.42976607961798,19.9029998779297,1.9016205367018,"Congo, Rep."
2005,3672839.0,1810.58881530775,31.53102112,3.09449011456182,19.7999992370605,12.0498464301915,"Congo, Rep."
2006,3813323.0,2116.86904449343,36.82757568,6.53784395299605,19.8470001220703,18.4459792418271,"Congo, Rep."
2007,3956329.0,2219.91239024697,43.09650421,2.65464645060697,20.1219997406006,16.2165544167303,"Congo, Rep."
2008,4089602.0,2848.6534250508,65.03125,4.95875092023158,19.9750003814697,16.7210002794555,"Congo, Rep."
2009,4257230.0,2283.94998409232,50.24730682,4.41500374795218,19.943000793457,12.2288856519081,"Congo, Rep."
2010,4437884.0,2962.7622537687,56.96957016,0.39152501122766,20.0189990997314,11.5772961108612,"Congo, Rep."
2011,4584216.0,3415.06256258418,62.42331314,1.75958704273802,20.1900005340576,1.90783468935601,"Congo, Rep."
2012,4713257.0,3753.86120747571,74.9154129,5.01018773134464,20.1219997406006,-0.391399368387969,"Congo, Rep."
2013,4828066.0,3719.65121681283,75.50088501,4.63161619729463,20.3400001525879,10.4621004999873,"Congo, Rep."
2014,4944861.0,3622.53029274349,74.61357117,0.912139545450186,20.2740001678467,16.1397706810554,"Congo, Rep."
2015,5064386.0,2347.81849884859,60.15248871,3.16909796750826,20.4850006103516,35.994498943385,"Congo, Rep."
2016,5186824.0,1970.25024887995,56.93314743,3.19056179723775,20.6480007171631,0.495224682113579,"Congo, Rep."
2017,5312340.0,2088.50011733964,54.75907516,0.450063823285551,20.5919990539551,39.8109446899049,"Congo, Rep."
2018,5441062.0,2512.38397871635,49.46409988,1.15277896375521,20.6439990997314,31.5672219442431,"Congo, Rep."
2019,5570733.0,2288.80813763495,48.55877304,2.20607305781519,20.6119995117188,-11.1971866354654,"Congo, Rep."
2020,5702174.0,1838.44813852491,,1.79537147083111,22.5170001983643,-18.9177741810193,"Congo, Rep."
2021,5835806.0,2290.38289133244,,1.71564275451263,22.2350006103516,27.6129332719839,"Congo, Rep."
