Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1955547.0,633.199660020383,,4.60112569280861,,2.08729857530612,Costa Rica
1973,2006247.0,762.077742786402,,15.2140342204182,,2.46579899958869,Costa Rica
1974,2058235.0,809.696052247853,,30.0736292803636,,2.77880385666899,Costa Rica
1975,2111850.0,928.505085861968,,17.3692020226552,,3.5199804173856,Costa Rica
1976,2167544.0,1113.036425514,,3.48583333291703,,2.56789996759465,Costa Rica
1977,2225630.0,1380.47519706127,,4.19024045261669,,2.03422244821107,Costa Rica
1978,2286210.0,1541.06963481116,,6.00712709994908,,1.37942434364929,Costa Rica
1979,2349258.0,1717.78464656523,,9.18841043700978,,1.07792818014027,Costa Rica
1980,2414303.0,2001.17673762028,,18.135170796071,,1.08870075543199,Costa Rica
1981,2481334.0,1057.41793498771,,37.0563415239513,,2.65263405537186,Costa Rica
1982,2550780.0,1021.89183505273,,90.1213328504165,,1.10871496748478,Costa Rica
1983,2622532.0,1199.89769574223,,32.6237081487832,,1.92896201494038,Costa Rica
1984,2696200.0,1357.64277830717,,11.9474270118864,,1.52712360339094,Costa Rica
1985,2771463.0,1414.1281916432,,15.0574196445756,,1.78352544818659,Costa Rica
1986,2847849.0,1551.69177543042,,11.8350618936099,,1.3804078444541,Costa Rica
1987,2924595.0,1549.94180293555,,16.8424201630394,,1.77147252308516,Costa Rica
1988,3001461.0,1537.46122251913,,20.8325332309202,,2.64809968925736,Costa Rica
1989,3079001.0,1705.43165379819,,16.5098087687391,,1.92914688454646,Costa Rica
1990,3158253.0,1808.49595860746,,19.0397526635649,,2.84504346292679,Costa Rica
1991,3239414.0,2221.47465327402,,28.7092913706618,5.36999988555908,2.47905997084932,Costa Rica
1992,3321939.0,2578.02567032961,,21.7911687900609,3.9300000667572,2.63894019629371,Costa Rica
1993,3405372.0,2814.04388804426,,9.7786007829378,3.95000004768372,2.57438633939314,Costa Rica
1994,3489152.0,3005.53968551656,,13.5344687273427,4.05000019073486,2.83785741330171,Costa Rica
1995,3572856.0,3240.71114533234,,23.1864981102567,5.17999982833862,2.90967964192101,Costa Rica
1996,3656234.0,3194.11298818557,,17.5114524814591,6.15999984741211,3.65588697118439,Costa Rica
1997,3739421.0,3373.41058474058,,13.2480440791191,5.67999982833862,3.24576223328059,Costa Rica
1998,3821421.0,3580.93388469275,,11.6592997742233,5.32999992370605,4.49056201812519,Costa Rica
1999,3901430.0,3653.75420836815,,10.0452817292494,5.90000009536743,4.34566834779079,Costa Rica
2000,3979193.0,3773.03379319679,248.75341797,10.9615496593622,5.07999992370605,4.8184645000041,Costa Rica
2001,4053222.0,3941.59864349203,256.39358521,11.2556157091172,5.92000007629395,3.89233617537997,Costa Rica
2002,4122623.0,4021.42536130228,277.69869995,9.16752048509115,6.32999992370605,4.36202694033196,Costa Rica
2003,4188610.0,4123.5064871039,289.06826782,9.4475809161698,6.55999994277954,4.48353970316272,Costa Rica
2004,4252800.0,4376.08042847261,292.03182983,12.3148150178852,6.3899998664856,5.82312653331866,Costa Rica
2005,4315887.0,4643.45856992587,311.70877075,13.7982949108987,6.57000017166138,7.62843539507747,Costa Rica
2006,4378172.0,5188.36179215965,362.50491333,11.4705968149052,5.73999977111816,7.92850433097117,Costa Rica
2007,4440019.0,6055.08677891562,427.04202271,9.35724456417162,4.48999977111816,8.33742609153088,Costa Rica
2008,4501921.0,6841.91145979684,515.43334961,13.4244635507283,4.78000020980835,7.90900719319397,Costa Rica
2009,4563127.0,6737.86024507553,534.57446289,7.84270167700652,7.71000003814697,5.25151106635415,Costa Rica
2010,4622252.0,8147.24398481032,660.58642578,5.66275708420023,7.17000007629395,5.06371199103377,Costa Rica
2011,4679926.0,9137.45582337247,749.6449585,4.87799830970698,9.52000045776367,6.39172489083763,Costa Rica
2012,4736593.0,9971.65090241867,784.48297119,4.49545314354611,9.10999965667725,5.70866167990256,Costa Rica
2013,4791535.0,10633.2672527524,825.39324951,5.23133614174423,8.22000026702881,6.29127693667614,Costa Rica
2014,4844288.0,10737.6788809612,831.3001709,4.51920098516958,8.5,6.23293661050914,Costa Rica
2015,4895242.0,11529.9545258398,883.91546631,0.801982005099592,8.42000007629395,5.2363948705835,Costa Rica
2016,4945205.0,11899.8132624909,878.88891602,-0.0174788505908107,8.09000015258789,4.45296238746116,Costa Rica
2017,4993842.0,12118.1334111458,861.32006836,1.62590692991729,7.73000001907349,4.83327530595031,Costa Rica
2018,5040734.0,12383.1499737386,909.6730957,2.22111461526584,9.01000022888184,4.82943871297369,Costa Rica
2019,5084532.0,12669.341068679,921.58575439,2.09604635327805,10.8100004196167,4.22094019534647,Costa Rica
2020,5123105.0,12132.8768848243,,0.724911478131358,16.4300003051758,3.38331924037636,Costa Rica
2021,5153957.0,12472.4437294954,,1.72647755109235,15.1400003433228,5.5890882994079,Costa Rica
