Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,5979984.0,309.265141809005,,0.310313698883884,,1.01113841437432,Cote d'Ivoire
1973,6257373.0,400.874493953885,,11.1029866698229,,2.03315134202066,Cote d'Ivoire
1974,6548923.0,468.802565103275,,17.3593884470648,,1.06183671201102,Cote d'Ivoire
1975,6853981.0,568.113508086477,,11.4442239670114,,1.77357093155266,Cote d'Ivoire
1976,7142690.0,652.702792334022,,12.0766402169566,,0.960520895014724,Cote d'Ivoire
1977,7415900.0,844.815579749638,,27.4218615091476,,0.233836254169346,Cote d'Ivoire
1978,7700816.0,1025.93347222741,,13.2429868545928,,1.0544868989973,Cote d'Ivoire
1979,7996368.0,1143.38607952356,,16.3423565736252,,0.817571086151963,Cote d'Ivoire
1980,8303810.0,1225.41525418003,,14.7009812997865,,0.930263141736197,Cote d'Ivoire
1981,8621621.0,978.074596859758,,8.79921083308779,,0.388374222965015,Cote d'Ivoire
1982,8948119.0,845.664856112362,,7.58312589642148,,0.627320091343911,Cote d'Ivoire
1983,9282050.0,736.710685520593,,5.64042843342129,,0.548829809415033,Cote d'Ivoire
1984,9621405.0,711.085201646267,,4.28476110361871,,0.317760127464499,Cote d'Ivoire
1985,9964075.0,700.280765583938,,1.86380327150623,,0.417905737751848,Cote d'Ivoire
1986,10309440.0,888.341384727237,,9.68295473116517,,0.772523098861866,Cote d'Ivoire
1987,10663498.0,945.998507181104,,6.9433062653657,,0.867496119836606,Cote d'Ivoire
1988,11043193.0,928.641785033187,,6.93068617206519,,0.50413594002874,Cote d'Ivoire
1989,11462943.0,851.213393810054,,1.04951823790382,,0.189496994964182,Cote d'Ivoire
1990,11910540.0,906.411473111605,,-0.805879698277997,,0.448639330114434,Cote d'Ivoire
1991,12369269.0,848.282054136964,,1.68334849863475,6.60799980163574,0.176551425283395,Cote d'Ivoire
1992,12838314.0,868.725544185476,,4.23138382869969,6.69999980926514,0.619151988676573,Cote d'Ivoire
1993,13316448.0,829.4824167031,,2.16471453976754,5.85900020599365,1.58570837879009,Cote d'Ivoire
1994,13802285.0,602.331965341401,,26.0815719947161,5.00500011444092,1.41381794139686,Cote d'Ivoire
1995,14299727.0,769.25572351815,,14.2950690851945,4.09999990463257,1.92507285120643,Cote d'Ivoire
1996,14810946.0,1220.1215162349,,2.48080669187551,4.08400011062622,1.48963663981361,Cote d'Ivoire
1997,15335453.0,1176.85191117264,,4.02083333333304,4.05499982833862,2.30201834218351,Cote d'Ivoire
1998,15858990.0,1237.13136361583,,4.61144759515372,4.09999990463257,3.87417193821318,Cote d'Ivoire
1999,16345894.0,1154.47906708134,,0.702375805956019,4.35799980163574,1.24714567477681,Cote d'Ivoire
2000,16799670.0,986.777320949729,55.2961998,2.53077516737993,4.60200023651123,1.415781989315,Cote d'Ivoire
2001,17245468.0,974.779976032989,55.29138565,4.36152914007253,4.85400009155273,1.62207727348144,Cote d'Ivoire
2002,17683897.0,1020.95053048032,58.75072098,3.0772648515743,5.09200000762939,1.17744486425735,Cote d'Ivoire
2003,18116451.0,1173.06393476039,66.02466583,3.29680746974211,5.34899997711182,0.778244285915314,Cote d'Ivoire
2004,18544903.0,1267.76490058915,69.84380341,1.4579883560074,5.47300004959106,1.20362775298883,Cote d'Ivoire
2005,18970215.0,1267.08722155178,64.44137573,3.8858303988648,5.73000001907349,1.45218118572509,Cote d'Ivoire
2006,19394057.0,1303.56502886369,62.54813385,2.46719148596913,5.93200016021729,1.38823173416334,Cote d'Ivoire
2007,19817700.0,1451.23258675186,66.86506653,1.89200629349599,6.18499994277954,1.54311658979125,Cote d'Ivoire
2008,20244449.0,1683.3376609069,78.34770203,6.3085276915258,6.35599994659424,1.37441868124996,Cote d'Ivoire
2009,20677762.0,1638.80476557543,75.07719421,1.01950457731134,6.60200023651123,1.17339072839643,Cote d'Ivoire
2010,21120042.0,1654.17783245738,74.04659271,1.2264561213548,6.77600002288818,1.02606247081629,Cote d'Ivoire
2011,21562914.0,1701.70473363773,74.29046631,4.91243395052462,7.21500015258789,0.822954231858426,Cote d'Ivoire
2012,22010712.0,1649.30173900093,76.08685303,1.30451119915595,7.21999979019165,0.909737041198978,Cote d'Ivoire
2013,22469268.0,1903.05432119282,72.76117706,2.5811703725294,4.25,0.953203596017872,Cote d'Ivoire
2014,22995555.0,2124.01955857681,80.52973175,0.44868207676614,3.47499990463257,0.899528865893508,Cote d'Ivoire
2015,23596741.0,1941.56633627815,63.51419067,1.25149954781474,2.69700002670288,1.07915019667769,Cote d'Ivoire
2016,24213622.0,1980.87814206612,67.48299408,0.723178457513252,1.89999997615814,1.20479671875659,Cote d'Ivoire
2017,24848016.0,2076.14799980549,69.77150726,0.685881065304644,3.26999998092651,1.88999767201244,Cote d'Ivoire
2018,25493988.0,2275.4959502948,72.17318726,0.359409031380664,2.83500003814697,1.06932420831873,Cote d'Ivoire
2019,26147551.0,2238.81100489009,75.08779144,-1.10686343994202,2.40000009536743,1.45010160325616,Cote d'Ivoire
2020,26811790.0,2288.11949762033,,2.42500656821829,2.66000008583069,1.16207400513187,Cote d'Ivoire
2021,27478249.0,2549.04129724734,,4.09195189692858,2.81699991226196,1.98796644473195,Cote d'Ivoire
