Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4450564.0,,,,,,Croatia
1973,4470161.0,,,,,,Croatia
1974,4490660.0,,,,,,Croatia
1975,4512082.0,,,,,,Croatia
1976,4535934.0,,,,,,Croatia
1977,4559571.0,,,,,,Croatia
1978,4581085.0,,,,,,Croatia
1979,4594778.0,,,,,,Croatia
1980,4599782.0,,,,,,Croatia
1981,4611509.0,,,,,,Croatia
1982,4634234.0,,,,,,Croatia
1983,4658254.0,,,,,,Croatia
1984,4680285.0,,,,,,Croatia
1985,4701417.0,,,,,,Croatia
1986,4721446.0,,,50.0,,,Croatia
1987,4739745.0,,,133.333263744315,,,Croatia
1988,4755207.0,,,185.714285714285,,,Croatia
1989,4767260.0,,,1400.0,,,Croatia
1990,4777368.0,,,500.0,,,Croatia
1991,4689022.0,,,122.222222222222,11.1400003433228,,Croatia
1992,4575818.0,,,625.000000000001,11.0150003433228,,Croatia
1993,4600463.0,,,1500.0,10.6840000152588,,Croatia
1994,4652024.0,,,107.327586206896,10.6409997940063,,Croatia
1995,4620030.0,4901.20643436657,,3.95010395010403,10.1800003051758,0.477188094641443,Croatia
1996,4557097.0,5267.57146130332,,4.29999999999994,9.68000030517578,2.0517874880153,Croatia
1997,4534920.0,5298.80375771981,,4.17066155321187,9.71000003814697,2.48241142514553,Croatia
1998,4532135.0,5677.70488566224,,6.39668660837554,11.3900003433228,3.90203770009669,Croatia
1999,4512597.0,5236.21928005723,,4.01913875598084,13.5600004196167,6.15660870592569,Croatia
2000,4468302.0,4880.56898237938,371.06213379,4.611315547378,16.0599994659424,4.65460699217507,Croatia
2001,4299642.0,5409.65219372513,388.32489014,3.7767024666589,15.8199996948242,4.45734054814855,Croatia
2002,4302174.0,6295.7152079073,386.4440918,1.67178437393382,15.0500001907349,3.6210995290182,Croatia
2003,4303399.0,8138.42810922399,512.15209961,1.76733780760626,13.9200000762939,5.27207579467345,Croatia
2004,4304600.0,9760.13086042749,634.62030029,2.05539679050332,13.6599998474121,3.12799740648049,Croatia
2005,4310145.0,10634.2357827089,727.13104248,3.31717824448043,12.6000003814697,3.95925571214565,Croatia
2006,4311159.0,11810.0530029407,816.01702881,3.1898259147295,11.1300001144409,6.57293689939696,Croatia
2007,4310217.0,14069.3480117633,1041.03442383,2.89928275583392,9.90999984741211,7.66104677573784,Croatia
2008,4309705.0,16461.289132195,1258.87243652,6.07696838798351,8.52999973297119,7.3997405112935,Croatia
2009,4305181.0,14708.8809120687,1187.54528809,2.37852845904674,9.19999980926514,4.84741981927531,Croatia
2010,4295427.0,14124.8108429702,1126.37365723,1.03055505333573,11.6199998855591,2.54655857399716,Croatia
2011,4280622.0,14812.8694716528,1132.49890137,2.27272727272727,13.6800003051758,1.96974139857323,Croatia
2012,4267558.0,13443.1352298628,1029.97119141,3.41207349081366,15.9300003051758,2.55380234767254,Croatia
2013,4255689.0,13871.3299049143,889.94451904,2.2165820642978,17.25,1.63642403409173,Croatia
2014,4238389.0,13784.4783575033,909.37164307,-0.215196159576215,17.2900009155273,5.44266180054505,Croatia
2015,4203604.0,11952.3111753908,795.52081299,-0.464499004645002,16.1800003051758,0.0700153908331595,Croatia
2016,4174349.0,12552.2553786198,840.9050293,-1.12500000000001,13.1000003814697,0.808781098991372,Croatia
2017,4124531.0,13655.8159387619,902.62524414,1.12937210282344,11.210000038147,0.801341172525464,Croatia
2018,4087843.0,15244.4310483476,1014.22235107,1.50012501041753,8.43000030517578,2.10981133230654,Croatia
2019,4065253.0,15331.8830536722,1040.08569336,0.771820346498083,6.61999988555908,6.32260756024268,Croatia
2020,4047680.0,14198.7539594744,,0.154811374562028,7.51000022888184,2.17386781552893,Croatia
2021,3899000.0,17685.3252834553,,2.55450699642046,7.6100001335144,6.75828982009838,Croatia
