Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,9169289.0,887.217197747857,,,,,Cuba
1973,9297924.0,1074.18706048586,,,,,Cuba
1974,9413105.0,1211.71040980348,,,,,Cuba
1975,9514305.0,1369.24507296144,,,,,Cuba
1976,9600862.0,1436.28560670467,,,,,Cuba
1977,9672546.0,1468.70934236951,,,,,Cuba
1978,9729986.0,1833.99085308811,,,,,Cuba
1979,9774711.0,2003.58284635436,,,,,Cuba
1980,9809107.0,2030.0410487021,,,,,Cuba
1981,9848560.0,2046.01018792448,,,,,Cuba
1982,9908874.0,2114.62071626848,,,,,Cuba
1983,9984591.0,2223.92089092318,,,,,Cuba
1984,10065539.0,2388.28577470352,,,,,Cuba
1985,10149044.0,2258.38914227803,,,,,Cuba
1986,10235480.0,2366.92120291665,,,,,Cuba
1987,10326910.0,2441.57594208547,,,,,Cuba
1988,10425433.0,2633.84738766203,,,,,Cuba
1989,10527187.0,2567.01706409298,,,,,Cuba
1990,10626680.0,2695.61486458131,,,,,Cuba
1991,10713812.0,2269.64557765794,,,7.90399980545044,,Cuba
1992,10783748.0,2048.06883870462,,,8.05599975585938,,Cuba
1993,10840934.0,2063.22212319205,,,8.25500011444092,,Cuba
1994,10887207.0,2613.00503947034,,,8.14599990844727,,Cuba
1995,10926703.0,2784.90260522494,,,8.27000045776367,,Cuba
1996,10963031.0,2281.97555037471,,,7.6100001335144,,Cuba
1997,10998129.0,2306.38394039568,,,7.09999990463257,,Cuba
1998,11033758.0,2332.50821705533,,,6.23000001907349,,Cuba
1999,11070094.0,2562.27410535087,,,6.26000022888184,,Cuba
2000,11105791.0,2752.20378269319,180.81121826,,5.44999980926514,,Cuba
2001,11139127.0,2844.24443674985,198.13365173,,4.07999992370605,,Cuba
2002,11170051.0,3007.19307369322,213.39079285,,3.30999994277954,,Cuba
2003,11199217.0,3205.68839767994,227.09095764,,2.32999992370605,,Cuba
2004,11225294.0,3403.29616311163,231.98782349,,1.85000002384186,,Cuba
2005,11246114.0,3791.87300608904,331.53213501,,1.95000004768372,,Cuba
2006,11260630.0,4336.87332999361,387.42016602,,1.9099999666214,,Cuba
2007,11269887.0,4814.85487568512,571.26550293,,1.78999996185303,,Cuba
2008,11276609.0,4992.82449445836,612.24359131,,1.58000004291534,,Cuba
2009,11283185.0,5094.43756186586,679.62634277,,1.66999995708466,,Cuba
2010,11290417.0,5275.53260105122,612.46508789,,2.5,,Cuba
2011,11298710.0,6106.0067919258,699.83428955,,3.1800000667572,,Cuba
2012,11309290.0,6467.33791422804,604.21234131,,3.46000003814697,,Cuba
2013,11321579.0,6814.24384354868,713.24133301,,3.28999996185303,,Cuba
2014,11332026.0,7117.52691001591,866.07562256,,2.70000004768372,,Cuba
2015,11339894.0,7683.75789050585,986.73400879,,2.40000009536743,,Cuba
2016,11342012.0,8055.88990736388,984.84844971,,2.0,,Cuba
2017,11336405.0,8543.36096849045,1000.28955078,,1.70000004768372,,Cuba
2018,11328244.0,8831.90722233737,986.93731689,,1.70000004768372,,Cuba
2019,11316697.0,9139.41585605765,1031.92175293,,1.20000004768372,,Cuba
2020,11300698.0,9499.59020230432,,,1.39999997615814,,Cuba
2021,11256372.0,,,,1.47300004959106,,Cuba
