Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,147710.0,,,,,,Curacao
1973,146912.0,,,,,,Curacao
1974,148351.0,,,,,,Curacao
1975,149129.0,,,,,,Curacao
1976,149399.0,,,,,,Curacao
1977,149459.0,,,,,,Curacao
1978,148341.0,,,,,,Curacao
1979,147851.0,,,,,,Curacao
1980,148041.0,,,,,,Curacao
1981,148629.0,,,,,,Curacao
1982,150101.0,,,,,,Curacao
1983,151159.0,,,,,,Curacao
1984,151940.0,,,,,,Curacao
1985,152711.0,,,,,,Curacao
1986,152662.0,,,,,,Curacao
1987,151456.0,,,,,,Curacao
1988,149254.0,,,,,,Curacao
1989,146937.0,,,,,,Curacao
1990,145400.0,,,,,,Curacao
1991,144403.0,,,,,,Curacao
1992,143912.0,,,,,,Curacao
1993,144299.0,,,,,,Curacao
1994,144630.0,,,,,,Curacao
1995,145139.0,,,,,,Curacao
1996,146306.0,,,,,,Curacao
1997,146956.0,,,,,,Curacao
1998,144472.0,,,,,,Curacao
1999,139428.0,,,,,,Curacao
2000,133860.0,,,,,,Curacao
2001,129047.0,,,1.79282868525896,,,Curacao
2002,129205.0,,,0.391389432485314,,,Curacao
2003,131897.0,,,1.63371391441571,,,Curacao
2004,134192.0,,,1.37912138094802,,,Curacao
2005,137658.0,,,4.1171171171171,,,Curacao
2006,141239.0,,,3.11499524097951,,,Curacao
2007,144056.0,,,2.99572039942938,,,Curacao
2008,145880.0,,,6.87632393677692,,,Curacao
2009,146833.0,,,1.75331605427657,,,Curacao
2010,148703.0,,,2.77944261312558,,,Curacao
2011,150831.0,19446.4565747102,,2.33253152562139,,2.40365312458336,Curacao
2012,152088.0,19886.6783682132,,3.18398746349455,,2.3045678715898,Curacao
2013,153822.0,19762.739621629,,1.33232086152148,,-0.0496186713222455,Curacao
2014,155909.0,19552.660553207,,1.49873969616456,,2.27316876500449,Curacao
2015,157980.0,19260.269845345,,-0.476542049801981,,4.81263196548242,Curacao
2016,159664.0,18881.8306152417,,-0.0472079848934612,,4.41442443110223,Curacao
2017,160175.0,18788.8072839326,,1.58558801700291,,5.7378875069612,Curacao
2018,159336.0,18956.0979741907,,2.58368756641871,,4.20227341997479,Curacao
2019,157441.0,19024.1771511889,,2.62220783425056,,6.78523768647711,Curacao
2020,154947.0,16109.8617501685,,,,6.23927697190658,Curacao
2021,152369.0,17717.5964802588,,,,5.39708580103873,Curacao
