Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,647620.0,,,4.83230361865649,,,Cyprus
1973,650705.0,,,7.80888234052259,,,Cyprus
1974,648585.0,,,16.1766666665001,,,Cyprus
1975,644982.0,976.334228515625,,4.6394858404654,,3.69452024159745,Cyprus
1976,648868.0,1157.41162109375,,3.85438972162731,,5.62409496202147,Cyprus
1977,656414.0,1476.271484375,,7.3264604810133,,5.63476758730659,Cyprus
1978,663975.0,1929.40356445313,,7.43628329894656,,5.91541731563166,Cyprus
1979,671611.0,2559.259765625,,9.46370829519019,,5.47312783713363,Cyprus
1980,679327.0,4232.02294921875,,13.5175605772583,,3.94434150229073,Cyprus
1981,687170.0,4033.24047851563,,10.7446936083977,,3.7511288285811,Cyprus
1982,696227.0,4122.78466796875,,6.43279726693689,,3.31231187461173,Cyprus
1983,707477.0,4091.04858398438,,5.0497142410088,,3.16417923968881,Cyprus
1984,719678.0,4258.74365234375,,5.99195111048443,,2.31258810295948,Cyprus
1985,731664.0,4488.287109375,,5.03445366364797,,2.38454368815385,Cyprus
1986,743446.0,5642.63134765625,,1.21836925967666,,1.49864870165437,Cyprus
1987,755021.0,6690.578125,,2.79166666666695,,1.4026242408987,Cyprus
1988,766412.0,7645.6298828125,,3.42926631536283,,1.45246337954371,Cyprus
1989,777592.0,8038.9140625,,3.76548048283393,,1.52843405515569,Cyprus
1990,788500.0,9641.5751953125,,4.5020546289584,,2.26457722241848,Cyprus
1991,799061.0,9696.099609375,,5.03527438848105,3.0,1.41799293512939,Cyprus
1992,810431.0,11310.072265625,,6.51021953065819,2.08999991416931,1.55438041121155,Cyprus
1993,825986.0,10526.1416015625,,4.85416666666693,2.70000004768372,1.26599855442852,Cyprus
1994,844444.0,11617.6923828125,,4.69858931054978,2.70000004768372,1.01234939241526,Cyprus
1995,862418.0,15261.41015625,,2.61581787956337,2.59999990463257,2.4477353979412,Cyprus
1996,880058.0,15139.2265625,,2.97892486481268,3.09999990463257,2.33471192487906,Cyprus
1997,897471.0,14234.244140625,,3.60534444364628,3.40000009536743,5.72402170347715,Cyprus
1998,914660.0,15092.826171875,,2.22770732654317,3.29999995231628,3.37019249936109,Cyprus
1999,931600.0,15287.9189453125,,1.62999999999998,5.69999980926514,7.74491695257071,Cyprus
2000,948237.0,14388.34765625,750.51672363,4.14165764702056,4.96999979019165,8.56086119538577,Cyprus
2001,964830.0,14821.447265625,782.16162109,1.97304191729919,3.98000001907349,9.08590329543211,Cyprus
2002,982194.0,16093.21484375,890.48297119,2.80115505180746,3.29999995231628,9.66223911887501,Cyprus
2003,1000350.0,20252.23828125,1145.05847168,4.13906538686856,4.1399998664856,6.24271140036787,Cyprus
2004,1018684.0,23792.62109375,1286.97155762,2.28621706801675,4.32999992370605,6.45961962556633,Cyprus
2005,1037062.0,24959.259765625,1366.01708984,2.56016132330235,5.30000019073486,6.30362711595489,Cyprus
2006,1055438.0,26729.32421875,1474.02062988,2.30468732978557,4.53999996185303,9.32555099496552,Cyprus
2007,1073873.0,31244.92578125,1694.27185059,2.37265183669722,3.92000007629395,9.57344136774277,Cyprus
2008,1092390.0,35397.36328125,2155.24658203,4.66900841902484,3.65000009536743,44.1638687211392,Cyprus
2009,1110974.0,32109.2421875,2105.4777832,0.326276652249795,5.3600001335144,249.108048567269,Cyprus
2010,1129686.0,31105.3984375,2045.2923584,2.43004084102253,6.26000022888184,120.277543041832,Cyprus
2011,1145086.0,32486.4296875,2114.66894531,3.28944939564212,7.8600001335144,146.319853481874,Cyprus
2012,1156556.0,28993.349609375,1899.37255859,2.38905410042319,11.8000001907349,279.347349652787,Cyprus
2013,1166968.0,27799.119140625,1916.32263184,-0.399357676464408,15.8699998855591,108.368428019679,Cyprus
2014,1176995.0,27245.365234375,1873.89135742,-1.35498885446312,16.0900001525879,222.755688373799,Cyprus
2015,1187280.0,23487.125,1581.41357422,-2.09699769053118,14.9099998474121,145.463135340621,Cyprus
2016,1197881.0,24715.73046875,1634.93554688,-1.42916666666668,12.9499998092651,40.4248733254905,Cyprus
2017,1208523.0,26697.171875,1750.50732422,0.5317664961745,11.0500001907349,62.782676157563,Cyprus
2018,1218831.0,29418.935546875,1981.77844238,1.43549119531762,8.36999988555908,-4.33754906104042,Cyprus
2019,1228836.0,29417.138671875,1996.45825195,0.250370996758456,7.07000017166138,203.645234538527,Cyprus
2020,1237537.0,28036.189453125,,-0.638422797978907,7.59000015258789,-104.059011995915,Cyprus
2021,1244188.0,31551.81640625,,2.44608867175472,7.46000003814697,-117.420254823376,Cyprus
