Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,9867632.0,,,,,,Czechia
1973,9922266.0,,,,,,Czechia
1974,9988459.0,,,,,,Czechia
1975,10058620.0,,,,,,Czechia
1976,10125939.0,,,,,,Czechia
1977,10186755.0,,,,,,Czechia
1978,10242098.0,,,,,,Czechia
1979,10292341.0,,,,,,Czechia
1980,10304193.0,,,,,,Czechia
1981,10300591.0,,,,,,Czechia
1982,10314826.0,,,,,,Czechia
1983,10323856.0,,,,,,Czechia
1984,10330213.0,,,,,,Czechia
1985,10337118.0,,,,,,Czechia
1986,10342227.0,,,,,,Czechia
1987,10347318.0,,,,,,Czechia
1988,10355276.0,,,,,,Czechia
1989,10361068.0,,,,,,Czechia
1990,10333355.0,3941.50309406941,,,,,Czechia
1991,10308578.0,2896.60913065504,,,2.26999998092651,,Czechia
1992,10319123.0,3372.86542951101,,11.086500072223,2.59999990463257,,Czechia
1993,10329855.0,3956.1783495613,,20.8130295438428,4.32000017166138,1.60100435051451,Czechia
1994,10333587.0,4630.55121674353,,10.039429835143,4.30000019073486,1.83537721670943,Czechia
1995,10327253.0,5824.12129119574,,8.99052361478446,4.01999998092651,4.26880344926224,Czechia
1996,10315241.0,6532.83705470198,,8.75877472878111,3.89000010490417,2.12988014189172,Czechia
1997,10304131.0,6034.48843731935,,8.59615666715562,4.26000022888184,2.06897648067951,Czechia
1998,10294373.0,6489.7036188033,,10.6983655274889,5.8899998664856,5.53855971351502,Czechia
1999,10283860.0,6337.41912037126,,2.1354484441733,8.47999954223633,9.68588830944053,Czechia
2000,10255063.0,6029.03819275358,342.92105103,3.77538829151733,8.76000022888184,8.06603108565235,Czechia
2001,10216605.0,6637.04165713981,388.54403687,4.66267556988255,7.98999977111816,8.31864159453878,Czechia
2002,10196916.0,8060.86870292424,497.74203491,1.90298097019031,7.01999998092651,10.3370102281862,Czechia
2003,10193998.0,9818.56849307488,640.66040039,0.118739205526785,7.53999996185303,2.01944879947117,Czechia
2004,10197101.0,11749.8526643577,746.32891846,2.76010781671159,8.21000003814697,5.36117804621235,Czechia
2005,10211216.0,13430.6698955613,852.65246582,1.85709789109223,7.92999982833862,10.0115335790166,Czechia
2006,10238905.0,15261.7975911138,942.11804199,2.53399258343632,7.15000009536743,4.56406980590854,Czechia
2007,10298828.0,18466.5479299216,1110.17663574,2.85312437211172,5.32000017166138,7.26437054022737,Czechia
2008,10384603.0,22804.5776774507,1449.33679199,6.35866380152374,4.3899998664856,3.72245749433628,Czechia
2009,10443936.0,19861.6974295256,1442.24279785,1.0193773532923,6.65999984741211,2.54134141893611,Czechia
2010,10474410.0,19960.0684872157,1373.9317627,1.47272727272729,7.28000020980835,4.86336501936901,Czechia
2011,10496088.0,21871.2660754128,1516.55541992,1.91721913635547,6.71000003814697,1.82465874546556,Czechia
2012,10510785.0,19870.8012123403,1387.40600586,3.28762306610408,6.98000001907349,4.51656746777655,Czechia
2013,10514272.0,20133.1691431353,1554.5090332,1.43829787234043,6.94999980926514,3.47571024002001,Czechia
2014,10525347.0,19890.9199056648,1512.92614746,0.343988589646784,6.1100001335144,3.86353982265705,Czechia
2015,10546059.0,17829.6983223668,1284.04675293,0.309364548494974,5.05000019073486,0.904050969999615,Czechia
2016,10566332.0,18575.2320271915,1321.62023926,0.683504209385683,3.95000004768372,5.52835275386419,Czechia
2017,10594438.0,20636.199952435,1475.9152832,2.45053398460138,2.89000010490417,5.13872541173649,Czechia
2018,10629928.0,23424.4804601855,1765.58862305,2.14949494949492,2.24000000953674,3.34323305768324,Czechia
2019,10671870.0,23664.8478631108,1844.21777344,2.84787595918047,2.00999999046326,4.25745331930823,Czechia
2020,10697858.0,22992.8793833348,,3.16129528497808,2.54999995231628,3.46193600434273,Czechia
2021,10505772.0,26821.2452279995,,3.8398449150015,2.80999994277954,2.70135430294434,Czechia
