Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4991596.0,4654.29893603922,,6.56236090256546,,0.705911320059666,Denmark
1973,5021861.0,6119.37022218668,,9.30338297973668,,0.689865528361524,Denmark
1974,5045297.0,6770.75002682893,,15.2752062218394,,0.702566964272313,Denmark
1975,5059862.0,7999.11266676484,,9.60561207538674,,0.659532876279001,Denmark
1976,5072596.0,8787.58972193297,,9.01029083562227,,-0.426902642217586,Denmark
1977,5088419.0,9783.85202151322,,10.9222378100329,,0.152256172833127,Denmark
1978,5104248.0,11826.0186130503,,10.2136545710405,,0.148211613767029,Denmark
1979,5116801.0,13751.998948016,,9.61105037907119,,0.318182752291881,Denmark
1980,5123027.0,13883.8871432732,,12.3053240760182,,0.146384533433304,Denmark
1981,5121572.0,12081.8010496077,,11.7673874344182,,0.160726831679794,Denmark
1982,5117810.0,11804.4328880134,,10.1208256779823,,0.221559004542146,Denmark
1983,5114297.0,11857.8921357231,,6.90822881158847,,0.0991524708906598,Denmark
1984,5111619.0,11562.9190778487,,6.29077936023767,,-0.0259822021572238,Denmark
1985,5113691.0,12253.1002141785,,4.6787514518325,,0.177315601987942,Denmark
1986,5120534.0,17201.0888129674,,3.67818411863458,,0.185364032083893,Denmark
1987,5127024.0,21340.7278625524,,4.01999345683155,,0.0773762855780932,Denmark
1988,5129516.0,22527.0467265631,,4.53513301015726,,0.435591270706585,Denmark
1989,5132594.0,21901.054745944,,4.77272342435524,,0.96928458251897,Denmark
1990,5140939.0,26891.4464489571,,2.64160306382,,0.81892844642037,Denmark
1991,5154298.0,27011.3774590051,,2.39515331724414,9.10000038146973,1.11511497286159,Denmark
1992,5171370.0,29569.6603567112,,2.09604442933213,9.02999973297119,0.665324523329376,Denmark
1993,5188628.0,27597.9752286357,,1.25785667953261,10.7200002670288,1.19610229283985,Denmark
1994,5206180.0,29995.5796235479,,1.99201463809523,8.03999996185303,3.20575169671378,Denmark
1995,5233373.0,35351.3654606819,,2.0836084238285,6.98999977111816,2.23744289173865,Denmark
1996,5263074.0,35650.7140860994,,2.12629802275579,6.84000015258789,0.412212569270951,Denmark
1997,5284991.0,32835.9399398833,,2.18216677907117,5.40000009536743,1.60868342201278,Denmark
1998,5304219.0,33368.142415092,,1.84565122007891,5.03999996185303,3.77116701349912,Denmark
1999,5321799.0,33440.7948054204,,2.49779544404528,5.1399998664856,9.46697462674685,Denmark
2000,5339616.0,30743.5476816354,2496.04711914,2.90328203236457,4.48000001907349,21.9380936434814,Denmark
2001,5358783.0,30751.654348268,2602.64282227,2.33787000255261,4.15999984741211,5.63524699016127,Denmark
2002,5375931.0,33228.6935448819,2895.80737305,2.42443661219694,4.26999998092651,2.48030851638993,Denmark
2003,5390574.0,40458.7773986609,3607.04296875,2.07507820646504,5.40000009536743,0.543258463167203,Denmark
2004,5404523.0,46511.5983324305,4194.87353516,1.15435693124937,5.19999980926514,-3.50243080506856,Denmark
2005,5419432.0,48799.8256011275,4442.75537109,1.81781458291257,4.82999992370605,4.857700582033,Denmark
2006,5437272.0,52026.9995142723,4778.89160156,1.92422138464588,3.90000009536743,0.84318706518409,Denmark
2007,5461438.0,58487.0549677696,5468.37939453,1.69326586220319,3.79999995231628,3.69711411627472,Denmark
2008,5493621.0,64322.0635020842,6137.77636719,3.41626794258375,3.6800000667572,0.620106753447922,Denmark
2009,5523095.0,58163.2768762815,6221.68896484,1.30470991024336,6.40999984741211,1.17390242059711,Denmark
2010,5547683.0,58041.3984363385,6011.53808594,2.31092436974789,7.75,-3.65466908301772,Denmark
2011,5570572.0,61753.647131977,6281.00439453,2.75868226051246,7.76999998092651,3.94150318758658,Denmark
2012,5591572.0,58507.5080517852,6003.83056641,2.39791485664639,7.80000019073486,-4.99767032555428,Denmark
2013,5614932.0,61191.1937042028,6236.55419922,0.789071780078061,7.38000011444092,0.198012180552081,Denmark
2014,5643475.0,62548.9847332908,6380.78466797,0.564020540449518,6.92999982833862,1.86330528301876,Denmark
2015,5683483.0,53254.8563700916,5469.33496094,0.452034153691623,6.28000020980835,0.611475183333102,Denmark
2016,5728010.0,54663.9983719195,5565.59326172,0.249999999999997,5.98999977111816,2.49237426030716,Denmark
2017,5764980.0,57610.0981801135,5800.15283203,1.14713216957606,5.82999992370605,1.08613294747868,Denmark
2018,5793636.0,61591.9288698958,6216.76855469,0.813609467455633,5.13000011444092,2.45600096718496,Denmark
2019,5814422.0,59592.9806886454,6003.32519531,0.758131572511619,5.01999998092651,-1.09718546490012,Denmark
2020,5831404.0,60915.4243995462,,0.420711974110026,5.6399998664856,0.445557857959051,Denmark
2021,5856733.0,68007.7566732954,,1.85304543989687,5.05999994277954,3.69266234866195,Denmark
