Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,165234.0,,,,,,Djibouti
1973,177327.0,,,,,,Djibouti
1974,191389.0,,,,,,Djibouti
1975,208582.0,,,,,,Djibouti
1976,229304.0,,,,,,Djibouti
1977,253083.0,,,,,,Djibouti
1978,278425.0,,,,,,Djibouti
1979,302856.0,,,,,,Djibouti
1980,324121.0,,,12.0580235721856,,,Djibouti
1981,341316.0,,,5.71736785374117,,,Djibouti
1982,355110.0,,,-2.41071428572346,,,Djibouti
1983,367726.0,,,0.901842896356882,,,Djibouti
1984,382156.0,,,1.88471502578426,,,Djibouti
1985,400709.0,850.965483600305,,2.12890298848073,,0.0674507517490648,Djibouti
1986,424286.0,,,18.147633450986,,,Djibouti
1987,452272.0,825.546879502634,,4.08911644641213,,0.112488428269259,Djibouti
1988,482337.0,820.576772320546,,,,0.151593804723951,Djibouti
1989,521104.0,785.294465409627,,,,-0.0317677465249493,Djibouti
1990,577173.0,783.695854246259,,,,0.0132647080044086,Djibouti
1991,628521.0,735.730386933419,,,29.886999130249,0.495241664547389,Djibouti
1992,623197.0,767.106235863007,,,29.6809997558594,0.479043325761231,Djibouti
1993,611231.0,762.475184062753,,,29.7450008392334,0.305457425513061,Djibouti
1994,623477.0,788.624473308358,,,29.4939994812012,0.289528343451568,Djibouti
1995,629619.0,790.51610670884,,,29.4260005950928,0.646649181513972,Djibouti
1996,644649.0,766.315696967451,,,29.3090000152588,0.660629876416653,Djibouti
1997,667786.0,752.749446680863,,,29.1189994812012,0.616772633652726,Djibouti
1998,694920.0,740.038953117996,,,28.9549999237061,0.617093489663684,Djibouti
1999,719371.0,745.206782171228,,,28.7569999694824,0.599332232633272,Djibouti
2000,742033.0,742.865697154312,31.95798492,,28.67799949646,0.596129445834392,Djibouti
2001,765490.0,747.779122941073,31.04225731,1.74665224985432,28.5200004577637,0.592742006829803,Djibouti
2002,789129.0,749.081632535869,40.19449615,0.637619553666345,28.3509998321533,0.580649337298248,Djibouti
2003,806411.0,771.374231644966,46.11334229,1.98196734627542,28.2189998626709,2.28673980374562,Djibouti
2004,818373.0,813.897943575246,40.28805161,3.12226204699354,28.0939998626709,5.78669482576557,Djibouti
2005,830861.0,852.890188282475,40.95962524,3.104966401483,27.9479999542236,3.13326292887826,Djibouti
2006,846947.0,907.817943782596,47.32995605,3.48340699677866,27.7679996490479,14.0839401368509,Djibouti
2007,865196.0,980.031032399576,50.44793701,4.965976545533,27.6189994812012,23.0388936446949,Djibouti
2008,882886.0,1131.63572564038,53.96245575,11.9586206896552,27.4549999237061,22.785843817934,Djibouti
2009,901103.0,1164.25168346453,55.32074356,1.67549587285962,27.4020004272461,9.2325515288363,Djibouti
2010,919199.0,1227.82085311429,56.2014122,3.95007875923886,27.1940002441406,3.23415329697175,Djibouti
2011,936811.0,1322.72625083956,68.77837372,5.06871394777984,26.9710006713867,6.37538483893526,Djibouti
2012,954297.0,1418.46085811933,72.22033691,3.73120950756887,26.8729991912842,8.12615091720048,Djibouti
2013,971753.0,2102.19794830208,67.53491211,2.70603242872186,26.7140007019043,14.0004926959276,Djibouti
2014,989087.0,2239.11453821208,73.12316895,1.34186494340156,26.5100002288818,6.90837061258158,Djibouti
2015,1006259.0,2409.31190224284,82.28987885,-0.847389733971994,26.3369998931885,5.93271216592948,Djibouti
2016,1023261.0,2545.73879850905,76.8683548,2.73841208738761,26.19700050354,6.1420623506391,Djibouti
2017,1040233.0,2655.73321960188,72.23477173,0.568112117084679,26.0599994659424,5.97013597143086,Djibouti
2018,1057198.0,2755.83829341814,71.08630371,0.147970849877116,26.1490001678467,5.83497309667245,Djibouti
2019,1073994.0,2876.04366371536,61.80943298,3.31925372703833,26.3150005340576,5.66550040200762,Djibouti
2020,1090156.0,2917.9962809563,,1.77740783806174,28.0480003356934,4.97411102602462,Djibouti
2021,1105557.0,3150.43672926335,,,27.9540004730225,4.78756058158321,Djibouti
