Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,69870.0,,,3.68799557454736,,,Dominica
1973,70334.0,,,12.0991167230852,,,Dominica
1974,70822.0,,,34.3760742523204,,,Dominica
1975,71300.0,,,19.9027884369402,,,Dominica
1976,71748.0,,,10.9024962662686,,,Dominica
1977,72142.0,635.870192223773,,9.50365525201999,,0.174394723952448,Dominica
1978,72478.0,788.242163905676,,7.71257905832725,,0.0,Dominica
1979,72768.0,756.070785082576,,,,0.0,Dominica
1980,72978.0,997.624672275663,,,,0.0,Dominica
1981,72932.0,1125.80747972236,,13.2666874934914,,5.84600221130451,Dominica
1982,72626.0,1232.72074280102,,4.39459409763739,,0.223394854911185,Dominica
1983,72269.0,1365.24915913437,,4.14795244385732,,0.202705733396907,Dominica
1984,71936.0,1517.41924406056,,2.21799424995742,,2.10705544257663,Dominica
1985,71596.0,1668.97498411871,,3.73997998064237,,2.51062973508836,Dominica
1986,71215.0,1897.9422666365,,2.77423367675705,,3.83627556304961,Dominica
1987,70808.0,2144.79655468936,,4.0245804334164,,8.90144820636147,Dominica
1988,70397.0,2430.589145476,,2.92459163123738,,6.96989766352513,Dominica
1989,69975.0,2645.7626718537,,6.21852149777861,,9.28840465650472,Dominica
1990,69481.0,2899.06060116621,,3.1909232322682,,6.39870554922223,Dominica
1991,69141.0,3178.47533247947,,5.55706153429131,,6.92665498179856,Dominica
1992,69112.0,3386.66598071622,,5.47182559344177,,8.72048863852142,Dominica
1993,69169.0,3549.65267570625,,1.56902604224497,,5.37621432450371,Dominica
1994,69198.0,3820.54501682237,,0.0151367351744366,,8.54849329653549,Dominica
1995,69201.0,3967.02680918227,,1.31753745774971,,19.7042673466359,Dominica
1996,69166.0,4225.85063738231,,1.67716450485912,,6.08994259791933,Dominica
1997,69081.0,4385.99454102993,,2.43629715479674,,6.9688412971995,Dominica
1998,68938.0,4676.82716515001,,0.999147457910711,,2.01950580694076,Dominica
1999,68698.0,4829.24188854492,,1.17947787394178,,5.4122243929668,Dominica
2000,68346.0,4879.14977277925,254.78555298,0.856946805358478,,5.2767195708431,Dominica
2001,68153.0,4991.76417331157,226.96006775,1.30389403465961,,5.03108159599368,Dominica
2002,68262.0,4881.13879312496,222.09385681,0.170055330197674,,6.03567244311549,Dominica
2003,68442.0,5016.08823691755,237.35446167,1.45336800437255,,9.16723628282304,Dominica
2004,68574.0,5354.79919503019,247.45881653,2.39410982050296,,7.12798152182682,Dominica
2005,68674.0,5304.12609656574,256.73413086,1.68190079877556,,5.28078678990128,Dominica
2006,68742.0,5677.05117470908,263.91165161,2.2023913263167,,6.63866828638675,Dominica
2007,68775.0,6126.84949580624,285.24041748,3.63222129317817,,9.60827381318613,Dominica
2008,68782.0,6661.46504737997,326.64169312,6.35992183336294,,12.3416923313206,Dominica
2009,68787.0,7109.9782527814,344.11965942,0.00626357107067676,,8.67367292692163,Dominica
2010,68755.0,7182.40020254419,359.22134399,2.99936630549001,,4.92920762301906,Dominica
2011,68742.0,7288.49794777466,376.95007324,1.13123136526474,,2.83278206938356,Dominica
2012,68888.0,7054.87597689432,396.81378174,1.35677147808864,,4.76390423642917,Dominica
2013,68819.0,7240.67911908479,375.10510254,-0.0464116468806453,,3.59540248253307,Dominica
2014,69371.0,7498.91752183776,385.15658569,0.799250372687513,,2.37403247768408,Dominica
2015,70007.0,7724.04241057376,391.93453979,-0.843826984638296,,1.32418828718005,Dominica
2016,70075.0,8223.04145029796,414.04244995,0.141816225732303,,7.33473669765782,Dominica
2017,70403.0,7408.09130082314,398.63540649,0.296252889279557,,4.34802553442194,Dominica
2018,70823.0,7833.19501250117,479.09353638,0.989191119189815,,14.1109143908535,Dominica
2019,71428.0,8561.58701121461,440.16986084,1.50462353858147,,10.3084171305166,Dominica
2020,71995.0,7003.46989117043,,-0.727116412668306,,4.27100458017247,Dominica
2021,72412.0,7653.17187042868,,,,6.09528324921466,Dominica
