Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,4724801.0,420.631472097978,,8.64073155607573,,2.18878937305022,Dominican Republic
1973,4851183.0,483.346020960248,,15.0795349169139,,1.47134083930399,Dominican Republic
1974,4978582.0,587.657288762142,,13.1407673714854,,1.83204019550877,Dominican Republic
1975,5106453.0,704.833668301657,,14.5017257437615,,1.77539453211825,Dominican Republic
1976,5235318.0,754.777455734303,,7.76555023925678,,1.51841073010249,Dominican Republic
1977,5365074.0,854.992866827186,,12.8535275054287,,1.558719016372,Dominican Republic
1978,5495443.0,861.51380334579,,3.47785034212177,,1.3433592429875,Dominican Republic
1979,5625864.0,977.414313605875,,9.17380513351449,,0.310976940423365,Dominican Republic
1980,5755800.0,1174.69335279197,,16.7531356897102,,1.37103811397217,Dominican Republic
1981,5885244.0,1284.78955163116,,7.5146389069616,,1.0540515519818,Dominican Republic
1982,6014979.0,1374.46863904263,,7.64624306606149,,-0.016933981662917,Dominican Republic
1983,6147213.0,1499.96429276161,,5.6286232944898,,0.522742554714444,Dominican Republic
1984,6282104.0,1845.56002256569,,20.1516781053536,,0.590822839399689,Dominican Republic
1985,6417798.0,786.031742476935,,45.3361755532178,,0.717600020379829,Dominican Republic
1986,6554325.0,934.06996449351,,7.63897266579932,,0.816700129916145,Dominican Republic
1987,6692720.0,870.645581984456,,13.5507237827823,,1.52737595743541,Dominican Republic
1988,6834207.0,786.384569332676,,43.8638323515052,,1.97420511103332,Dominican Republic
1989,6980033.0,957.960092729778,,40.6579161175005,,1.64508291463213,Dominican Republic
1990,7129004.0,992.238964207372,,50.4624792378524,,1.87738325230096,Dominican Republic
1991,7278402.0,1349.8152730548,,47.079157410536,6.43100023269653,1.47590235448791,Dominican Republic
1992,7427340.0,1562.52204746248,,4.25902638893399,6.29400014877319,1.54841945052706,Dominican Republic
1993,7576074.0,1726.62547910699,,5.25033880690971,6.34299993515015,1.45783488936631,Dominican Republic
1994,7723934.0,1896.01715716631,,8.26076798575827,6.41300010681152,1.42099078999743,Dominican Republic
1995,7869753.0,2114.09059968729,,12.5359594558963,6.37900018692017,2.5088098596536,Dominican Republic
1996,8012314.0,2276.70706082593,,5.39929385038917,6.38299989700317,0.735677376031846,Dominican Republic
1997,8150076.0,2456.10961846663,,8.29656754792047,6.35200023651123,2.04171553502461,Dominican Republic
1998,8282126.0,2616.74741010329,,4.83166558591895,6.38800001144409,3.08643801610935,Dominican Republic
1999,8411374.0,2631.74855107963,,6.4705418684693,6.40500020980835,6.07545288651021,Dominican Republic
2000,8540791.0,2845.8391666108,140.13885498,7.72413566181619,6.42999982833862,4.0690014532827,Dominican Republic
2001,8669040.0,2953.24112018346,145.35366821,8.88306848812965,7.26000022888184,4.24931633807607,Dominican Republic
2002,8795101.0,3085.52552800157,155.09561157,5.22336769759445,6.78000020980835,3.41225132973357,Dominican Republic
2003,8919852.0,2399.49809124012,106.13856506,27.4497127394394,6.94000005722046,2.88055489904245,Dominican Republic
2004,9043127.0,2468.43767294515,106.65016174,51.4608598338066,6.30000019073486,4.18628908140595,Dominican Republic
2005,9164768.0,3903.8162379585,171.23001099,4.19020260472054,6.59000015258789,3.12598087506668,Dominican Republic
2006,9284168.0,4080.05002687348,164.10038757,7.57280523853076,5.65000009536743,4.03565272035117,Dominican Republic
2007,9402206.0,4676.07496287687,198.07254028,6.14356655248045,5.15999984741211,5.12425446246048,Dominican Republic
2008,9522948.0,5053.32457734602,240.41107178,10.6446210953712,4.76000022888184,5.66969156880657,Dominican Republic
2009,9648061.0,5002.14844186965,256.35791016,1.44215131834352,5.46999979019165,3.51277186612323,Dominican Republic
2010,9775755.0,5509.56683713904,309.95718384,6.32993220146144,5.21000003814697,3.37949139825513,Dominican Republic
2011,9903737.0,5859.37921671885,335.00128174,5.79676809206526,6.09000015258789,3.78685066153717,Dominican Republic
2012,10030882.0,6049.47174094956,359.60818481,3.69449707884785,6.71999979019165,5.62922456789122,Dominican Republic
2013,10157051.0,6171.29556968327,359.57055664,4.830950967408,7.34999990463257,2.55240071825146,Dominican Republic
2014,10282115.0,6533.66686007327,380.07550049,2.99864226125217,6.71999979019165,3.55061484455409,Dominican Republic
2015,10405832.0,6838.93659408348,400.38494873,0.836746346724583,7.6100001335144,3.12977653210886,Dominican Republic
2016,10527592.0,7191.07657188469,424.3001709,1.61416607245221,7.28000020980835,3.32357083376019,Dominican Republic
2017,10647244.0,7513.49134309925,443.67068481,3.27955694678546,5.82999992370605,4.49748880772504,Dominican Republic
2018,10765531.0,7947.15820732109,461.53515625,3.56443426013507,5.8600001335144,3.20786379861054,Dominican Republic
2019,10881882.0,8173.33800656006,491.05935669,1.8106037704296,6.17999982833862,3.18097442749009,Dominican Republic
2020,10999664.0,7167.91915908327,,3.78103179915516,6.13000011444092,3.12081842826935,Dominican Republic
2021,11117873.0,8476.75215730978,,8.24300347981817,7.69999980926514,3.45382078437034,Dominican Republic
