Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1316555228.0,257.562061611264,,6.07499999951511,,0.27182870611166,Early-demographic dividend
1973,1349249410.0,321.157870773906,,12.0819394612939,,0.411627584363702,Early-demographic dividend
1974,1382608576.0,438.422222017906,,19.0704733006474,,-0.215572066904904,Early-demographic dividend
1975,1416414404.0,460.026534349763,,12.879181833834,,0.946531975565006,Early-demographic dividend
1976,1450710647.0,490.361172036179,,10.1934769590104,,0.153777816934176,Early-demographic dividend
1977,1485833546.0,534.969766713568,,12.1569315041025,,0.348532969091805,Early-demographic dividend
1978,1521983049.0,579.79689558796,,9.31418369560825,,0.470297463787164,Early-demographic dividend
1979,1559348459.0,687.920082950886,,11.5424155726988,,0.235713014459711,Early-demographic dividend
1980,1598348344.0,835.018632669557,,14.6845027763768,,0.112000050710822,Early-demographic dividend
1981,1639825731.0,909.399894926869,,12.4132613723979,,0.92992620523501,Early-demographic dividend
1982,1682434337.0,843.430552639937,,10.2217271376891,,1.12177142105972,Early-demographic dividend
1983,1724928292.0,828.640672850619,,10.2436633526545,,0.664939659931907,Early-demographic dividend
1984,1767765290.0,802.353568459452,,8.49737141281982,,0.641920687610884,Early-demographic dividend
1985,1811272313.0,804.596283034165,,9.35333081274149,,0.387689554189274,Early-demographic dividend
1986,1855624329.0,792.073470638374,,10.0017155606022,,0.455756752141729,Early-demographic dividend
1987,1900589995.0,779.106023535663,,9.75300310171001,,0.238628673658151,Early-demographic dividend
1988,1946149314.0,798.805338701564,,8.98300338208987,,0.540914953387385,Early-demographic dividend
1989,1992092223.0,795.467985004712,,9.07562408537859,,0.52096440603343,Early-demographic dividend
1990,2041043553.0,911.320669222061,,11.9060546010382,,0.616578193953047,Early-demographic dividend
1991,2088580891.0,941.567760011892,,15.050130775937,5.82124509271923,0.851436096181818,Early-demographic dividend
1992,2134566607.0,1013.19678290438,,10.5274440119592,5.919193678586,0.828054240961172,Early-demographic dividend
1993,2179380224.0,1090.2105064902,,9.9736647602921,6.07220204340809,0.77300650432765,Early-demographic dividend
1994,2223076958.0,1123.66270445583,,9.59323024553454,6.36961383327418,1.2298123534621,Early-demographic dividend
1995,2267616622.0,1129.43867723896,,10.0221733553239,6.75149919979525,1.30809011175298,Early-demographic dividend
1996,2314334474.0,1206.5528633767,,8.51995195925336,6.71104474825876,1.47929134236844,Early-demographic dividend
1997,2361095210.0,1264.1834890386,,7.01828599869912,6.62231629238778,1.94602347593355,Early-demographic dividend
1998,2407186134.0,1222.51429150149,,6.42073242971302,6.80821840186376,1.73364599440228,Early-demographic dividend
1999,2452952807.0,1268.94886200263,,5.02022692255851,7.08238704961991,1.95976067207975,Early-demographic dividend
2000,2499206970.0,1354.97926055359,67.0745812474323,3.89952980284716,7.11172728419374,1.51464149958418,Early-demographic dividend
2001,2545843129.0,1318.61825135904,68.0674797045972,3.7508205747202,7.27021840646052,1.78575319996966,Early-demographic dividend
2002,2591204247.0,1259.71944933122,61.7583445548766,4.24026660688647,7.52954724622898,1.44825195756422,Early-demographic dividend
2003,2635731526.0,1378.31068496082,68.4069546617904,5.45293224327204,7.55396255501045,1.18281565107106,Early-demographic dividend
2004,2680567394.0,1577.92155687981,77.4091485772857,4.43526108410781,7.52628122491173,1.50691796151436,Early-demographic dividend
2005,2725013738.0,1809.90006364295,88.3383846040583,4.82170050712851,7.53874792618247,2.24588324997932,Early-demographic dividend
2006,2769421149.0,2036.19597611344,99.3888703157471,5.68713772607966,7.25518319228642,2.74088421114058,Early-demographic dividend
2007,2814101547.0,2370.95696664008,115.233260653417,6.17780683499413,7.16257080355972,2.91237931176869,Early-demographic dividend
2008,2857856055.0,2632.78124048732,127.232336643773,10.4469875128222,7.00393828855769,3.12901616799093,Early-demographic dividend
2009,2901516356.0,2502.89506547386,129.319127845536,4.45829607073762,7.12706347084277,2.34588506481797,Early-demographic dividend
2010,2946338808.0,2988.44810454,147.425187671669,4.39741383150069,6.95101240547054,2.12206463552531,Early-demographic dividend
2011,2991353712.0,3248.91217347131,161.845655347411,5.81149209022689,6.78883237881728,1.99255267999485,Early-demographic dividend
2012,3035261244.0,3346.1088899292,168.615899820099,5.01827254237434,6.71228191717887,1.82924402606404,Early-demographic dividend
2013,3078835706.0,3344.65579580508,173.539618794026,4.82462314269542,6.74309479346152,2.12347842995919,Early-demographic dividend
2014,3122586392.0,3411.09671053088,173.182134205153,4.07392957476224,6.68189769694703,1.76414935160405,Early-demographic dividend
2015,3166642585.0,3199.51964624213,171.172955122456,3.06203169580559,6.82592827211755,2.17403004522199,Early-demographic dividend
2016,3210110979.0,3257.90121165383,165.066991783125,3.21988689395718,6.81267121189442,1.93365643414562,Early-demographic dividend
2017,3252529883.0,3472.69762430482,173.505739915118,3.32817337461301,6.6631064166448,1.93318589126488,Early-demographic dividend
2018,3294298709.0,3467.17819752253,171.087667862088,3.95721831216162,6.64095803985895,1.99409147055287,Early-demographic dividend
2019,3335463995.0,3489.17024987092,171.574501835049,2.7598087347445,6.19936371095605,1.8963204399575,Early-demographic dividend
2020,3375134276.0,3215.09292533334,,3.08679294765088,8.13680163437684,1.89734420493358,Early-demographic dividend
2021,3411889059.0,3703.90012266414,,4.27166381536796,7.14362750460045,2.19659011971652,Early-demographic dividend
