Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1159394712.0,133.873998294551,,,,,East Asia & Pacific (IDA & IBRD countries)
1973,1186691481.0,164.567726331268,,,,,East Asia & Pacific (IDA & IBRD countries)
1974,1212479337.0,182.207168964171,,,,,East Asia & Pacific (IDA & IBRD countries)
1975,1235769316.0,200.921336814014,,,,,East Asia & Pacific (IDA & IBRD countries)
1976,1257283747.0,200.680941630835,,,,,East Asia & Pacific (IDA & IBRD countries)
1977,1277634904.0,227.932454251036,,,,,East Asia & Pacific (IDA & IBRD countries)
1978,1298297421.0,217.514802795987,,,,,East Asia & Pacific (IDA & IBRD countries)
1979,1319182209.0,247.989445748754,,,,0.294373919674721,East Asia & Pacific (IDA & IBRD countries)
1980,1339615160.0,281.843429082262,,,,0.379068463069647,East Asia & Pacific (IDA & IBRD countries)
1981,1360714010.0,296.202487735125,,,,0.579314761160015,East Asia & Pacific (IDA & IBRD countries)
1982,1384060325.0,305.735515000608,,,,0.584618051907595,East Asia & Pacific (IDA & IBRD countries)
1983,1407492473.0,314.944972348123,,,,0.658242653792036,East Asia & Pacific (IDA & IBRD countries)
1984,1429843232.0,335.911399049196,,,,0.60905694108894,East Asia & Pacific (IDA & IBRD countries)
1985,1452832120.0,361.823268603201,,,,0.562797635249782,East Asia & Pacific (IDA & IBRD countries)
1986,1477285491.0,354.955939483391,,,,0.596251696617617,East Asia & Pacific (IDA & IBRD countries)
1987,1503204089.0,344.790684841325,,5.1748812732386,,0.759600505988795,East Asia & Pacific (IDA & IBRD countries)
1988,1529464061.0,375.794624104927,,9.34212688547207,,1.17651626637183,East Asia & Pacific (IDA & IBRD countries)
1989,1555164786.0,399.698362114845,,6.46256171146446,,1.3562533798259,East Asia & Pacific (IDA & IBRD countries)
1990,1580447407.0,421.631392303397,,8.19137132040974,,1.57054997481312,East Asia & Pacific (IDA & IBRD countries)
1991,1604798136.0,450.372280803706,,6.96568127760758,2.40289870044538,1.82720675919201,East Asia & Pacific (IDA & IBRD countries)
1992,1627823212.0,497.628751209963,,7.52351717022744,2.36061973624741,2.63919483614553,East Asia & Pacific (IDA & IBRD countries)
1993,1650184274.0,538.840522445205,,5.73690583357398,2.61637226233367,4.36660928963094,East Asia & Pacific (IDA & IBRD countries)
1994,1672325604.0,639.820861544344,,7.65824302019538,2.92031447979424,4.25186800138941,East Asia & Pacific (IDA & IBRD countries)
1995,1693952154.0,779.330111793542,,5.81818181818193,3.0010462061971,3.84285644414786,East Asia & Pacific (IDA & IBRD countries)
1996,1715256519.0,883.94529758181,,7.31348259330353,3.11092297948957,3.86423246731233,East Asia & Pacific (IDA & IBRD countries)
1997,1736404220.0,903.990033224534,,5.60802843389853,3.20695058545164,4.03782145510412,East Asia & Pacific (IDA & IBRD countries)
1998,1756774303.0,813.785147258357,,8.6148315364729,3.37622117084782,4.16394556067644,East Asia & Pacific (IDA & IBRD countries)
1999,1775819557.0,885.97402372495,,4.29072851723813,3.46009157909242,3.37212644102689,East Asia & Pacific (IDA & IBRD countries)
2000,1793649873.0,965.669761803917,37.8842231053339,2.15851810619412,3.41519232142385,2.77665010991813,East Asia & Pacific (IDA & IBRD countries)
2001,1810599718.0,1018.83651100477,39.0197007151207,4.27267024465106,3.85035149051513,2.83736710858862,East Asia & Pacific (IDA & IBRD countries)
2002,1826844868.0,1117.38686173804,43.5388582083807,2.3431699096098,4.17156863949453,3.10503205981824,East Asia & Pacific (IDA & IBRD countries)
2003,1842469495.0,1252.89248946727,49.7330263067953,3.23464817293924,4.42425401548932,2.9641036998928,East Asia & Pacific (IDA & IBRD countries)
2004,1857622964.0,1441.93590244029,55.9470864327753,4.53421374129695,4.4165828509368,3.10776947313931,East Asia & Pacific (IDA & IBRD countries)
2005,1872697597.0,1656.758760775,64.2576771989097,4.54036919634533,4.49586802863388,4.16717983315759,East Asia & Pacific (IDA & IBRD countries)
2006,1887496209.0,1979.16285422935,73.795392221329,4.63747436011765,4.39029236475518,4.09010002193601,East Asia & Pacific (IDA & IBRD countries)
2007,1901960228.0,2482.42749604341,88.3444946083526,4.81023704342911,4.36807805295652,4.09930112596086,East Asia & Pacific (IDA & IBRD countries)
2008,1916309337.0,3115.85068492188,115.445934317926,10.3368260300685,4.4558373133214,3.54427406549678,East Asia & Pacific (IDA & IBRD countries)
2009,1930470829.0,3354.56574414791,137.227410797428,3.67503305540298,4.43985329228628,2.40842636472724,East Asia & Pacific (IDA & IBRD countries)
2010,1944510719.0,4051.95802602558,159.090904030859,3.61196234430299,4.17509757212578,3.78776668587237,East Asia & Pacific (IDA & IBRD countries)
2011,1959494275.0,4916.02631206543,198.864082571574,5.15900497684396,4.12489913788251,3.49956477026946,East Asia & Pacific (IDA & IBRD countries)
2012,1976386829.0,5436.75023693748,232.393393543604,3.02696391124798,4.0633790351647,2.83384929541807,East Asia & Pacific (IDA & IBRD countries)
2013,1993077336.0,5948.44094855294,263.612290559689,2.92758351575675,4.064152566438,3.050498592726,East Asia & Pacific (IDA & IBRD countries)
2014,2009149689.0,6362.01186907747,286.511991932177,3.37040697371658,4.06086396091323,2.57836470263405,East Asia & Pacific (IDA & IBRD countries)
2015,2024511016.0,6574.56465570346,305.977466447969,1.08648629940421,4.13694511347355,2.29884013571222,East Asia & Pacific (IDA & IBRD countries)
2016,2039794828.0,6664.79603276875,311.135988068227,1.75711158908289,4.05225510250751,1.61960548271727,East Asia & Pacific (IDA & IBRD countries)
2017,2055414680.0,7228.76266557214,341.924716326489,2.88291164981209,3.93104927410819,1.61355889422845,East Asia & Pacific (IDA & IBRD countries)
2018,2068898629.0,8032.79890886331,387.895509623469,2.82871578471268,3.82427973311055,1.87169302423985,East Asia & Pacific (IDA & IBRD countries)
2019,2080648616.0,8259.79560508293,414.052295601758,1.85783841646689,3.91126457684883,1.51916962036621,East Asia & Pacific (IDA & IBRD countries)
2020,2090523535.0,8354.06518215147,,2.39316239316241,4.38442342611295,1.73346876948213,East Asia & Pacific (IDA & IBRD countries)
2021,2097669023.0,9880.09606977467,,2.54479213620967,4.0941418512181,2.05567498896626,East Asia & Pacific (IDA & IBRD countries)
