Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1175184255.0,132.273621859578,,,,,East Asia & Pacific (excluding high income)
1973,1202841142.0,162.60199861872,,,,,East Asia & Pacific (excluding high income)
1974,1228938255.0,180.03684893511,,,,,East Asia & Pacific (excluding high income)
1975,1252514942.0,198.532774142068,,,,,East Asia & Pacific (excluding high income)
1976,1274293809.0,198.299454042874,,,,,East Asia & Pacific (excluding high income)
1977,1294889668.0,225.23290023585,,,,,East Asia & Pacific (excluding high income)
1978,1315793402.0,214.944812372517,,,,,East Asia & Pacific (excluding high income)
1979,1336925840.0,245.065584710877,,,,0.294373919674721,East Asia & Pacific (excluding high income)
1980,1357614061.0,278.524434067866,,,,0.379068463069647,East Asia & Pacific (excluding high income)
1981,1378975580.0,292.718817957621,,,,0.579314761160015,East Asia & Pacific (excluding high income)
1982,1402590107.0,302.149443443987,,,,0.584618051907595,East Asia & Pacific (excluding high income)
1983,1426292739.0,311.260312847749,,,,0.658242653792036,East Asia & Pacific (excluding high income)
1984,1448918429.0,331.986856035715,,,,0.60905694108894,East Asia & Pacific (excluding high income)
1985,1472188957.0,357.602074752577,,,,0.562797635249782,East Asia & Pacific (excluding high income)
1986,1496931223.0,350.823513072093,,,,0.596251696617617,East Asia & Pacific (excluding high income)
1987,1523142065.0,340.788334669187,,5.1748812732386,,0.759600505988795,East Asia & Pacific (excluding high income)
1988,1549697035.0,371.445154624242,,9.34212688547207,,1.17651626637183,East Asia & Pacific (excluding high income)
1989,1575696733.0,395.082513410797,,6.46256171146446,,1.3562533798259,East Asia & Pacific (excluding high income)
1990,1601285150.0,416.769540145555,,8.19137132040974,,1.57054997481312,East Asia & Pacific (excluding high income)
1991,1625952760.0,445.180159521136,,6.96568127760758,2.40131540451673,1.82720675919201,East Asia & Pacific (excluding high income)
1992,1649303152.0,491.885332474989,,7.52351717022744,2.35984135344471,2.63919483614553,East Asia & Pacific (excluding high income)
1993,1671998239.0,532.609044292148,,5.73690583357398,2.6134970357483,4.36660928963094,East Asia & Pacific (excluding high income)
1994,1694472843.0,632.406438074318,,7.65824302019538,2.91482231281998,4.25186800138941,East Asia & Pacific (excluding high income)
1995,1716380775.0,770.301271914475,,5.81818181818193,2.99467023291489,3.84285644414786,East Asia & Pacific (excluding high income)
1996,1737915021.0,873.730691768253,,7.31348259330353,3.10380053654226,3.86423246731232,East Asia & Pacific (excluding high income)
1997,1759276808.0,893.57694975184,,5.60802843389853,3.19983898310044,4.03782145510412,East Asia & Pacific (excluding high income)
1998,1779844165.0,804.44324693233,,8.6148315364729,3.36927484780417,4.16394556067644,East Asia & Pacific (excluding high income)
1999,1799071266.0,875.836653164948,,4.29072851723813,3.45436355633583,3.37212644102689,East Asia & Pacific (excluding high income)
2000,1817064785.0,954.657418828236,37.8818019360213,2.15851810619412,3.40989656819,2.77665010991813,East Asia & Pacific (excluding high income)
2001,1834160201.0,1007.25943205304,39.0179420877438,4.27267024465106,3.83963316190755,2.83736710858862,East Asia & Pacific (excluding high income)
2002,1850531105.0,1104.74107273497,43.5374139557036,2.3431699096098,4.15617280984695,3.10503205981824,East Asia & Pacific (excluding high income)
2003,1866298799.0,1238.72313962871,49.731759484144,3.23464817293924,4.40571032869537,2.9641036998928,East Asia & Pacific (excluding high income)
2004,1881619185.0,1425.59793264539,55.9461754506126,4.53421374129695,4.39768523951417,3.10776947313931,East Asia & Pacific (excluding high income)
2005,1896845515.0,1637.97659949104,64.2561821362755,4.54036919634533,4.47552858697263,4.16717983315759,East Asia & Pacific (excluding high income)
2006,1911778513.0,1956.72636550755,73.7937709757005,4.63747436011765,4.37085816508666,4.09010002193601,East Asia & Pacific (excluding high income)
2007,1926362850.0,2454.31497511579,88.3417464990421,4.81023704342911,4.34905236872053,4.09930112596086,East Asia & Pacific (excluding high income)
2008,1940824032.0,3080.63017194086,115.442171773883,10.3368260300685,4.43509372966505,3.54427406549678,East Asia & Pacific (excluding high income)
2009,1955097471.0,3316.79893740615,137.225064525536,3.67503305540298,4.41951657734855,2.40842636472724,East Asia & Pacific (excluding high income)
2010,1969241762.0,4006.36550144854,159.088431345743,3.61196234430299,4.15693350341653,3.78776668587237,East Asia & Pacific (excluding high income)
2011,1984322091.0,4860.8712070876,198.861592390566,5.23541591478427,4.10849261660576,3.49956477026946,East Asia & Pacific (excluding high income)
2012,2001317846.0,5376.041081452,232.389946161173,3.22516957263389,4.04812013015877,2.83384929541807,East Asia & Pacific (excluding high income)
2013,2018121456.0,5882.27240598661,263.60910699021,2.92758351575675,4.04874682255037,3.050498592726,East Asia & Pacific (excluding high income)
2014,2034317097.0,6291.46486419249,286.509231083744,3.37040697371658,4.04478888880899,2.57836470263405,East Asia & Pacific (excluding high income)
2015,2049809214.0,6501.86882881589,305.973446203231,1.08648629940421,4.12014072279618,2.29884013571222,East Asia & Pacific (excluding high income)
2016,2065223450.0,6591.28234259783,311.131872445654,1.75711158908289,4.0368549612679,1.61960548271726,East Asia & Pacific (excluding high income)
2017,2080968782.0,7149.20764686243,341.919752420988,2.88291164981209,3.91634047441638,1.61355889422845,East Asia & Pacific (excluding high income)
2018,2094573278.0,7944.55123362633,387.892171163138,2.82871578471268,3.81023497835473,1.87169302423985,East Asia & Pacific (excluding high income)
2019,2106439246.0,8169.16783730136,414.048590673543,1.85783841646689,3.89563241242647,1.5191696203662,East Asia & Pacific (excluding high income)
2020,2116424876.0,8262.4792534288,,2.39316239316241,4.36592888420052,1.73346876948213,East Asia & Pacific (excluding high income)
2021,2123673456.0,9771.64820574671,,2.54479213620967,4.08164738254555,2.05567498896626,East Asia & Pacific (excluding high income)
