Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,1354211283.0,415.747056523852,,,,0.598541385541349,East Asia & Pacific
1973,1384704173.0,535.775836822328,,,,0.337759512377363,East Asia & Pacific
1974,1413718269.0,604.580178148082,,,,0.502753991614226,East Asia & Pacific
1975,1439944265.0,649.900951383469,,,,0.444876411715517,East Asia & Pacific
1976,1464087148.0,702.726725973152,,,,0.398507035058252,East Asia & Pacific
1977,1486953865.0,824.498984612428,,,,0.291331083858558,East Asia & Pacific
1978,1510060320.0,1024.32758520945,,,,0.295199818455951,East Asia & Pacific
1979,1533514709.0,1095.51883660617,,,,0.288114401540363,East Asia & Pacific
1980,1556403010.0,1166.7722034252,,,,0.333904558635296,East Asia & Pacific
1981,1580048609.0,1266.98097870945,,,,0.453282543613217,East Asia & Pacific
1982,1605925794.0,1221.93025805518,,,,0.435343640847021,East Asia & Pacific
1983,1631735726.0,1279.56258289006,,,,0.439250838247418,East Asia & Pacific
1984,1656258164.0,1350.02202312491,,,,0.288091237571221,East Asia & Pacific
1985,1681267266.0,1403.42736432738,,,,0.312686094982511,East Asia & Pacific
1986,1707611028.0,1805.21814994127,,,,0.446034988766406,East Asia & Pacific
1987,1735427884.0,2085.80451804848,,4.685987787925,,0.586133206238498,East Asia & Pacific
1988,1763555005.0,2469.39908141696,,7.88732394366179,,0.593325103321932,East Asia & Pacific
1989,1791156275.0,2532.56262653258,,6.41553963494968,,0.524599361158138,East Asia & Pacific
1990,1818247576.0,2605.90850060624,,7.81919144730541,,0.711081887974022,East Asia & Pacific
1991,1844603995.0,2899.94082005645,,6.49734555984544,2.45096304674952,0.514035730923624,East Asia & Pacific
1992,1869453624.0,3126.50202881059,,6.21328146355184,2.43447965146324,0.65255770038189,East Asia & Pacific
1993,1893594516.0,3451.76162247523,,4.88755545263501,2.68586551213725,0.918256590554606,East Asia & Pacific
1994,1917553356.0,3861.09766169826,,5.64990893945513,2.96055521817965,0.978809933210805,East Asia & Pacific
1995,1940892820.0,4331.68303680662,,4.62776659959758,3.03533414768954,1.06841965870783,East Asia & Pacific
1996,1964042971.0,4124.72135817285,,5.52480986015133,3.15195483454728,1.16512721120354,East Asia & Pacific
1997,1986768093.0,3898.12862069071,,3.72765760183634,3.24532867843714,1.4124457289357,East Asia & Pacific
1998,2008680261.0,3449.91320852575,,5.49101180380942,3.53358782235026,1.41860776503937,East Asia & Pacific
1999,2028993034.0,3814.88422716765,,1.98382427234186,3.63565968443753,1.67741871682395,East Asia & Pacific
2000,2048148696.0,4089.05161206687,238.971142097453,1.59196917460974,3.53936277768338,2.09401938835585,East Asia & Pacific
2001,2066530023.0,3769.10864472969,222.313131532073,3.57755452095076,3.94916987004654,1.63937046020357,East Asia & Pacific
2002,2083969920.0,3796.53916963712,224.073298624071,1.88572000240366,4.25182161232647,1.4296161637751,East Asia & Pacific
2003,2100610344.0,4141.30095719078,251.422540293839,2.28915662650606,4.46832653028775,1.458402622859,East Asia & Pacific
2004,2116651449.0,4609.6035480952,277.860690678498,3.23751394003323,4.41682004454394,2.03904684610841,East Asia & Pacific
2005,2132517760.0,4881.34656235505,291.608527986028,3.03702332617015,4.46156236115121,1.81853478129444,East Asia & Pacific
2006,2148405823.0,5134.81740212357,297.3375793872,3.93616259929866,4.33931481383785,2.61627896983949,East Asia & Pacific
2007,2164155292.0,5695.52160336649,321.734336866633,3.76400259181597,4.29028084826334,3.21706754392321,East Asia & Pacific
2008,2179914111.0,6518.96485653422,374.206256120799,8.34208634920956,4.37309703140582,2.7280173832466,East Asia & Pacific
2009,2195169711.0,6661.465564809,419.148175030297,1.6217301400345,4.46881878163729,1.9682372737974,East Asia & Pacific
2010,2210203758.0,7721.63086545277,477.219137322683,3.05730563962443,4.21809795674936,2.91546462951382,East Asia & Pacific
2011,2225992094.0,8890.70399886466,586.023981825182,5.02146014620726,4.12483534282583,2.8358304247608,East Asia & Pacific
2012,2243776727.0,9435.96166320117,625.012495025079,2.97460779814473,4.05606855216751,2.44258985075833,East Asia & Pacific
2013,2261274500.0,9468.43989381281,602.176884337197,2.58268766141797,4.04042381942264,2.76382086532869,East Asia & Pacific
2014,2278232287.0,9694.44878542979,610.758260029342,2.51087633253703,4.02012305961505,2.86111974206389,East Asia & Pacific
2015,2294507020.0,9586.90102723108,597.840240037936,0.795279630579775,4.085861514711,2.80909964679096,East Asia & Pacific
2016,2310721864.0,9854.94632871873,631.121809498577,1.27699094497328,3.99788687671429,2.32604499575972,East Asia & Pacific
2017,2327134580.0,10452.7190352562,664.254029059132,1.80034222468628,3.86933652735983,2.29255952079323,East Asia & Pacific
2018,2341387076.0,11310.4988757878,719.392477899979,2.31260343301557,3.75171373239575,2.26459905249867,East Asia & Pacific
2019,2353862247.0,11482.5316836638,750.747478518572,1.62724367098146,3.81631746324656,1.98818535084317,East Asia & Pacific
2020,2363940425.0,11475.4625106863,,0.846905537459293,4.29250748172644,2.15171341422688,East Asia & Pacific
2021,2370204347.0,13041.7811855841,,2.47710241465444,4.01449780469176,2.45446999365998,East Asia & Pacific
