Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,6533630.0,487.628965037949,,7.88189360668076,,2.5361055755779,Ecuador
1973,6720443.0,579.092115198563,,13.0117620450221,,1.34386651992853,Ecuador
1974,6911123.0,954.875122465054,,23.3213542652818,,1.16376694717675,Ecuador
1975,7105786.0,1088.08191758235,,15.3629856851263,,1.23259154171319,Ecuador
1976,7304349.0,1244.72753216403,,10.6713937513738,,-0.218875557393476,Ecuador
1977,7506665.0,1468.87420572267,,13.0140551797556,,0.312886954168932,Ecuador
1978,7712718.0,1545.82368636329,,11.6500726357789,,0.407632553170582,Ecuador
1979,7922490.0,1789.23116439117,,10.2662562280033,,0.447261075927501,Ecuador
1980,8135845.0,2197.8681603298,,13.0489840555974,,0.391465718880209,Ecuador
1981,8352602.0,2611.25421866976,,16.3874745418229,,0.275093486735419,Ecuador
1982,8572607.0,2324.82995833234,,16.2579695928846,,0.200703933173697,Ecuador
1983,8795873.0,1950.06035379929,,48.4338747103122,,0.291502981668326,Ecuador
1984,9022979.0,1874.38263829255,,31.2302390849475,,0.29563905461818,Ecuador
1985,9254311.0,1853.09253060359,,27.98321602596,,0.361535121721331,Ecuador
1986,9490096.0,1613.69747872541,,23.0302261143747,,0.528922805369612,Ecuador
1987,9729376.0,1433.33260860995,,29.503997249272,,0.882009256068713,Ecuador
1988,9969788.0,1309.14384060501,,58.2162865411676,,1.18756778476777,Ecuador
1989,10210185.0,1360.4874649822,,75.6481901022001,,1.1518391261415,Ecuador
1990,10449837.0,1458.32687154356,,48.5191129964557,,0.826810818532832,Ecuador
1991,10686279.0,1589.75217357078,,48.8038277511962,4.43900012969971,0.941811624600907,Ecuador
1992,10914222.0,1657.85872039798,,54.3408360128618,4.58900022506714,0.983738573731403,Ecuador
1993,11132829.0,1701.159458991,,44.9999999999999,4.61499977111816,2.50133095620069,Ecuador
1994,11347652.0,2001.17815885333,,27.4425287356321,4.48999977111816,2.537928973021,Ecuador
1995,11561683.0,2113.2636522054,,22.8861330326945,4.63199996948242,1.85193034031665,Ecuador
1996,11775221.0,2142.3286405069,,24.3730886850156,4.68300008773804,1.98078257206972,Ecuador
1997,11987838.0,2349.21868534704,,30.6429800835987,4.53800010681152,2.57065775466879,Ecuador
1998,12199693.0,2293.65582793553,,36.0984331623782,4.62200021743774,3.10908156656419,Ecuador
1999,12412046.0,1582.75860694668,,52.2423509075189,5.18900012969971,3.30059048812225,Ecuador
2000,12626507.0,1451.53088517998,48.12062454,96.0941136930836,4.80000019073486,-0.127889942196138,Ecuador
2001,12845521.0,1904.81367007224,71.11089325,37.6780209421416,4.25,2.2010848604506,Ecuador
2002,13070609.0,2184.209243808,97.16691589,12.4840185721018,4.89900016784668,2.74357251922969,Ecuador
2003,13301184.0,2438.34368429156,131.98309326,7.92941000523413,5.65999984741211,2.68713110026757,Ecuador
2004,13534593.0,2703.56567057465,149.81384277,2.74218132941644,5.0,2.28724133046501,Ecuador
2005,13770012.0,3014.3100093159,167.94581604,2.4077697831569,3.77999997138977,1.18874605515093,Ecuador
2006,14009061.0,3340.84090289849,189.84698486,3.29874846258218,3.54999995231628,0.579950851142313,Ecuador
2007,14251835.0,3579.03224391806,190.51663208,2.2761847800212,3.14000010490417,0.380084250544775,Ecuador
2008,14496797.0,4260.43318396471,228.485672,8.40009593987462,3.92000007629395,1.71204486362154,Ecuador
2009,14742766.0,4240.70259271564,241.16140747,5.15996829181046,4.6100001335144,0.493652335536362,Ecuador
2010,14989585.0,4640.24634437845,283.41574097,3.55437734567846,4.09000015258789,0.23850542024117,Ecuador
2011,15237728.0,5202.65645902066,336.8609314,4.47453265795836,3.46000003814697,0.814974200589349,Ecuador
2012,15483883.0,5678.45572070003,384.23394775,5.1017218095867,3.23000001907349,0.645345741976643,Ecuador
2013,15722989.0,6050.3546113274,411.90673828,2.72177577710365,3.07999992370605,0.764305489903436,Ecuador
2014,15957994.0,6374.6314856366,428.79379272,3.58922016616669,3.48000001907349,0.759282221720076,Ecuador
2015,16195902.0,6130.58667556768,458.81420898,3.96664623255354,3.61999988555908,1.33215455916871,Ecuador
2016,16439585.0,6079.08873612077,441.17092896,1.72826463324535,4.59999990463257,0.764703308871798,Ecuador
2017,16696944.0,6246.40425217932,461.57546997,0.417335588666803,3.83999991416931,0.603668640524968,Ecuador
2018,17015672.0,6321.34940071717,495.16958618,-0.224103246005465,3.52999997138977,1.29172631580123,Ecuador
2019,17343740.0,6233.25816692363,486.49215698,0.266012515466136,3.80999994277954,0.901434135414544,Ecuador
2020,17588595.0,5645.19928965332,,-0.338872392562274,6.1100001335144,1.10250831762566,Ecuador
2021,17797737.0,5965.13287054416,,0.133251386096455,4.5,0.609966437731397,Ecuador
