Year,"Population, total",GDP per capita (current US$),Current health expenditure per capita (current US$),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Foreign direct investment, net inflows (% of GDP)",Country
1972,36330768.0,255.971413977343,,2.10236334610112,,0.00032259320007784,"Egypt, Arab Rep."
1973,37120776.0,272.045353077779,,5.11218403908757,,0.00693169877408056,"Egypt, Arab Rep."
1974,37930374.0,243.313267214292,,10.0243177516484,,0.00140860892861163,"Egypt, Arab Rep."
1975,38775584.0,299.987199906961,,9.66969548151247,,0.0687747333509215,"Egypt, Arab Rep."
1976,39649050.0,335.846333857081,,10.3174158877413,,0.458095934134773,"Egypt, Arab Rep."
1977,40577356.0,354.897615211466,,12.7321627929891,,0.727581477333194,"Egypt, Arab Rep."
1978,41576636.0,356.250661142198,,11.078100382614,,2.1480724692318,"Egypt, Arab Rep."
1979,42632458.0,422.696046016662,,9.90436051231128,,6.74942923338636,"Egypt, Arab Rep."
1980,43748556.0,495.328535561011,,20.8192249324219,,2.53017091999671,"Egypt, Arab Rep."
1981,44899573.0,493.013175895483,,10.3172842245395,,3.39975005914541,"Egypt, Arab Rep."
1982,46088647.0,600.043052116351,,14.8230088495577,,1.06154257365756,"Egypt, Arab Rep."
1983,47353665.0,653.935441189967,,16.079873883342,,1.58236842331316,"Egypt, Arab Rep."
1984,48676443.0,697.897933742092,,17.0363663799608,,2.14635660163926,"Egypt, Arab Rep."
1985,50035843.0,780.510528244187,,12.1067560598247,,3.01527740329376,"Egypt, Arab Rep."
1986,51424313.0,802.217969374844,,23.8642898217366,,2.95109102688694,"Egypt, Arab Rep."
1987,52841319.0,765.60573087841,,19.693593314763,,2.34260249653259,"Egypt, Arab Rep."
1988,54298446.0,644.219632529034,,17.66348615313,,3.40193181818182,"Egypt, Arab Rep."
1989,55765843.0,712.914876046603,,21.2618670886078,,3.144613175915,"Egypt, Arab Rep."
1990,57214630.0,751.187490181277,,16.7563747077691,,1.70781419624217,"Egypt, Arab Rep."
1991,58611032.0,637.897597341886,,19.7485448195578,9.38000011444092,0.676690666666667,"Egypt, Arab Rep."
1992,59989142.0,697.726040479516,,13.6374241717218,8.92000007629395,1.09661732566499,"Egypt, Arab Rep."
1993,61382200.0,758.829619215034,,12.0897922868977,10.9200000762939,1.05842525773196,"Egypt, Arab Rep."
1994,62775847.0,826.718967131504,,8.15423128587101,10.9300003051758,2.42013257142857,"Egypt, Arab Rep."
1995,64166908.0,937.543150130502,,15.7422305021596,11.039999961853,0.994028431372549,"Egypt, Arab Rep."
1996,65565195.0,1031.48807810504,,7.18710369719989,9.0,0.940414995640802,"Egypt, Arab Rep."
1997,66993728.0,1170.8047978923,,4.6256057882644,8.36999988555908,1.13537589319293,"Egypt, Arab Rep."
1998,68446011.0,1239.35356227086,,3.87257546427492,8.02999973297119,1.26843702157272,"Egypt, Arab Rep."
1999,69907887.0,1297.57469006096,,3.07949912638328,7.94999980926514,1.1743928153446,"Egypt, Arab Rep."
2000,71371371.0,1398.85983078672,73.65684509,2.68380535348548,8.97999954223633,1.23699720670391,"Egypt, Arab Rep."
2001,72854261.0,1327.09651832991,73.07783508,2.26975720475954,9.26000022888184,0.527384722609423,"Egypt, Arab Rep."
2002,74393759.0,1144.53239841974,68.25554657,2.73723855000332,10.0100002288818,0.759753233043019,"Egypt, Arab Rep."
2003,75963322.0,1056.93720896595,53.82350159,4.50777636319307,10.9099998474121,0.295683832335329,"Egypt, Arab Rep."
2004,77522427.0,1016.25388395628,53.93090057,11.270619332052,10.3199996948242,1.59083618380383,"Egypt, Arab Rep."
2005,79075310.0,1133.10546057176,63.86014175,4.86939696871988,11.048999786377,5.99950900649954,"Egypt, Arab Rep."
2006,80629670.0,1332.33941000282,71.35442352,7.64452644526432,10.4899997711182,9.34856726566294,"Egypt, Arab Rep."
2007,82218755.0,1586.47292057972,78.95716858,9.31896905799228,8.80000019073486,8.87633606337272,"Egypt, Arab Rep."
2008,83844783.0,1941.89997269337,97.20935059,18.3168316831684,8.51700019836426,5.8314126186488,"Egypt, Arab Rep."
2009,85501064.0,2212.21814788932,106.66519165,11.7634954386443,9.08699989318848,3.54835118019574,"Egypt, Arab Rep."
